"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575146946437,45.5,34.4,0,28.82,59
1575146947034,45.5,34.38,0,28.82,42
1575146947870,45.5,34.39,0,28.98,46
1575146948625,45.5,34.39,0,28.98,41
1575146949429,45.5,34.38,0,29.15,42
1575146950231,45.5,34.38,0,28.87,41
1575146951033,45.5,34.42,0,28.82,41
1575146951833,45.5,34.4,0,29.21,42
1575146952631,45.5,34.42,0,28.98,42
1575146953429,45.5,34.39,0,29.1,44
1575146954230,45.5,34.39,0,28.87,43
1575146955233,45.5,34.4,0,29.15,41
1575146956029,45.5,34.38,0,29.04,41
1575146956832,45.5,34.41,0,29.21,41
1575146957628,45.5,34.42,0,28.98,41
1575146958429,45.5,34.4,0,29.15,41
1575146959233,45.5,34.42,0,29.37,41
1575146960030,45.5,34.4,0,29.04,41
1575146960837,45.5,34.41,0,29.1,42
1575146961628,45.5,34.4,0,28.87,41
1575146962436,45.5,34.42,0,29.04,41
1575146963234,45.5,34.42,0,29.04,42
1575146964041,45.5,34.43,0,29.32,42
1575146964831,45.5,34.43,0,28.93,42
1575146965829,45.5,34.43,0,28.98,42
1575146966631,45.5,34.41,0,29.1,41
1575146967432,45.5,34.43,0,29.1,42
1575146968229,45.5,34.43,0,29.21,41
1575146969027,45.5,34.44,0,28.87,43
1575146969829,45.5,34.42,0,28.76,42
1575146970662,45.5,34.41,0,29.1,42
1575146971428,45.5,34.43,0,29.15,42
1575146972233,45.5,34.43,0,29.26,41
1575146974624,45.5,34.43,0,28.93,43
1575146975428,45.5,34.42,0,28.87,42
1575146977227,45.5,34.44,0,29.04,41
1575146978029,45.5,34.42,0,29.15,41
1575146978829,45.5,34.42,0,29.37,41
1575146979630,45.5,34.43,0,29.1,42
1575146980424,45.5,34.44,0,29.1,42
1575146981227,45.5,34.43,0,29.04,41
1575146982188,45.5,34.43,0,29.04,41
1575146984435,45.5,34.44,0,29.04,41
1575146985294,45.5,34.44,0,29.1,46
