"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575146947301,36.5,36.71,17,41.07,43
1575146947502,36.5,36.74,17,40.99,44
1575146948307,36.5,36.71,17,41.14,44
1575146949447,36.5,36.73,16,41.29,44
1575146950616,36.5,36.69,0,40.99,45
1575146951031,36.5,36.71,1,41.21,44
1575146953021,36.5,36.7,1,40.99,45
1575146963615,36.5,36.65,1,40.84,45
1575146968319,36.5,36.64,1,41.73,45
1575146978414,36.5,36.62,1,41.07,48
1575146988664,36.5,36.59,1,41.44,48
1575146998942,36.5,36.55,1,40.99,49
1575147018935,36.5,36.49,1,41.07,49
1575147039668,36.5,36.39,0,41.29,48
1575147065761,37,36.3,0,41.51,48
1575147083620,37,36.24,0,41.73,49
1575147098899,37,36.19,0,41.58,48
1575147125759,37,36.11,0,41.66,48
1575147136382,37,36.08,0,41.44,48
1575147165832,37.5,36.02,0,41.14,48
1575147176519,37.5,35.95,0,41.51,48
1575147198861,37.5,35.91,0,41.21,49
1575147225754,37.5,35.81,0,41.58,48
1575147235854,37.5,35.81,0,42.03,49
1575147263304,37.5,35.73,0,41.88,48
1575147285768,38,35.67,0,41.44,48
1575147296004,38,35.64,0,42.03,49
1575147318814,38,35.59,0,41.58,48
1575147355759,38,35.5,0,41.95,49
1575147376119,38,35.46,0,41.73,49
1575147395756,38,35.43,0,41.88,48
1575147425750,38.5,35.39,1,41.88,48
1575147435895,38.5,35.37,1,41.95,49
1575147457895,38.5,35.34,1,41.8,49
1575147485747,38.5,35.27,1,42.03,48
1575147496002,38.5,35.25,1,42.25,48
1575147525910,38.5,35.19,1,41.36,48
1575147535966,38.5,35.19,1,41.73,49
1575147558319,38.5,35.14,1,42.25,49
1575147578442,38.5,35.11,1,41.73,48
1575147598647,39,35.1,0,42.03,49
1575147618806,39,35.07,1,41.66,48
1575147645755,39,35.04,0,41.73,49
1575147655992,39,35.04,1,42.17,48
1575147676289,39,35.02,0,42.17,48
1575147705747,39,34.98,1,41.51,48
1575147726289,39,34.96,1,42.03,48
1575147746443,39,34.95,1,41.88,49
1575147766999,39,34.92,0,41.73,48
1575147787190,39,34.91,0,41.95,48
1575147807417,39,34.87,0,42.32,48
1575147827644,39.5,34.84,0,41.73,49
1575147847840,39.5,34.84,0,41.95,48
1575147851169,39.5,34.83,0,42.03,49
1575147851967,39.5,34.85,0,41.95,50
