"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575146946435,36.5,38.46,0,42.91,43
1575146947181,36.5,38.45,0,42.84,43
1575146948117,36.5,38.45,0,42.62,43
1575146948952,36.5,38.44,0,43.14,43
1575146949566,36.5,38.45,0,42.77,43
1575146950397,36.5,38.44,0,42.25,43
1575146951200,36.5,38.44,0,42.03,43
1575146952055,36.5,38.45,0,42.03,43
1575146952860,36.5,38.45,0,42.4,43
1575146953689,36.5,38.44,0,42.84,42
1575146954524,36.5,38.45,0,42.54,43
1575146955360,36.5,38.46,0,42.91,43
1575146956202,36.5,38.46,0,42.25,42
1575146957071,36.5,38.46,0,42.77,44
1575146957913,36.5,38.45,0,42.77,43
1575146958534,36.5,38.44,0,42.62,43
1575146959354,36.5,38.47,0,42.77,44
1575146960178,36.5,38.45,0,42.62,43
1575146961166,36.5,38.46,0,42.47,45
1575146961800,36.5,38.45,0,42.47,42
1575146962631,36.5,38.45,0,42.91,43
1575146963473,36.5,38.45,0,42.32,43
1575146964322,36.5,38.46,0,42.4,44
1575146965164,36,38.45,0,42.54,43
1575146966039,36.5,38.43,0,42.91,43
1575146966900,36.5,38.47,0,42.54,43
1575146967608,36.5,38.46,0,42.62,43
1575146968431,36,38.44,0,42.62,44
1575146969246,36.5,38.45,0,42.62,43
1575146971885,36,38.44,0,42.62,42
1575146972459,36,38.45,0,43.21,43
1575146973264,36,38.45,0,42.62,43
1575146974882,36,38.46,0,42.69,43
1575146976537,36,38.46,0,42.84,42
1575146977389,36,38.46,0,42.99,43
1575146978234,36,38.45,0,42.77,43
1575146979209,36,38.43,0,42.69,42
1575146980559,36,38.47,0,42.54,44
1575146981457,36.5,38.45,0,43.06,42
1575146982291,36,38.46,0,42.54,43
1575146983176,36,38.45,0,42.47,44
1575146983841,36,38.45,0,42.77,44
1575146984712,36,38.44,0,42.47,43
1575146985606,36,38.46,0,42.91,42
1575146986435,36,38.47,0,42.91,43
1575146987238,36,38.45,0,43.06,42
1575146988032,36,38.46,0,42.84,42
1575146988829,36,38.46,0,42.84,42
1575146989624,36,38.46,0,43.14,43
1575146990450,36,38.45,0,42.84,43
1575146991227,36,38.46,0,42.32,44
1575146992038,36,38.45,0,42.25,46
1575146992837,36,38.45,0,42.03,45
1575146993622,36,38.45,0,42.17,46
1575146995281,36,38.46,0,42.03,45
1575146996127,36,38.43,0,42.25,45
1575146996936,36,38.46,0,42.77,46
1575146997757,36,38.44,0,42.25,46
1575146998574,36,38.45,0,42.69,46
1575146999406,36,38.46,0,42.47,46
1575147000249,36,38.44,0,42.69,45
1575147001082,36,38.43,0,42.54,46
1575147001911,36,38.44,0,42.17,45
1575147002744,36,38.44,0,42.17,45
1575147003548,36,38.43,0,41.95,46
1575147004386,36,38.43,0,42.47,46
1575147005208,36,38.43,0,42.84,46
1575147006029,36,38.45,0,42.54,46
1575147006846,36,38.44,0,42.17,46
1575147007668,36,38.44,0,42.47,47
1575147008298,36,38.41,0,42.54,46
1575147009121,36,38.43,0,42.4,46
1575147009955,36,38.42,0,42.32,44
1575147010805,36,38.41,0,42.84,46
1575147011632,36,38.43,0,42.1,46
1575147012459,36,38.43,0,42.4,46
1575147013285,36,38.41,0,42.62,46
1575147014122,36,38.42,0,42.91,46
1575147014965,36,38.41,0,42.84,45
1575147016764,36,38.43,0,42.32,46
1575147017582,36,38.43,0,41.73,46
1575147018088,36,38.43,0,41.88,45
1575147018925,36,38.42,0,42.4,46
1575147019747,36,38.43,0,42.47,46
1575147021573,36,38.42,0,42.62,46
1575147022391,36,38.43,0,42.4,46
1575147023958,36,38.41,0,42.32,45
1575147024752,36,38.41,0,41.73,45
1575147025567,36,38.42,0,42.32,46
1575147026341,36,38.41,0,42.32,46
1575147027161,36,38.4,0,42.25,46
1575147027970,36,38.43,0,42.47,46
1575147028785,36,38.41,0,42.4,46
1575147029542,36,38.41,0,42.54,46
1575147030353,36,38.42,0,42.32,46
1575147031153,36,38.41,0,42.1,45
1575147031959,36,38.43,0,41.8,47
1575147032890,36,38.42,0,42.1,49
1575147033741,36,38.4,0,41.73,47
1575147034583,36,38.41,0,42.17,45
1575147035209,36,38.4,0,42.69,51
1575147036040,36,38.41,0,42.32,45
1575147036859,36,38.41,0,41.73,45
1575147037676,36,38.4,0,42.25,45
