"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575146945750,38.5,36.94,1,29.99,65
1575146945960,38.5,36.96,1,40.33,46
1575146946761,38.5,36.96,1,40.18,45
1575146947559,38.5,36.96,1,40.18,45
1575146948368,38.5,36.97,0,40.77,45
1575146949168,38.5,36.96,0,40.84,45
1575146950331,38.5,36.98,0,40.77,46
1575146950962,38.5,36.98,0,40.77,45
1575146951771,38.5,36.98,0,40.99,45
1575146952567,38.5,37,1,41.29,45
1575146953532,38.5,37.02,1,41.29,45
1575146954162,38.5,37,1,41.07,45
1575146954957,38.5,37.02,1,41.8,45
1575146955769,38.5,37.03,0,41.95,45
1575146957358,38.5,37.08,0,42.62,46
1575146958169,38.5,37.04,0,42.17,45
1575146958970,38.5,37.08,0,42.62,45
1575146959923,38.5,37.08,0,42.62,45
1575146960760,38.5,37.07,0,42.17,46
1575146961573,38.5,37.09,1,42.4,45
1575146962358,38.5,37.11,1,43.14,45
1575146963128,38.5,37.1,1,42.91,46
1575146963962,38,37.12,1,43.06,45
1575146964829,38,37.12,1,42.91,45
1575146965569,38,37.12,1,43.28,44
1575146966313,38,37.13,1,42.84,45
1575146967175,38,37.13,1,43.88,46
1575146967967,38,37.14,1,43.14,46
1575146968757,38,37.15,1,43.73,46
1575146969820,38,37.15,1,43.8,44
1575146970556,38,37.15,1,44.25,46
1575146971355,38,37.15,1,44.17,45
1575146972154,38,37.18,1,43.95,45
1575146972958,38,37.18,1,44.02,46
1575146973760,38,37.21,1,44.61,45
1575146974574,38,37.2,1,44.76,45
1575146975367,38,37.21,1,44.39,45
1575146976157,38,37.22,1,44.91,45
1575146976961,38,37.23,1,44.76,45
1575146977755,38,37.22,1,45.06,45
1575146978566,38,37.23,1,44.98,45
1575146979364,38,37.24,1,45.43,45
1575146980452,38,37.26,1,45.28,46
1575146981249,38,37.26,1,45.43,45
1575146981899,38,37.28,1,45.72,45
1575146982734,38,37.28,1,45.8,46
1575146983507,38,37.32,1,45.87,45
1575146984354,38,37.28,1,46.17,45
1575146985164,38,37.29,1,45.87,45
1575146985910,38,37.32,1,45.72,46
1575146986752,38,37.3,1,46.02,45
1575146987559,38,37.32,1,46.32,46
1575146988364,38,37.32,1,46.61,46
1575146989159,38,37.37,1,46.54,46
1575146990164,38,37.34,1,47.06,45
1575146990955,38,37.36,1,46.83,46
1575146991768,38,37.37,1,46.98,46
1575146992565,38,37.34,1,46.54,47
1575146993356,38,37.38,1,46.54,46
1575146994961,38,37.38,1,46.98,45
1575146998956,38,37.43,1,47.72,45
1575146999958,38,37.42,1,47.87,46
1575147001524,38,37.43,1,47.65,46
1575147003934,38,37.48,1,48.02,45
1575147004729,38,37.48,1,47.94,45
1575147005534,38,37.48,1,48.39,45
1575147007123,38,37.5,1,48.02,45
1575147007973,38,37.5,1,48.39,45
1575147008770,38,37.5,1,48.68,45
1575147009769,38,37.53,1,48.53,45
1575147010559,38,37.52,1,48.46,46
1575147011357,38,37.54,1,49.05,46
1575147012162,38,37.51,1,49.27,46
1575147012961,38,37.51,1,48.46,45
1575147013770,38,37.53,1,48.98,45
1575147014558,37.5,37.53,1,49.13,45
1575147015371,37.5,37.55,1,49.05,45
1575147016172,37.5,37.55,1,49.2,46
1575147016960,37.5,37.56,1,49.35,46
1575147017770,37.5,37.56,1,49.27,46
1575147018569,37.5,37.57,1,49.64,45
1575147019369,37.5,37.55,1,49.79,45
1575147020360,37.5,37.57,1,50.09,44
1575147021169,37.5,37.59,1,49.35,45
1575147021969,37.5,37.62,1,49.87,45
1575147022772,37.5,37.62,1,49.79,46
1575147023562,37.5,37.62,1,49.5,46
1575147024368,37.5,37.61,1,49.72,45
1575147025171,37.5,37.62,1,49.94,45
1575147025970,37.5,37.63,1,49.87,46
1575147026756,37.5,37.65,1,50.24,46
1575147027560,37.5,37.63,1,50.01,45
1575147028368,37.5,37.65,1,50.16,45
1575147029156,37.5,37.63,1,50.16,44
1575147030302,37.5,37.64,1,50.6,44
1575147031089,37.5,37.66,1,50.38,45
1575147031903,37.5,37.67,1,50.24,46
1575147032679,37.5,37.68,1,50.31,45
1575147033472,37.5,37.68,1,50.16,44
1575147034260,37.5,37.67,1,50.16,45
1575147035088,37.5,37.69,1,50.6,46
1575147035872,37.5,37.69,1,51.12,45
1575147036687,37.5,37.7,1,51.05,45
1575147037483,37.5,37.7,1,50.75,45
1575147038279,37.5,37.69,1,50.24,46
1575147039062,37.5,37.71,1,51.49,46
1575147039868,37.5,37.7,1,51.2,45
1575147040656,37.5,37.72,1,50.9,45
1575147041487,37.5,37.73,1,51.27,46
1575147042261,37.5,37.73,1,51.12,45
1575147043081,37.5,37.73,1,51.42,45
1575147043884,37.5,37.76,1,51.34,46
1575147044767,37.5,37.74,1,50.68,45
1575147045562,37.5,37.74,1,51.42,45
1575147046360,37.5,37.76,1,51.64,45
1575147047169,37.5,37.74,1,51.64,46
1575147047970,37.5,37.78,1,51.49,44
1575147048759,37.5,37.78,1,51.64,45
1575147049570,37.5,37.76,1,51.64,46
1575147050398,37.5,37.78,1,51.71,45
1575147051360,37.5,37.78,1,51.71,45
1575147052091,37.5,37.78,1,51.71,47
1575147052960,37.5,37.81,1,51.57,45
1575147053777,37.5,37.81,1,51.94,45
1575147054561,37.5,37.8,1,51.86,45
1575147055368,37.5,37.8,1,52.16,45
1575147056160,37.5,37.81,1,51.64,45
1575147056977,37.5,37.81,1,51.94,45
1575147057761,37.5,37.82,1,51.94,45
1575147058571,37.5,37.82,1,52.31,45
1575147059360,37.5,37.84,1,52.38,45
1575147060358,37.5,37.83,1,52.31,46
1575147061170,37.5,37.83,1,52.16,46
1575147061973,37.5,37.84,1,52.16,45
1575147062771,37.5,37.85,1,51.86,47
1575147063572,37.5,37.86,1,52.23,46
1575147064361,37.5,37.85,1,52.68,45
1575147065170,37.5,37.85,1,51.86,45
1575147065970,37,37.86,1,52.23,44
1575147066771,37,37.87,1,52.31,44
1575147067561,37,37.86,1,52.68,46
1575147068372,37,37.87,1,52.68,45
1575147069360,37,37.87,1,52.38,45
1575147070158,37,37.88,1,52.82,45
1575147070971,37,37.88,1,52.6,45
1575147071894,37,37.89,1,53.05,45
1575147072570,37,37.91,1,53.34,47
1575147073355,37,37.91,1,52.9,45
1575147074169,37,37.92,1,52.75,46
1575147075084,37,37.92,1,53.27,45
1575147075755,37,37.92,1,52.82,45
1575147076557,37,37.92,1,53.34,45
1575147077360,37,37.89,1,53.12,45
1575147078276,37,37.91,1,52.9,45
1575147078955,37,37.94,1,53.12,45
1575147079785,37,37.94,1,53.42,46
