"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575146947065,37.5,38.08,0,29.99,69
1575146947272,37.5,38.09,0,29.6,45
1575146948277,37.5,38.08,0,29.54,44
1575146949063,37.5,38.08,0,29.71,44
1575146949876,37.5,38.08,0,29.99,44
1575146950663,37.5,38.09,0,40.18,44
1575146951475,37.5,38.09,0,29.65,43
1575146953068,37.5,38.09,0,29.71,43
1575146953864,37.5,38.1,0,29.43,44
1575146954676,37.5,38.09,0,29.32,41
1575146955466,37.5,38.08,0,29.87,44
1575146956315,37.5,38.1,0,29.54,43
1575146957066,37.5,38.08,0,29.65,45
1575146957870,37.5,38.07,0,29.48,43
1575146958878,37.5,38.1,0,29.87,43
1575146959673,37.5,38.09,0,29.87,44
1575146960460,37.5,38.11,0,29.54,43
1575146961280,37.5,38.11,0,40.1,43
1575146962072,37.5,38.09,0,29.76,44
1575146962884,37.5,38.1,0,29.32,43
1575146963671,37.5,38.1,0,29.76,43
1575146964478,37.5,38.09,0,29.99,44
1575146965274,37.5,38.12,0,29.26,44
1575146966063,37.5,38.09,0,29.32,43
1575146966913,37.5,38.12,0,29.87,42
1575146967726,37.5,38.1,0,29.65,43
1575146968475,37.5,38.12,0,29.76,45
1575146969474,37.5,38.11,0,29.48,42
1575146970378,37.5,38.11,0,29.71,42
1575146971201,37.5,38.12,0,29.65,44
1575146975062,37.5,38.12,0,29.65,44
1575146975872,37.5,38.12,0,29.54,44
1575146977464,37.5,38.11,0,29.87,42
1575146978277,37.5,38.12,0,29.87,45
1575146979127,37.5,38.11,0,29.76,43
1575146981664,37.5,38.11,0,29.87,43
1575146982464,37.5,38.14,0,29.87,44
1575146983272,37.5,38.12,0,29.93,43
1575146984077,37.5,38.14,0,29.93,43
1575146985784,37.5,38.13,0,29.99,44
1575146986467,37.5,38.13,0,29.87,44
1575146987270,37.5,38.14,0,29.87,43
1575146988072,37.5,38.13,0,29.71,43
1575146988879,37.5,38.13,0,29.82,44
1575146990587,37.5,38.14,0,29.65,43
1575146991344,37.5,38.16,0,29.82,44
1575146992271,37.5,38.14,0,29.82,45
1575146993082,37.5,38.15,0,29.82,43
1575146993877,37.5,38.14,0,29.87,43
1575146994670,37.5,38.14,0,29.32,43
1575146995479,37.5,38.14,0,29.82,42
1575146996285,37.5,38.14,0,29.87,44
1575146997078,37.5,38.14,0,29.65,43
1575146997869,37.5,38.15,0,29.93,43
1575146998668,37.5,38.16,0,40.03,43
1575146999660,37.5,38.15,0,29.71,44
1575147000468,37.5,38.15,0,29.76,42
1575147001275,37.5,38.15,0,29.99,43
1575147002182,37.5,38.15,0,29.93,43
1575147002879,37.5,38.14,0,40.03,43
1575147003669,37.5,38.15,0,29.76,43
1575147004470,37.5,38.16,0,29.76,42
1575147005271,37.5,38.18,0,40.03,44
1575147006081,37.5,38.15,0,40.18,43
1575147006873,37.5,38.16,0,29.82,44
1575147007661,37.5,38.16,0,29.6,43
1575147008463,37.5,38.17,0,39.96,42
1575147009285,37.5,38.17,0,29.99,44
1575147010395,37.5,38.17,0,40.03,43
1575147011981,37.5,38.16,0,29.6,44
1575147012771,37.5,38.17,0,29.48,44
1575147013573,37.5,38.17,0,29.87,42
1575147014390,37.5,38.18,0,29.99,44
1575147015172,37.5,38.17,0,29.54,43
