"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575144888218,44,35.01,0,29.37,61
1575144888869,44,34.97,0,29.76,41
1575144889620,44,35,0,29.71,41
1575144890429,44,34.99,0,29.54,42
1575144891215,44,35,0,29.43,41
1575144892014,44,35,0,29.71,42
1575144892824,44,34.99,0,29.82,43
1575144894417,44,34.96,0,29.82,40
1575144895218,44,34.98,0,29.43,41
1575144896014,44,34.98,0,29.48,41
1575144896815,44,35.01,0,29.65,41
1575144897815,44,35,0,29.82,42
1575144899414,44,35,0,29.6,41
1575144900215,44,35.01,0,29.43,41
1575144901020,44,34.97,0,29.76,41
1575144901811,44,35,0,29.37,41
1575144902624,44,35,0,29.54,41
1575144903414,44,34.98,0,29.6,40
1575144904217,44,35.01,0,29.82,40
1575144905018,44,34.98,0,29.43,41
1575144905826,44,34.98,0,29.37,42
1575144906605,44,34.99,0,29.54,41
1575144907413,44,34.99,0,29.65,41
1575144908417,44,34.99,0,29.54,41
1575144909214,44,34.99,0,29.76,43
1575144910011,44,34.98,0,29.32,41
1575144910817,44,34.98,0,29.26,41
1575144911616,44,34.98,0,29.71,43
1575144912420,44,34.99,0,29.76,42
1575144913220,44,35.03,0,29.71,42
1575144914014,44,34.96,0,29.48,41
1575144914814,44,35,0,29.48,41
1575144915615,44,34.98,0,29.82,41
1575144916420,44,34.98,0,29.54,42
1575144917218,44,35,0,29.48,42
1575144918014,44,34.98,0,29.48,41
1575144919016,44,34.97,0,29.82,40
1575144919817,44,35.01,0,29.76,41
1575144920618,44,35,0,29.6,40
1575144921416,44,35,0,29.21,41
1575144922214,44,34.98,0,29.43,42
1575144923013,44,34.98,0,29.32,40
1575144923814,44,35.01,0,29.54,40
1575144924640,44,34.98,0,29.54,43
1575144925416,44,35.01,0,29.71,41
1575144926220,44,34.99,0,29.65,41
1575144927013,44,35,0,29.6,41
1575144927815,44,34.99,0,29.82,42
1575144929615,44,34.99,0,29.48,42
1575144930410,44,34.98,0,29.48,42
1575144931215,44,35,0,29.48,41
1575144932025,44,34.99,0,29.82,41
1575144932813,44,34.98,0,29.65,42
1575144933616,44,34.99,0,29.65,41
1575144934413,44,34.99,0,29.76,41
1575144935228,44,35,0,29.43,42
1575144936019,44,34.98,0,29.37,42
1575144936815,44,34.99,0,29.87,41
1575144937616,44,34.99,0,29.65,41
1575144938420,44,34.99,0,29.6,40
1575144939251,44,34.97,0,29.54,40
1575144940216,44,34.98,0,29.65,41
1575144941019,44,34.98,0,29.71,41
1575144941813,44,35,0,29.21,41
1575144942620,44,34.98,0,29.6,41
1575144943414,44,34.98,0,29.99,42
1575144944222,44,34.98,0,29.54,42
1575144945020,44,34.99,0,29.43,41
1575144945818,44,34.96,0,29.71,41
1575144946615,44,34.98,0,29.48,41
1575144947412,44,34.99,0,29.37,41
1575144948218,44,34.99,0,29.71,41
1575144949015,44,34.98,0,29.87,41
1575144949816,44,34.99,0,29.54,41
1575144950616,44,35,0,29.48,42
1575144951612,44,35.01,0,29.82,42
1575144952416,44,35,0,29.6,41
1575144953217,44,34.98,0,29.54,42
1575144954021,44,35,0,29.82,42
1575144954812,44,34.98,0,29.76,41
1575144955620,44,34.97,0,29.82,42
1575144956412,44,35,0,29.76,42
1575144957211,44,34.98,0,29.48,41
1575144958015,44,34.99,0,29.82,41
1575144959614,44,35,0,29.65,47
1575144960415,44,34.98,0,29.48,43
1575144961216,44,35,0,29.87,42
1575144962242,44,34.99,0,29.54,45
1575144963014,44,34.97,0,29.87,42
1575144964612,44,35,0,29.65,41
1575144965414,44,35.01,0,29.82,41
1575144966216,44,35,0,29.71,41
1575144967015,44,34.99,0,29.93,42
1575144967812,44,35,0,29.6,41
1575144969409,44,35.01,0,29.76,42
1575144970225,44,35,0,29.93,41
