"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575144888483,40.5,34,0,25.37,42
1575144888872,40.5,33.99,0,25.15,42
1575144889674,40.5,34,0,25.43,42
1575144890478,40.5,34.01,0,25.15,42
1575144891278,40.5,34.02,0,25.31,42
1575144892079,40.5,34,0,25.65,42
1575144892882,40.5,33.99,0,25.48,40
1575144893680,40.5,34.01,0,25.37,42
1575144894479,40.5,34,0,25.54,42
1575144895278,40.5,33.99,0,25.65,42
1575144896081,40.5,34.01,0,25.31,41
1575144896887,40.5,33.98,0,25.37,43
1575144897697,40.5,34,0,25.54,42
1575144898485,40.5,33.98,0,25.59,41
1575144899508,40.5,33.99,0,25.54,42
1575144900291,40.5,33.99,0,25.37,43
1575144901094,40.5,34,0,25.59,41
1575144901898,40.5,34,0,25.76,42
1575144902725,40.5,34,0,25.65,40
1575144903508,40.5,33.98,0,25.76,41
1575144904305,40.5,33.98,0,25.43,41
1575144905108,40.5,34,0,25.43,42
1575144905912,40.5,33.97,0,25.82,45
1575144906716,40.5,33.98,0,25.98,42
1575144907515,40.5,33.98,0,25.31,41
1575144908323,40.5,33.98,0,25.31,41
1575144909128,40.5,34,0,25.43,42
1575144909940,40.5,33.99,0,25.76,41
1575144910742,40.5,33.97,0,25.37,43
1575144911546,40.5,33.98,0,25.98,41
1575144912549,40.5,33.97,0,25.31,41
1575144913350,40.5,33.98,0,25.43,40
1575144914153,40.5,33.98,0,25.59,41
1575144914955,40.5,33.98,0,25.59,40
1575144916355,40.5,34,0,25.43,41
1575144916563,40.5,33.98,0,25.48,42
1575144917366,40.5,33.98,0,25.59,41
1575144918160,40.5,33.96,0,25.76,40
1575144918969,40.5,33.97,0,25.65,42
1575144919764,40.5,33.97,0,25.54,43
1575144920578,40.5,33.96,0,25.31,41
1575144921367,40.5,33.99,0,25.7,42
1575144922197,40.5,33.96,0,25.65,41
1575144922974,40.5,33.97,0,25.59,42
1575144923770,40.5,33.96,0,25.59,41
1575144924776,40.5,33.96,0,25.26,40
1575144925580,40.5,33.96,0,25.31,42
1575144926379,40.5,33.97,0,25.37,41
1575144927185,40.5,33.96,0,25.59,41
1575144927983,40.5,33.95,0,25.59,41
1575144929182,40.5,33.97,0,25.48,42
1575144929192,40.5,33.97,0,25.48,42
1575144929589,40.5,33.95,0,25.98,41
1575144930385,40.5,33.97,0,25.65,41
1575144931194,40.5,33.95,0,25.65,42
1575144932388,40.5,33.98,0,25.54,41
1575144932790,40.5,33.98,0,25.59,41
1575144933618,40.5,33.95,0,25.54,41
