"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575144883241,37.5,37.99,0,23.42,42
1575144883777,37.5,37.98,0,23.59,61
1575144884744,37.5,37.96,0,22.92,44
1575144885578,37.5,37.96,0,23.37,44
1575144886220,37.5,37.99,0,23.15,42
1575144887079,37.5,37.98,0,23.31,44
1575144887985,37.5,37.97,0,23.26,51
1575144888779,37.5,37.98,0,23.7,42
1575144889615,37.5,37.98,0,23.15,43
1575144890456,37.5,37.95,0,23.2,40
1575144891104,37.5,37.99,0,22.92,41
1575144892032,37.5,37.98,0,23.04,42
1575144892880,37.5,37.96,0,23.37,42
1575144893716,37.5,37.96,0,23.15,40
1575144894364,37.5,37.96,0,23.37,42
1575144895207,37.5,37.96,0,23.09,42
1575144896062,37.5,37.99,0,22.98,41
1575144896932,37.5,37.96,0,23.37,41
1575144897799,37.5,37.97,0,23.26,45
1575144898625,37.5,37.97,0,23.26,42
1575144899272,37.5,37.97,0,22.98,41
1575144900144,37.5,37.95,0,22.7,42
1575144900999,37.5,37.97,0,23.04,41
1575144901846,37.5,37.96,0,23.26,41
1575144902674,37.5,37.97,0,23.42,41
1575144903343,37.5,37.96,0,23.42,42
1575144904182,37.5,37.95,0,23.48,42
1575144905050,37.5,37.98,0,23.59,42
1575144905918,37.5,37.96,0,23.31,42
1575144906745,37.5,37.95,0,23.42,43
1575144907588,37.5,37.95,0,23.2,42
1575144908228,37.5,37.96,0,23.59,41
1575144909082,37.5,37.94,0,23.2,41
1575144909939,37.5,37.97,0,23.31,42
1575144910828,37.5,37.97,0,23.15,42
1575144911692,37.5,37.96,0,23.65,41
1575144912362,37.5,37.96,0,23.37,42
1575144913209,37.5,37.95,0,23.37,42
1575144914081,37.5,37.96,0,23.42,40
1575144914917,37.5,37.95,0,23.59,41
1575144916410,37.5,37.95,0,23.09,41
1575144918966,37.5,37.95,0,23.09,42
1575144919828,37.5,37.94,0,23.26,43
1575144920478,37.5,37.95,0,23.37,40
1575144921333,37.5,37.96,0,23.09,40
1575144922204,37.5,37.97,0,23.54,41
1575144923846,37.5,37.96,0,23.54,41
1575144924689,37.5,37.95,0,23.7,41
1575144925369,37.5,37.95,0,23.48,40
1575144926353,37.5,37.95,0,23.37,42
1575144927183,37.5,37.95,0,23.48,41
1575144927825,37.5,37.97,0,23.26,42
1575144928619,37.5,37.95,0,23.04,40
1575144929440,37.5,37.94,0,23.81,41
1575144930255,37.5,37.96,0,23.54,39
1575144931073,37.5,37.94,0,23.48,41
1575144931899,37.5,37.96,0,23.65,42
1575144932721,37.5,37.91,0,23.31,42
1575144933550,37.5,37.96,0,23.7,41
1575144934362,37.5,37.94,0,23.76,41
1575144935199,37.5,37.96,0,23.76,42
1575144936003,37.5,37.96,0,23.59,46
1575144936816,37.5,37.93,0,23.09,41
1575144937648,37.5,37.93,0,23.31,40
1575144938501,37.5,37.94,0,23.31,41
1575144939293,37.5,37.94,0,23.26,42
1575144940107,37.5,37.95,0,23.37,42
1575144940934,37.5,37.95,0,23.54,41
1575144941754,37.5,37.91,0,23.54,42
1575144942583,37.5,37.95,0,23.48,41
1575144943397,37.5,37.92,0,23.76,41
1575144944233,37.5,37.93,0,23.65,41
1575144945052,37.5,37.93,0,23.42,42
1575144945866,37.5,37.94,0,23.81,41
1575144946685,37.5,37.93,0,24.04,41
1575144947516,37.5,37.95,0,23.76,41
1575144948323,37.5,37.94,0,23.37,42
1575144949142,37.5,37.93,0,23.59,41
1575144949988,37.5,37.93,0,23.65,41
1575144951611,37.5,37.93,0,23.48,41
1575144952432,37.5,37.93,0,23.37,41
1575144953247,37.5,37.93,0,23.87,40
1575144954153,37.5,37.93,0,23.81,40
1575144954886,37.5,37.91,0,24.26,41
1575144955707,37.5,37.92,0,23.92,41
1575144956536,37.5,37.93,0,23.65,41
1575144957371,37.5,37.95,0,23.59,42
1575144958010,37.5,37.93,0,24.04,40
1575144958994,37.5,37.92,0,23.87,44
1575144959623,37.5,37.88,0,24.15,41
1575144960551,37.5,37.91,0,23.65,41
1575144961257,37.5,37.93,0,23.81,41
1575144962072,37.5,37.95,0,23.87,40
1575144962903,37.5,37.93,0,24.09,41
1575144963710,37.5,37.93,0,24.59,43
1575144964560,37.5,37.92,0,24.09,41
1575144965375,37.5,37.93,0,24.37,40
1575144966205,37.5,37.93,0,24.2,42
1575144967035,37.5,37.93,0,24.26,42
1575144967857,37.5,37.92,0,24.37,42
1575144968860,37.5,37.91,0,24.2,41
1575144969542,37.5,37.93,0,24.2,42
1575144970341,37.5,37.91,0,24.26,42
1575144971167,37.5,37.92,0,24.43,42
1575144972001,37.5,37.92,0,24.43,40
1575144972837,37.5,37.92,0,24.48,42
1575144973648,37.5,37.93,0,24.48,42
1575144975369,37.5,37.89,0,24.43,41
1575144975931,37.5,37.89,0,24.59,41
1575144976942,37.5,37.89,0,24.93,42
1575144977564,37.5,37.91,0,24.43,41
1575144978393,37.5,37.91,0,24.65,41
1575144979211,37.5,37.89,0,24.43,42
1575144980041,37.5,37.91,0,24.7,42
1575144980849,37.5,37.92,0,24.65,42
1575144981675,37.5,37.89,0,24.76,42
1575144982486,37.5,37.92,0,24.65,41
1575144983306,37.5,37.92,0,25.15,42
1575144984136,37.5,37.93,0,24.87,40
1575144984956,37.5,37.89,0,25.04,42
1575144985775,37.5,37.92,0,24.93,41
1575144986591,37.5,37.93,0,24.76,42
1575144988373,37.5,37.91,0,25.09,41
1575144989164,37.5,37.91,0,24.65,42
1575144989992,37.5,37.92,0,24.93,42
1575144990788,37.5,37.92,0,25.37,42
1575144991585,37.5,37.88,0,25.43,40
1575144992374,37.5,37.91,0,25.37,41
1575144993204,37.5,37.89,0,24.98,41
1575144994005,37.5,37.91,0,25.04,43
1575144995555,37.5,37.88,0,25.15,41
1575144996363,38,37.92,0,25.48,42
1575144997177,37.5,37.89,0,25.43,41
1575144997965,38,37.91,0,25.2,42
1575144998766,38,37.91,0,25.26,42
1575144999664,38,37.91,0,25.76,42
1575145000393,38,37.87,0,25.43,41
1575145001375,38,37.89,0,25.37,41
1575145002198,38,37.88,0,25.43,40
1575145003021,38,37.91,0,25.48,40
1575145003824,38,37.91,0,25.65,40
1575145004662,38,37.92,0,25.37,41
1575145005477,38,37.92,0,25.43,40
1575145006284,38,37.89,0,25.87,41
1575145007104,38,37.89,0,25.59,40
1575145007922,38,37.87,0,25.93,41
1575145008738,38,37.88,0,25.7,41
1575145009559,38,37.91,0,26.04,41
1575145010374,38,37.88,0,26.04,42
1575145011211,38,37.89,0,26.09,39
1575145011851,38,37.91,0,25.59,42
1575145012636,38,37.89,0,25.82,39
1575145013462,38,37.89,0,26.09,41
1575145014280,38,37.93,0,26.15,42
1575145015097,38,37.88,0,26.37,41
1575145015910,38,37.93,0,26.09,42
1575145016736,38,37.91,0,25.98,41
1575145017554,38,37.91,0,26.2,42
1575145018359,38,37.89,0,26.2,41
1575145019185,38,37.92,0,26.48,41
1575145019998,38,37.87,0,26.32,41
1575145020820,38,37.93,0,26.54,42
1575145021664,38,37.89,0,26.59,42
1575145022477,38,37.88,0,26.37,42
