"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575144883506,37.5,36.4,19,17.92,42
1575144884018,37.5,36.39,19,18.25,54
1575144884794,37.5,36.39,19,17.59,58
1575144885597,37.5,36.39,19,17.86,43
1575144886397,37.5,36.38,19,17.47,42
1575144887398,37.5,36.38,19,18.09,42
1575144888196,37.5,36.39,19,17.64,41
1575144888997,37.5,36.38,19,17.98,42
1575144889805,37.5,36.39,19,17.64,42
1575144890591,37.5,36.37,19,17.31,43
1575144891403,37.5,36.38,19,17.59,42
1575144892195,37.5,36.38,19,17.53,42
1575144893000,37.5,36.36,19,17.7,42
1575144893798,37.5,36.39,19,17.64,42
1575144894595,37.5,36.36,19,17.7,43
1575144895409,37.5,36.38,19,17.75,43
1575144896194,37.5,36.38,19,17.75,42
1575144897011,37.5,36.37,18,17.81,44
1575144897995,37.5,36.37,19,17.36,43
1575144898794,37.5,36.36,26,17.36,42
1575144899726,37.5,36.37,23,18.09,59
1575144900396,37.5,36.36,13,20.37,72
1575144901199,37.5,36.35,0,23.2,43
1575144902013,37.5,36.34,0,23.15,49
1575144902942,37.5,36.38,0,21.03,50
1575144903595,37.5,36.36,0,20.53,46
1575144904428,37.5,36.35,0,20.2,43
1575144905195,38,36.35,0,20.98,46
1575144906123,38,36.37,0,21.26,44
1575144906797,38,36.36,0,21.2,45
1575144907794,38,36.35,0,21.81,43
1575144908605,38,36.34,0,22.26,43
1575144909327,38,36.35,0,21.76,45
1575144910203,38,36.33,0,21.87,43
1575144911004,38,36.35,0,22.48,42
1575144911805,38,36.35,0,22.65,42
1575144912533,38,36.34,0,22.48,43
1575144913399,38,36.33,0,22.7,42
1575144914207,38,36.33,0,23.15,43
1575144915002,38,36.33,0,22.87,42
1575144915806,38,36.33,0,23.09,42
1575144916606,38,36.33,0,23.15,42
1575144917603,38,36.33,0,23.42,42
1575144918404,38,36.33,0,23.65,43
1575144919204,38,36.33,0,23.59,42
1575144919999,38,36.33,0,23.81,43
1575144920803,38,36.32,0,24.04,42
1575144921601,38,36.33,0,24.2,42
1575144922415,38,36.33,0,24.09,43
1575144923203,38,36.33,0,23.92,43
1575144924000,38,36.33,0,24.04,43
1575144924796,38.5,36.31,0,24.2,42
1575144925596,38.5,36.33,0,24.98,41
1575144926400,38.5,36.33,0,24.48,43
1575144927404,38.5,36.33,0,24.59,43
1575144928198,38.5,36.33,0,24.65,43
1575144928998,38.5,36.33,0,25.15,44
1575144929798,38.5,36.35,0,25.15,42
1575144930597,38.5,36.35,0,25.09,42
1575144931406,38.5,36.33,0,25.31,43
1575144932197,38.5,36.35,0,24.98,42
1575144932992,38.5,36.34,0,25.48,42
1575144933794,38.5,36.36,0,25.59,43
1575144934596,38.5,36.35,0,25.7,42
1575144935398,38.5,36.34,0,25.54,42
1575144936199,38.5,36.34,0,25.31,43
1575144937198,38.5,36.33,0,25.59,43
1575144938124,38.5,36.35,0,25.82,43
1575144938798,38.5,36.36,0,25.98,43
1575144939595,38.5,36.37,0,26.04,42
1575144940396,38.5,36.36,0,26.09,42
1575144941316,38.5,36.36,0,26.15,42
1575144941998,38.5,36.35,0,26.26,43
1575144942791,38.5,36.35,0,26.26,43
1575144943610,38.5,36.37,0,26.7,42
1575144944536,38.5,36.36,0,26.43,42
1575144945202,38.5,36.36,0,26.65,43
1575144946003,38.5,36.39,0,26.87,42
1575144947007,38.5,36.37,0,26.93,42
1575144947722,38.5,36.37,0,26.76,43
1575144948605,38.5,36.39,0,26.87,44
1575144949404,38.5,36.39,0,26.98,43
1575144950212,38.5,36.38,0,27.26,44
1575144950935,38.5,36.39,0,26.93,43
1575144951800,38.5,36.41,0,27.43,43
1575144952608,38.5,36.41,0,27.15,43
1575144953402,38.5,36.39,0,27.37,43
1575144954208,38.5,36.41,0,27.37,51
1575144955006,38.5,36.43,0,27.48,43
1575144955806,38.5,36.41,0,27.82,43
1575144956607,38.5,36.43,0,27.76,43
1575144957409,38.5,36.44,0,27.82,42
1575144958394,38.5,36.44,0,27.87,44
1575144959197,38.5,36.43,0,28.26,44
1575144959994,38.5,36.44,0,28.09,43
1575144960799,38.5,36.46,0,28.26,43
1575144961594,38.5,36.45,0,28.21,43
1575144962406,38.5,36.47,0,28.21,43
1575144963258,38.5,36.45,0,28.48,44
1575144964016,38.5,36.46,0,28.54,44
1575144964843,38.5,36.46,0,28.6,43
1575144965620,38.5,36.46,0,28.65,43
1575144966451,38.5,36.47,0,28.54,42
1575144967275,38.5,36.48,0,28.71,43
1575144968055,38.5,36.48,0,28.71,42
1575144969006,38.5,36.48,0,28.93,42
1575144969804,38.5,36.49,0,29.26,43
1575144970601,38.5,36.49,0,29.1,43
1575144971401,38.5,36.5,0,29.1,44
1575144972192,38.5,36.5,0,29.1,43
1575144972997,38.5,36.5,0,29.26,42
1575144973940,38.5,36.51,0,29.48,44
1575144975563,38.5,36.52,0,29.04,43
1575144976365,38.5,36.51,0,29.93,43
1575144977163,38.5,36.51,0,29.43,42
1575144978759,38.5,36.53,0,29.76,44
1575144979555,38.5,36.53,0,29.76,43
1575144980362,38.5,36.54,0,29.93,44
1575144982740,38.5,36.55,0,29.93,42
1575144983551,38.5,36.55,0,29.76,43
1575144984360,38.5,36.56,0,29.93,44
1575144985183,38.5,36.58,0,40.18,42
1575144985993,38.5,36.58,0,40.03,42
1575144986798,38.5,36.55,0,40.4,44
