"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575144888891,38.5,35.93,0,23.09,45
1575144889695,38.5,35.94,0,23.54,44
1575144890498,38.5,35.94,0,23.37,44
1575144891304,38.5,35.96,0,23.81,45
1575144892094,38.5,35.99,0,23.31,46
1575144892894,38.5,35.95,0,23.81,45
1575144893930,38.5,35.99,0,23.26,45
1575144894699,38.5,35.99,0,23.15,44
1575144895495,38.5,36,0,23.37,44
1575144896313,38.5,36,0,23.04,45
1575144897096,38.5,36,0,23.76,43
1575144897905,38.5,36,0,23.2,44
1575144898805,38.5,36,0,23.42,44
1575144899498,38.5,36,0,23.2,42
1575144900293,38.5,36.03,0,23.2,43
1575144901105,38.5,36.02,0,23.42,45
1575144901902,38.5,36.03,0,23.42,44
1575144902716,38.5,36.05,0,23.15,44
1575144903775,38.5,36.02,0,23.54,44
1575144904487,38.5,36.05,0,23.2,43
1575144905299,38.5,36.07,0,23.54,44
1575144906118,38.5,36.06,0,23.04,44
1575144906964,38.5,36.06,0,23.31,44
1575144907691,38.5,36.07,0,23.26,44
1575144908508,38.5,36.06,0,23.48,44
1575144909290,38.5,36.07,0,23.65,44
1575144910165,38.5,36.09,0,23.31,43
1575144910976,38.5,36.09,0,23.37,44
1575144911792,38.5,36.09,0,23.26,44
1575144912604,38.5,36.08,0,23.54,43
1575144913376,38.5,36.1,0,23.31,43
1575144914296,38.5,36.1,0,23.2,44
1575144915094,38.5,36.1,0,23.26,45
1575144915894,38.5,36.13,0,23.2,43
1575144916694,38.5,36.13,0,23.76,43
1575144917493,38.5,36.13,0,23.48,43
1575144918289,38.5,36.13,0,23.37,44
1575144919086,38.5,36.13,0,23.7,45
1575144919901,38.5,36.15,0,23.26,44
1575144920683,38.5,36.15,0,23.42,43
1575144921508,38.5,36.16,0,23.7,43
1575144922305,38.5,36.17,0,23.65,44
1575144924116,38.5,36.18,0,23.81,43
1575144924893,38.5,36.18,0,23.65,44
1575144925724,38.5,36.17,0,23.76,43
1575144926508,38.5,36.18,0,23.2,44
1575144927297,38.5,36.17,0,23.76,43
1575144928086,38.5,36.19,0,23.42,45
1575144928926,38.5,36.18,0,23.48,44
1575144929691,38.5,36.2,0,23.37,45
1575144930503,38.5,36.21,0,23.65,44
1575144931297,38.5,36.21,0,23.48,44
1575144932109,38.5,36.21,0,23.59,44
1575144932896,38.5,36.21,0,23.54,45
1575144933690,38,36.22,0,23.37,43
1575144934700,38,36.24,0,23.7,44
1575144935506,38,36.21,0,23.59,43
1575144936296,38,36.23,0,23.09,44
1575144937092,38,36.25,0,23.26,46
1575144937904,38,36.26,0,23.42,43
1575144938694,38,36.26,0,23.26,45
1575144939504,38,36.28,0,23.76,43
1575144940288,38,36.24,0,23.54,43
1575144941099,38,36.29,0,23.59,45
1575144941898,38,36.26,0,23.59,43
1575144942697,38,36.26,0,23.7,43
1575144943500,38,36.3,0,23.48,42
1575144944293,38,36.29,0,23.48,45
1575144945362,38,36.3,0,23.42,44
1575144946095,38,36.31,0,23.7,43
1575144947004,38,36.31,0,23.65,45
1575144947689,38,36.29,0,23.76,45
1575144948558,38,36.34,0,23.37,44
1575144949297,38,36.33,0,23.31,43
1575144950096,38,36.31,0,23.59,44
1575144950903,38,36.35,0,23.42,44
1575144951770,38,36.33,0,23.54,43
1575144952500,38,36.34,0,23.31,43
1575144953303,38,36.32,0,23.15,43
1575144954118,38,36.35,0,23.81,44
