"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575133130748,39.5,39.69,0,22.42,49
1575133131520,39.5,39.66,0,22.7,68
1575133132316,39.5,39.69,0,22.31,65
1575133133317,39.5,39.68,0,22.92,65
1575133133949,39.5,39.7,0,22.76,42
1575133134918,39.5,39.69,0,22.76,41
1575133135721,39.5,39.71,0,22.76,41
1575133136511,39.5,39.69,0,22.65,41
1575133137312,39.5,39.7,0,22.65,41
1575133138110,39.5,39.72,0,22.65,43
1575133138912,39.5,39.69,0,22.26,42
1575133139721,39.5,39.71,0,22.09,42
1575133140519,39.5,39.7,0,22.15,43
1575133142106,39.5,39.71,0,21.81,43
1575133142924,39.5,39.7,0,21.92,43
1575133143920,39.5,39.72,0,22.03,43
1575133144717,39.5,39.71,0,21.59,44
1575133145527,39.5,39.72,0,21.64,44
1575133146390,39.5,39.72,0,21.7,44
1575133147121,39.5,39.73,0,21.37,44
1575133147912,39.5,39.71,0,21.31,44
1575133148710,39.5,39.73,0,21.59,44
1575133149510,39,39.73,0,20.98,45
1575133150343,39,39.75,0,20.81,45
1575133151151,39,39.73,0,21.42,44
1575133152716,39,39.73,0,20.87,45
1575133153542,39,39.73,0,21.64,45
1575133154386,39,39.72,0,21.31,45
1575133155312,39,39.73,0,21.31,46
1575133156158,39,39.73,0,21.87,46
1575133156911,39,39.74,0,21.64,47
1575133157716,39,39.74,0,21.64,46
1575133158521,39,39.73,0,21.59,46
1575133159313,39,39.75,0,21.59,47
1575133160110,39,39.75,0,20.98,46
1575133160918,39,39.74,0,20.98,46
1575133161769,39,39.73,0,21.03,47
1575133162651,38.5,39.73,0,20.81,46
1575133163311,38.5,39.76,0,21.42,46
1575133164309,38.5,39.74,0,20.48,46
1575133164959,38.5,39.76,0,20.7,47
1575133165923,38.5,39.75,0,21.37,47
1575133166714,38.5,39.76,0,21.2,47
1575133167511,38.5,39.75,0,21.03,46
1575133168315,38.5,39.76,0,21.37,47
1575133169132,38.5,39.76,0,20.98,47
1575133169920,38.5,39.76,0,21.14,46
1575133170714,38.5,39.77,0,21.26,47
1575133171508,38.5,39.77,0,21.37,47
1575133173115,38.5,39.78,0,21.31,47
1575133173919,38.5,39.78,0,21.53,48
1575133174916,38.5,39.78,0,20.76,47
1575133176376,38.5,39.78,0,21.09,47
1575133177274,38.5,39.77,0,21.14,47
1575133178248,38,39.75,0,21.37,46
1575133179706,38,39.79,0,20.98,47
1575133180528,38,39.78,0,21.48,47
1575133181310,38,39.78,0,21.64,47
1575133183060,38,39.77,0,21.98,47
1575133183714,38,39.78,0,21.76,47
1575133184532,38,39.79,0,21.59,47
1575133185331,38,39.8,0,21.53,48
1575133186312,38,39.78,0,21.7,47
1575133187110,38,39.8,0,21.53,47
1575133187905,38,39.81,0,21.42,48
1575133188705,38,39.81,0,21.26,47
1575133189532,38,39.8,0,21.81,47
1575133190306,38,39.8,0,21.7,54
1575133191100,38,39.8,0,21.48,48
1575133191926,38,39.81,0,21.87,48
1575133192707,38,39.81,0,21.76,48
1575133193570,38,39.8,0,21.7,48
1575133194340,38,39.83,0,22.09,48
1575133195111,38,39.8,0,21.42,48
1575133196106,37.5,39.81,0,21.59,48
1575133196905,37.5,39.83,0,21.81,48
1575133197751,37.5,39.84,0,21.59,48
1575133198513,37.5,39.83,0,21.48,48
1575133199321,37.5,39.83,0,21.64,48
1575133200107,37.5,39.83,0,21.7,48
1575133200909,37.5,39.81,0,21.7,48
1575133202481,37.5,39.84,0,21.81,48
1575133203311,37.5,39.85,0,21.64,48
1575133204110,37.5,39.86,0,22.09,48
1575133204930,37.5,39.86,0,21.81,48
1575133206913,37.5,39.86,0,21.42,48
1575133207674,37.5,39.86,0,21.87,48
1575133209256,37.5,39.86,0,21.76,49
1575133210886,37.5,39.87,0,22.15,48
1575133213273,37.5,39.87,0,21.98,49
1575133214058,37.5,39.88,0,21.92,48
1575133214856,37.5,39.88,0,21.98,49
1575133215661,37.5,39.89,0,22.03,48
1575133217265,37.5,39.89,0,21.92,49
1575133218070,37.5,39.9,0,21.53,48
1575133218868,37.5,39.89,0,21.7,49
1575133219688,37,39.89,0,22.31,49
1575133220451,37,39.91,0,22.03,49
1575133221251,37,39.91,0,22.37,49
1575133222862,37,39.9,0,21.7,48
1575133223711,37,39.91,0,22.09,49
1575133224506,37,39.9,0,21.81,49
1575133225307,37,39.92,0,21.81,49
1575133226106,37,39.91,0,22.26,49
1575133228782,37,39.92,0,22.26,49
1575133229524,37,39.91,0,22.15,49
1575133230347,37,39.93,0,22.09,49
1575133231100,37,39.92,0,22.26,49
1575133231954,37,39.94,0,22.09,49
1575133232623,37,39.95,0,22.03,49
1575133233523,37,39.95,0,22.42,49
1575133234303,37,39.95,0,22.2,48
1575133235113,37,39.95,0,22.09,49
1575133235913,37,39.99,0,21.64,49
1575133236724,37,39.95,0,20.92,50
1575133237524,37,39.95,0,21.48,49
1575133238368,37,39.96,0,21.26,49
1575133239303,37,39.96,0,21.53,49
1575133240106,37,39.96,0,22.2,49
1575133240908,37,39.95,0,22.2,49
1575133242570,37,39.96,0,22.42,49
1575133243337,37,39.98,0,22.76,50
1575133244123,37,39.98,0,22.59,49
1575133244914,37,39.98,0,22.59,49
1575133245714,37,39.98,0,22.59,50
1575133246511,37,39.99,0,22.48,49
1575133247370,37,39.96,0,22.7,49
1575133248128,37,39.99,0,22.53,50
1575133249202,37,39.99,0,22.59,49
1575133250000,36.5,40.03,0,22.48,50
1575133250839,36.5,40.01,0,22.48,50
1575133251598,36.5,40.01,0,22.7,50
1575133252401,36.5,40,0,22.81,49
1575133253205,36.5,40.01,0,22.53,50
1575133253992,36.5,40.02,0,22.42,49
1575133254789,36.5,40.03,0,22.65,49
1575133255591,36.5,40.02,0,23.09,50
1575133256382,36.5,40.03,0,22.92,50
1575133257276,36.5,40.03,0,22.53,49
1575133257993,36.5,40.03,0,22.7,50
1575133258775,36.5,40.03,0,22.42,50
1575133259578,36.5,40.03,0,22.81,49
1575133260621,36.5,40.03,0,22.26,50
1575133261313,36.5,40.04,0,22.37,50
1575133261981,36.5,40.05,0,22.76,50
1575133262913,36.5,40.04,0,22.48,50
1575133263715,36.5,40.05,0,22.31,49
1575133264514,36.5,40.04,0,22.76,49
1575133265312,36.5,40.06,0,21.98,50
1575133266124,36.5,40.07,0,22.42,49
1575133266920,36.5,40.04,0,22.65,50
1575133267719,36.5,40.06,0,23.37,49
1575133268511,36.5,40.07,0,23.54,50
1575133269324,36.5,40.07,0,23.42,50
1575133270314,36.5,40.06,0,23.15,50
1575133270993,36.5,40.06,0,22.48,50
1575133273513,36.5,40.09,0,23.54,50
1575133274310,36.5,40.08,0,23.76,50
1575133275121,36.5,40.07,0,23.59,50
1575133275933,36.5,40.08,0,23.26,50
1575133276731,36.5,40.06,0,23.48,49
1575133277513,36.5,40.1,0,23.65,50
1575133278319,36.5,40.1,0,24.2,50
1575133279119,36.5,40.1,0,23.2,50
1575133280113,36.5,40.08,0,23.42,50
1575133281734,36.5,40.11,0,23.7,50
1575133282508,36.5,40.11,0,23.42,50
1575133283318,36.5,40.11,0,23.65,50
1575133284240,36.5,40.11,0,23.48,50
1575133284919,36.5,40.13,0,23.54,50
1575133285724,36.5,40.11,0,23.42,50
1575133286514,36.5,40.14,0,23.81,49
1575133287440,36.5,40.15,0,24.09,50
1575133288115,36.5,40.15,0,23.48,50
1575133288914,36.5,40.11,0,23.54,50
1575133289739,36.5,40.15,0,23.65,50
1575133290647,36.5,40.14,0,23.92,50
1575133291512,36.5,40.15,0,23.76,62
1575133292323,36.5,40.15,0,24.09,50
1575133293109,36.5,40.15,0,23.98,50
1575133293856,36.5,40.17,0,23.87,50
1575133294759,36.5,40.16,0,23.76,50
1575133295517,36.5,40.17,0,23.92,50
1575133296310,36.5,40.17,0,23.65,50
1575133297916,36,40.17,0,24.37,50
1575133298768,36,40.18,0,24.15,50
1575133299517,36,40.17,0,24.04,50
1575133300307,36,40.2,0,24.15,50
1575133301310,36,40.19,0,24.26,50
1575133303711,36,40.2,0,24.26,50
1575133304512,36,40.19,0,24.09,50
1575133305316,36,40.2,0,23.98,50
1575133306125,36,40.22,0,24.31,50
1575133307756,36,40.22,0,24.37,50
1575133308559,36,40.21,0,24.15,51
1575133309312,36,40.23,0,24.65,50
1575133310116,36,40.21,0,24.59,50
1575133310908,36,40.22,0,24.04,50
1575133311908,36,40.22,0,24.04,50
1575133313516,36,40.24,0,24.98,50
1575133314326,36,40.25,0,24.54,50
1575133315115,36,40.25,0,24.2,50
1575133315913,36,40.25,0,24.59,50
1575133316707,36,40.24,0,24.15,51
1575133317555,36,40.25,0,24.59,50
1575133318319,36,40.24,0,24.59,50
1575133319114,36,40.28,0,25.04,50
1575133320725,36,40.28,0,24.93,50
1575133321516,36,40.28,0,24.65,50
1575133323150,36,40.24,0,24.15,50
1575133324123,36,40.28,0,24.43,50
1575133324933,36,40.29,0,24.54,51
1575133325830,36,40.29,0,24.98,51
1575133326507,36,40.31,0,24.48,50
1575133327374,36,40.3,0,24.37,50
1575133328129,36,40.29,0,24.15,50
1575133329029,36,40.31,0,24.48,50
1575133329719,36,40.32,0,24.37,50
1575133330512,36,40.32,0,24.65,50
1575133331309,36,40.31,0,24.81,51
1575133332975,36,40.32,0,25.15,51
1575133333918,36,40.33,0,25.31,50
1575133334711,36,40.33,0,24.93,50
1575133335432,36,40.33,0,24.93,50
1575133336309,36,40.33,0,24.87,50
1575133337183,36,40.34,0,25.04,50
1575133337915,36,40.36,0,24.81,51
1575133338717,35.5,40.36,0,25.04,51
1575133339509,35.5,40.35,0,25.26,51
1575133340309,35.5,40.35,0,24.93,50
1575133341174,35.5,40.35,0,24.81,50
1575133341933,35.5,40.36,0,25.15,50
1575133342710,35.5,40.37,0,24.87,51
1575133343725,35.5,40.35,0,25.2,50
1575133344514,35.5,40.38,0,25.37,50
1575133345311,35.5,40.38,0,25.31,51
1575133346174,35.5,40.38,0,25.04,50
1575133346932,35.5,40.39,0,24.98,51
1575133347715,35.5,40.39,0,25.2,50
1575133348516,35.5,40.39,0,25.37,50
1575133349312,35.5,40.38,0,25.09,50
1575133350110,35.5,40.4,0,25.43,50
1575133350969,35.5,40.38,0,25.2,51
1575133351736,35.5,40.4,0,25.54,50
1575133352512,35.5,40.4,0,25.26,51
1575133353318,35.5,40.39,0,25.2,50
1575133354312,35.5,40.42,0,24.98,50
1575133355170,35.5,40.44,0,25.43,50
1575133355918,35.5,40.43,0,25.54,50
1575133356584,35.5,40.44,0,25.37,50
1575133357510,35.5,40.43,0,25.48,50
1575133358311,35.5,40.45,0,25.65,49
1575133359119,35.5,40.45,0,25.48,50
1575133359910,35.5,40.46,0,25.2,50
1575133360718,35.5,40.43,0,25.43,50
1575133361515,35.5,40.45,0,25.65,50
1575133363113,35.5,40.44,0,25.7,51
1575133363907,35.5,40.47,0,25.76,51
1575133364912,35.5,40.47,0,25.37,50
1575133365580,35.5,40.46,0,25.59,50
1575133366509,35.5,40.47,0,25.48,50
1575133367405,35.5,40.48,0,25.7,51
1575133368108,35.5,40.48,0,25.76,51
1575133368919,35.5,40.47,0,25.31,51
1575133369711,35.5,40.48,0,25.48,50
1575133370611,35.5,40.49,0,25.54,50
1575133371314,35.5,40.5,0,25.7,50
1575133372111,35.5,40.51,0,25.7,50
1575133373818,35.5,40.5,0,25.82,50
1575133374514,35.5,40.5,0,25.93,51
1575133375512,35.5,40.51,0,26.04,51
1575133376350,35.5,40.52,0,25.87,50
1575133376997,35.5,40.51,0,26.04,50
1575133377917,35.5,40.53,0,25.82,50
1575133378713,35.5,40.54,0,26.09,50
1575133379510,35.5,40.53,0,25.48,50
1575133380218,35.5,40.53,0,25.59,50
1575133381143,35.5,40.54,0,25.93,50
1575133381923,35.5,40.54,0,25.87,50
1575133383509,35.5,40.55,0,25.82,50
1575133384309,35.5,40.57,0,25.76,50
1575133385119,35,40.55,0,25.54,51
1575133385996,35,40.58,0,25.87,51
1575133386915,35,40.57,0,26.2,50
1575133387710,35,40.59,0,26.09,50
1575133388509,35,40.58,0,26.2,50
1575133389315,35,40.55,0,25.54,50
1575133390179,35,40.6,0,25.98,50
1575133390918,35,40.59,0,26.04,50
1575133391709,35,40.59,0,26.15,50
1575133392511,35,40.61,0,26.04,50
1575133393311,35,40.61,0,25.82,50
1575133394110,35,40.6,0,26.04,50
1575133394937,35,40.59,0,26.04,50
1575133395727,35,40.62,0,26.2,50
1575133396716,35,40.61,0,26.15,50
1575133397523,35,40.61,0,26.32,50
1575133398309,35,40.61,0,26.2,50
1575133399112,35,40.63,0,26.54,51
1575133400733,35,40.62,0,26.15,50
1575133401518,35,40.64,0,26.26,50
1575133402315,35,40.64,0,26.32,50
1575133403108,35,40.66,0,26.32,50
1575133403976,35,40.63,0,26.65,50
1575133404711,35,40.64,0,26.37,50
1575133405511,35,40.65,0,26.26,50
1575133406313,35,40.66,0,25.82,50
1575133407311,35,40.66,0,26.2,50
1575133408183,35,40.66,0,26.48,50
