"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575133130598,35.5,39.6,0,23.37,42
1575133131210,35.5,39.6,0,24.15,59
1575133132018,35.5,39.63,0,23.81,57
1575133133011,35.5,39.61,0,23.42,40
1575133133813,35.5,39.62,0,23.76,41
1575133134619,35.5,39.61,0,23.98,40
1575133135431,35.5,39.61,0,23.2,42
1575133136227,35.5,39.62,0,23.31,40
1575133137046,35.5,39.63,0,23.42,40
1575133137828,35.5,39.63,0,24.15,40
1575133138634,35.5,39.61,0,23.42,41
1575133139462,35.5,39.63,0,23.48,42
1575133140663,35.5,39.65,0,23.76,41
1575133140684,35.5,39.65,0,23.76,41
1575133141038,35.5,39.63,0,23.65,42
1575133141857,35.5,39.64,0,23.65,41
1575133142646,35.5,39.64,0,23.92,41
1575133143443,35.5,39.64,0,23.98,41
1575133144246,35.5,39.63,0,23.15,41
1575133145248,35.5,39.66,0,23.81,42
1575133146199,35.5,39.65,0,23.81,42
1575133146863,35.5,39.68,0,23.54,43
1575133147654,35.5,39.66,0,23.76,40
1575133148459,35.5,39.69,0,23.48,41
1575133149386,35.5,39.68,0,23.37,41
1575133150064,35.5,39.66,0,23.65,41
1575133150865,35.5,39.66,0,23.48,41
1575133151663,35.5,39.69,0,23.98,42
1575133152563,35.5,39.7,0,23.65,42
1575133153333,35,39.69,0,24.09,41
1575133154068,35,39.7,0,23.81,41
1575133154868,35.5,39.7,0,23.54,40
1575133155801,35,39.7,0,23.92,40
1575133156673,35,39.72,0,23.92,41
1575133157481,35,39.71,0,23.81,41
1575133158282,35,39.68,0,23.7,42
1575133158967,35,39.71,0,23.81,41
1575133159881,35,39.71,0,23.92,40
1575133160681,35,39.69,0,23.54,42
1575133161485,35,39.71,0,23.42,40
1575133162281,35,39.72,0,23.65,41
1575133163082,35,39.71,0,23.81,39
1575133163882,35,39.73,0,23.09,41
1575133164687,35,39.71,0,23.2,41
1575133165492,35,39.73,0,23.81,41
1575133166292,35,39.72,0,23.76,42
1575133167094,35,39.73,0,23.76,40
1575133168097,35,39.74,0,24.2,42
1575133168895,35,39.73,0,23.92,41
1575133169713,35,39.75,0,23.31,41
1575133170508,35,39.73,0,23.81,41
1575133171302,35,39.73,0,23.87,41
1575133172106,35,39.75,0,23.98,42
1575133172907,35,39.75,0,23.92,42
1575133173706,35,39.73,0,23.76,43
1575133174517,35,39.75,0,24.54,42
1575133175310,35,39.76,0,24.59,42
1575133176150,35,39.76,0,23.81,44
1575133177083,35,39.77,0,24.26,42
1575133177716,35,39.79,0,24.04,43
1575133178543,35,39.77,0,23.92,44
1575133179529,35,39.77,0,23.92,44
1575133180317,35,39.77,0,24.04,44
1575133181520,35,39.78,0,24.2,44
1575133181535,35,39.78,0,24.2,44
1575133182054,35,39.77,0,24.26,45
1575133182757,34.5,39.76,0,23.87,44
1575133183529,34.5,39.77,0,23.92,45
1575133184333,34.5,39.78,0,23.92,44
1575133185132,34.5,39.78,0,23.98,45
1575133185930,34.5,39.78,0,24.09,45
1575133186732,34.5,39.77,0,23.92,46
1575133187537,34.5,39.78,0,24.48,45
1575133188335,34.5,39.78,0,24.2,46
1575133189138,34.5,39.78,0,24.31,47
1575133189939,34.5,39.77,0,24.43,46
1575133190942,34.5,39.78,0,24.04,46
1575133191744,34.5,39.79,0,24.26,46
1575133192545,34.5,39.81,0,24.7,46
1575133193347,34.5,39.8,0,23.98,49
1575133194147,34.5,39.8,0,23.98,46
1575133194950,34.5,39.8,0,24.04,47
1575133195750,34.5,39.79,0,24.15,48
1575133196550,34.5,39.79,0,23.92,47
1575133197357,34.5,39.8,0,24.7,47
1575133198354,34.5,39.8,0,24.15,47
1575133198960,34.5,39.8,0,24.2,46
1575133199762,34.5,39.83,0,24.48,47
1575133200743,34.5,39.81,0,24.2,48
1575133201546,34.5,39.8,0,24.04,48
1575133202384,34.5,39.81,0,24.04,48
1575133203149,34.5,39.84,0,24.15,48
1575133203951,34.5,39.81,0,24.43,49
1575133205590,34.5,39.81,0,24.59,49
1575133206348,34.5,39.84,0,24.15,49
1575133207143,34.5,39.81,0,24.15,49
1575133207941,34.5,39.84,0,24.15,50
1575133209643,34.5,39.84,0,24.54,50
1575133209672,34.5,39.84,0,24.54,50
1575133209692,34.5,39.84,0,24.54,50
1575133209713,34.5,39.84,0,24.54,50
1575133210346,34.5,39.83,0,24.04,50
1575133211145,34.5,39.84,0,24.37,50
1575133212007,34,39.85,0,24.26,50
1575133213615,34,39.84,0,24.26,50
1575133213638,34,39.84,0,24.26,50
1575133213660,34,39.84,0,24.26,50
1575133213678,34,39.84,0,24.26,50
1575133213698,34,39.84,0,24.26,50
1575133213718,34,39.84,0,24.26,50
1575133214422,34,39.85,0,24.48,50
1575133215421,34,39.85,0,24.48,51
1575133216221,34,39.85,0,24.26,51
1575133217037,34,39.84,0,24.48,50
1575133218424,34,39.86,0,24.04,52
1575133218454,34,39.86,0,24.04,52
1575133218478,34,39.86,0,24.04,52
1575133218497,34,39.86,0,24.04,52
1575133218519,34,39.86,0,24.04,52
1575133218542,34,39.86,0,24.04,52
1575133218625,34,39.86,0,24.65,52
1575133219472,34,39.83,0,24.26,51
1575133220231,34,39.86,0,24.54,53
1575133221031,34,39.86,0,24.31,52
1575133222461,34,39.86,0,24.43,52
1575133222478,34,39.86,0,24.43,52
1575133222649,34,39.85,0,24.76,52
1575133223438,34,39.85,0,24.2,52
1575133224274,33.5,39.87,0,24.15,52
1575133225040,33.5,39.86,0,24.37,53
1575133225842,33.5,39.88,0,24.09,53
1575133226671,33.5,39.88,0,24.43,53
1575133227652,33.5,39.86,0,24.26,54
1575133228460,33.5,39.86,0,24.37,54
1575133229256,33.5,39.86,0,24.65,54
1575133230063,33.5,39.87,0,24.15,54
1575133230900,33.5,39.86,0,24.2,54
1575133231658,33.5,39.88,0,24.76,54
1575133232468,33.5,39.87,0,24.15,55
1575133233292,33.5,39.88,0,24.15,55
1575133234066,33.5,39.88,0,24.59,55
1575133234867,33,39.89,0,24.31,56
1575133235680,33,39.87,0,24.15,55
1575133236475,33,39.88,0,24.15,56
1575133237279,33,39.89,0,24.65,54
1575133238085,33,39.88,0,24.31,56
1575133238879,33,39.89,0,24.54,55
1575133239887,33,39.89,0,24.37,55
1575133240711,33,39.87,0,24.26,55
1575133241482,33,39.88,0,24.31,55
1575133241506,33,39.88,0,24.31,55
1575133242299,33,39.88,0,24.43,56
1575133243097,32.5,39.86,0,24.37,56
1575133244093,32.5,39.89,0,24.37,56
1575133244658,32.5,39.91,0,24.09,56
1575133246304,32.5,39.87,0,24.54,55
1575133246330,32.5,39.87,0,24.54,55
1575133246351,32.5,39.87,0,24.54,55
1575133247116,32.5,39.9,0,24.31,56
1575133247932,32.5,39.9,0,24.43,56
1575133249569,32.5,39.87,0,24.76,56
1575133249597,32.5,39.87,0,24.76,56
1575133250297,32.5,39.89,0,24.87,56
1575133251134,32.5,39.9,0,24.54,56
1575133251944,32.5,39.9,0,24.76,56
1575133252802,32.5,39.9,0,24.37,56
1575133253745,32.5,39.91,0,24.48,56
1575133254544,32.5,39.9,0,24.2,56
1575133255368,32.5,39.9,0,24.31,56
1575133256144,32.5,39.9,0,24.76,56
1575133256953,32.5,39.91,0,24.54,55
1575133257746,32.5,39.9,0,24.15,56
1575133258555,32,39.89,0,24.37,56
1575133259356,32,39.91,0,24.59,56
1575133260158,32,39.9,0,24.31,56
1575133260956,32,39.89,0,24.43,56
1575133261761,32,39.91,0,24.43,56
1575133262563,32,39.91,0,24.31,57
1575133263368,32,39.92,0,24.59,56
1575133264182,32,39.9,0,24.65,56
1575133265174,32,39.92,0,24.81,56
1575133265975,32,39.92,0,24.04,56
1575133266779,32,39.88,0,24.76,56
1575133267712,32,39.91,0,24.43,56
1575133268381,32,39.91,0,24.7,56
1575133269180,32,39.91,0,24.81,55
1575133269984,32,39.9,0,24.37,56
1575133270918,32,39.92,0,24.65,56
1575133271591,32,39.92,0,24.2,56
1575133272391,32,39.91,0,24.81,56
1575133273195,32,39.92,0,24.59,56
1575133274113,32,39.92,0,24.31,56
1575133274795,32,39.92,0,24.59,56
1575133275593,32,39.94,0,24.81,56
1575133276598,32,39.93,0,24.37,55
1575133277314,32,39.91,0,24.7,56
1575133278203,32,39.93,0,24.48,56
1575133279009,32,39.92,0,24.48,56
1575133279810,32,39.93,0,25.09,55
1575133280517,32,39.91,0,24.93,56
1575133281414,32,39.93,0,24.59,55
1575133282215,32,39.92,0,24.7,56
1575133283017,32,39.92,0,24.7,55
1575133283822,32,39.93,0,24.98,55
1575133284619,32,39.92,0,24.81,55
1575133285422,32,39.92,0,24.65,56
1575133286231,32,39.94,0,24.65,56
1575133287033,32,39.92,0,24.98,55
1575133287831,32,39.92,0,24.98,56
1575133288831,32,39.93,0,24.59,56
1575133289629,32,39.93,0,24.65,56
1575133290433,32,39.93,0,24.7,55
1575133291232,32,39.94,0,24.76,55
1575133292034,32,39.94,0,24.7,56
1575133292850,32,39.95,0,24.54,55
1575133293647,32,39.95,0,24.65,55
1575133294461,32,39.95,0,24.7,56
1575133295249,31.5,39.95,0,24.48,55
1575133296055,31.5,39.95,0,24.98,56
1575133296878,31.5,39.95,0,24.98,56
1575133297662,31.5,39.95,0,24.98,55
1575133298469,31.5,39.98,0,24.81,56
1575133299278,31.5,39.99,0,24.81,56
1575133300095,31.5,39.95,0,24.76,56
1575133301080,31.5,39.96,0,25.15,56
1575133301797,31.5,39.96,0,24.48,57
1575133302676,31.5,39.95,0,24.98,56
1575133303491,31.5,39.95,0,25.04,56
1575133304280,31.5,39.95,0,24.81,56
1575133305084,31.5,39.96,0,24.98,56
1575133305898,31.5,39.95,0,24.93,57
1575133306686,31.5,39.98,0,25.09,56
1575133307487,31.5,39.96,0,25.09,55
1575133308296,31.5,39.96,0,24.65,56
1575133309085,31.5,39.99,0,24.87,56
1575133309888,31.5,39.95,0,25.04,56
1575133310702,31.5,39.99,0,25.04,56
1575133311688,31.5,39.96,0,25.04,55
1575133312515,31.5,39.98,0,25.31,56
1575133313301,31.5,39.95,0,25.2,56
1575133314098,31.5,39.98,0,24.81,55
1575133314907,31.5,39.96,0,25.31,56
1575133315706,31.5,39.98,0,24.87,56
1575133316517,31.5,39.96,0,25.2,56
1575133317320,31.5,39.98,0,25.31,56
1575133318122,31.5,39.98,0,25.09,55
1575133318901,31.5,40.01,0,25.31,56
1575133319748,31.5,40,0,24.93,55
1575133320551,31.5,40.02,0,25.15,55
1575133321355,31.5,39.99,0,25.26,56
1575133322152,31.5,39.98,0,25.37,56
1575133323019,31.5,39.99,0,25.2,55
1575133323753,31.5,40.01,0,25.04,56
1575133324562,31.5,40.01,0,25.48,55
1575133325565,31.5,40,0,25.43,56
1575133326371,31.5,40.02,0,25.54,56
1575133327169,31.5,40.01,0,25.59,56
1575133327976,31.5,40.01,0,25.48,56
1575133328772,31.5,40.03,0,25.48,55
