"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575133131094,42,37.78,0,15.58,42
1575133131724,41.5,37.79,0,15.47,42
1575133132564,41.5,37.79,0,15.47,42
1575133134200,41.5,37.78,0,15.31,41
1575133135033,41.5,37.79,0,15.31,41
1575133135868,41.5,37.79,0,15.64,42
1575133136808,41.5,37.79,0,15.42,41
1575133137527,41.5,37.78,0,15.53,41
1575133138367,41.5,37.79,0,15.47,42
1575133139170,41.5,37.82,0,15.2,42
1575133139962,41.5,37.81,0,15.58,43
1575133140639,41.5,37.81,0,16.03,41
1575133141462,41.5,37.81,0,15.86,42
1575133142295,41.5,37.81,0,15.47,42
1575133143210,41.5,37.81,0,15.47,43
1575133143958,41.5,37.82,0,15.2,43
1575133144775,41.5,37.82,0,15.7,42
1575133145637,41.5,37.8,0,15.7,44
1575133146366,41.5,37.82,0,15.92,41
1575133147298,41.5,37.82,0,15.31,41
1575133148142,41.5,37.83,0,15.64,42
1575133148964,41.5,37.83,0,15.64,43
1575133150448,41.5,37.85,0,15.86,40
1575133151268,41.5,37.85,0,15.75,42
1575133152101,41.5,37.82,0,15.92,42
1575133152951,41.5,37.86,0,15.92,43
1575133153780,41.5,37.86,0,15.92,41
1575133154635,41.5,37.84,0,15.97,43
1575133155494,41.5,37.85,0,15.53,43
1575133156317,41.5,37.86,0,15.97,43
1575133156936,41.5,37.86,0,15.58,42
1575133157766,41.5,37.84,0,15.92,42
1575133158622,41.5,37.86,0,16.08,42
1575133159442,41.5,37.87,0,16.42,42
1575133160266,41.5,37.87,0,16.08,43
1575133161098,41.5,37.87,0,15.86,44
1575133161955,41.5,37.88,0,16.36,42
1575133162798,42,37.88,0,16.64,42
1575133163659,42,37.89,0,16.31,43
1575133164324,42,37.88,0,16.64,42
1575133165194,42,37.91,0,16.47,41
1575133166033,42,37.91,0,16.42,43
1575133166885,42,37.89,0,16.2,41
1575133167544,42,37.91,0,16.47,41
1575133168446,42,37.89,0,15.97,42
1575133169282,42,37.94,0,16.64,42
1575133170114,42,37.92,0,16.42,42
1575133170982,42,37.92,0,16.59,42
1575133171644,42,37.93,0,16.75,42
1575133172492,42,37.95,0,16.86,43
1575133173322,42,37.92,0,16.14,41
1575133174169,42,37.93,0,16.59,41
1575133175182,42,37.95,0,16.75,42
1575133175738,42,37.93,0,16.97,42
1575133176667,42,37.95,0,17.25,42
1575133177410,42,37.95,0,16.59,42
1575133178228,42,37.95,0,16.7,41
1575133179067,42,37.96,0,16.75,43
1575133179895,42,37.95,0,16.81,43
1575133180806,41.5,37.95,0,16.97,43
1575133181454,41.5,37.95,0,16.97,42
1575133182376,41.5,37.96,0,17.36,42
1575133183367,41.5,37.97,0,17.03,42
1575133184177,41.5,37.96,0,16.97,43
1575133184967,41.5,37.97,0,17.09,42
1575133185486,41.5,37.98,0,16.81,42
1575133186310,41.5,37.98,0,16.92,42
1575133187135,41.5,37.98,0,16.97,44
1575133187964,41.5,37.99,0,17.36,41
1575133189748,41.5,38,0,16.97,43
1575133190570,41.5,37.98,0,17.03,46
1575133191367,41.5,37.98,0,16.75,47
1575133192155,41.5,38,0,16.59,47
1575133192978,41.5,37.99,0,16.97,47
1575133193760,41.5,38,0,16.92,47
1575133194564,41.5,38,0,17.25,48
1575133195376,41.5,38.04,0,16.97,46
1575133196178,41.5,38.01,0,16.86,47
1575133196947,41.5,38.01,0,16.81,47
1575133197759,41.5,38.03,0,16.81,47
1575133198569,41.5,38.03,0,16.92,46
1575133199381,41.5,38.04,0,17.2,47
1575133200343,41.5,38.04,0,17.31,47
1575133201166,41.5,38.03,0,17.03,46
1575133202817,41.5,38.03,0,17.36,48
1575133203442,41.5,38.04,0,17.2,47
1575133204292,41.5,38.06,0,17.03,47
1575133205085,41.5,38.04,0,17.25,46
1575133205916,41.5,38.06,0,16.92,46
1575133206749,41,38.06,0,17.53,47
1575133207584,41,38.07,0,17.25,47
1575133208408,41,38.08,0,17.2,47
1575133209238,41,38.06,0,17.31,46
1575133210063,41,38.06,0,17.64,46
1575133210867,41,38.07,0,17.09,47
1575133211687,41,38.07,0,16.97,47
1575133212509,41,38.04,0,17.59,46
1575133213339,41,38.08,0,17.36,49
1575133214257,41,38.09,0,17.31,47
1575133214991,41,38.08,0,17.2,46
1575133215835,41,38.06,0,17.64,46
1575133216641,41,38.08,0,17.25,48
1575133217455,41,38.1,0,17.36,46
1575133218271,41,38.1,0,17.14,47
1575133219116,41,38.1,0,17.31,47
1575133219784,41,38.1,0,17.64,48
1575133220558,41,38.11,0,17.64,47
1575133221371,41,38.11,0,17.75,46
1575133222213,41,38.09,0,17.25,47
1575133223030,41,38.1,0,16.97,47
1575133223902,41,38.12,0,17.75,48
1575133224666,41,38.12,0,17.59,47
1575133225495,41,38.12,0,17.47,47
1575133228092,41,38.13,0,17.64,48
1575133228898,41,38.12,0,17.47,45
1575133229679,41,38.11,0,17.64,46
1575133230470,41,38.12,0,18.09,47
1575133231298,40.5,38.13,0,18.14,46
1575133232084,40.5,38.16,0,17.86,46
1575133232866,40.5,38.14,0,17.64,46
1575133233666,40.5,38.15,0,17.86,47
1575133234468,40.5,38.16,0,17.64,47
1575133235269,40.5,38.14,0,17.75,46
1575133236067,40.5,38.15,0,17.7,46
1575133236864,40.5,38.15,0,18.09,47
1575133237727,40.5,38.15,0,17.81,47
1575133238669,40.5,38.15,0,18.2,47
1575133240319,40.5,38.18,0,17.98,46
1575133241147,40.5,38.15,0,17.92,47
1575133241760,40.5,38.16,0,17.98,47
1575133242589,40.5,38.17,0,17.81,47
1575133243436,40.5,38.15,0,18.42,46
1575133244287,40.5,38.2,0,18.03,47
1575133245072,40.5,38.17,0,17.75,47
1575133245901,40.5,38.16,0,17.75,47
1575133246720,40.5,38.17,0,18.03,46
1575133247538,40.5,38.17,0,17.59,47
1575133248363,40.5,38.18,0,18.25,46
1575133249187,40.5,38.2,0,18.14,47
1575133250032,40.5,38.18,0,18.36,46
1575133250876,40.5,38.21,0,18.42,46
1575133251720,40.5,38.22,0,18.25,46
1575133252517,40.5,38.18,0,18.42,46
1575133253375,40.5,38.21,0,18.31,47
1575133254169,40,38.21,0,18.25,46
1575133254999,40,38.22,0,18.2,46
1575133255633,40,38.23,0,17.86,47
1575133256445,40,38.24,0,18.48,46
1575133257272,40,38.21,0,18.36,47
1575133258128,40,38.23,0,17.98,48
1575133258903,40,38.24,0,18.14,49
1575133259727,40,38.24,0,18.2,50
1575133260557,40,38.24,0,18.31,49
1575133261503,40,38.24,0,18.14,49
1575133262202,40,38.26,0,18.42,50
1575133263023,40,38.23,0,18.81,50
1575133263844,40,38.26,0,17.86,50
1575133264721,40,38.23,0,18.81,50
1575133265503,40,38.25,0,18.36,50
1575133266341,40,38.24,0,18.14,50
1575133267148,40,38.25,0,18.48,50
1575133267895,40,38.27,0,18.59,49
1575133268810,40,38.26,0,18.48,50
1575133269643,40,38.27,0,18.14,49
1575133270447,40,38.27,0,18.42,50
1575133271275,40,38.27,0,18.53,49
1575133272112,40,38.29,0,18.42,48
1575133272945,40,38.27,0,18.14,50
1575133273762,40,38.28,0,18.75,50
1575133274580,40,38.26,0,18.7,50
1575133275204,40,38.28,0,18.48,50
1575133276041,40,38.29,0,18.7,50
1575133276867,40,38.3,0,18.25,50
1575133277714,40,38.31,0,18.75,51
1575133278502,40,38.29,0,18.92,50
1575133279323,39.5,38.29,0,18.81,49
1575133280155,39.5,38.29,0,18.64,50
1575133280979,39.5,38.3,0,18.7,50
1575133281799,39.5,38.32,0,18.86,49
1575133282635,39.5,38.29,0,18.7,50
1575133283467,39.5,38.32,0,18.92,50
1575133284312,39.5,38.31,0,18.98,50
1575133285121,39.5,38.32,0,18.81,50
1575133285944,39.5,38.31,0,18.42,50
1575133286763,39.5,38.32,0,19.03,50
1575133287615,39.5,38.33,0,18.59,50
1575133288403,39.5,38.31,0,18.48,50
1575133289223,39.5,38.35,0,18.75,50
1575133290048,39.5,38.33,0,18.64,50
1575133290878,39.5,38.33,0,19.2,50
1575133291703,39.5,38.33,0,18.81,51
1575133292527,39.5,38.36,0,18.7,51
