"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575133131433,41.5,37.26,0,16.14,55
1575133131833,41.5,37.24,0,16.59,42
1575133132636,41.5,37.24,0,16.59,44
1575133133433,41.5,37.27,0,16.14,52
1575133134197,41.5,37.26,0,16.36,43
1575133135063,41.5,37.26,0,16.36,42
1575133135839,41.5,37.25,0,16.2,42
1575133136644,41.5,37.26,0,16.86,41
1575133137394,41.5,37.28,0,16.81,42
1575133138245,41.5,37.26,0,16.47,42
1575133139034,41.5,37.27,0,16.14,43
1575133139830,41.5,37.28,0,16.59,41
1575133140851,41.5,37.27,0,16.31,43
1575133141647,41.5,37.28,0,16.25,42
1575133142441,41.5,37.3,0,16.42,43
1575133143240,41.5,37.27,0,16.47,43
1575133144039,41.5,37.29,0,16.64,42
1575133144908,41.5,37.29,0,16.2,44
1575133145642,41.5,37.29,0,16.42,44
1575133146435,41.5,37.3,0,16.75,44
1575133147247,41.5,37.28,0,16.42,42
1575133148037,41.5,37.29,0,16.59,42
1575133148830,41.5,37.29,0,16.92,43
1575133149696,41.5,37.32,0,16.59,43
1575133150480,41.5,37.32,0,16.42,44
1575133151437,41.5,37.34,0,15.64,46
1575133152236,41.5,37.33,0,14.58,46
1575133153036,41.5,37.33,0,14.03,45
1575133153837,41.5,37.34,0,14.08,45
1575133154673,41.5,37.34,0,14.36,45
1575133155442,41.5,37.34,0,14.58,45
1575133156245,41.5,37.34,0,14.81,46
1575133157037,41.5,37.33,0,15.08,44
1575133157831,41.5,37.35,0,15.47,44
1575133158633,41.5,37.35,0,16.03,45
1575133159465,41,37.34,0,16.64,42
1575133160246,41,37.35,0,16.14,44
1575133161239,41,37.34,0,16.36,45
1575133162034,41,37.35,0,16.75,44
1575133162978,41,37.36,0,16.86,43
1575133163648,41,37.37,0,16.64,45
1575133164437,41,37.34,0,16.59,44
1575133165234,41,37.38,0,16.53,44
1575133166172,41,37.4,0,17.42,44
1575133166836,41,37.38,0,16.97,45
1575133167647,41,37.37,0,16.59,45
1575133168456,40.5,37.39,0,16.64,46
1575133169392,40.5,37.38,0,16.31,46
1575133170044,40.5,37.39,0,16.14,47
1575133170835,40.5,37.4,0,16.64,47
1575133171836,40.5,37.38,0,16.75,47
1575133172584,40.5,37.4,0,16.59,45
1575133173310,40.5,37.42,0,17.47,46
1575133174243,40.5,37.41,0,17.25,46
1575133175038,40.5,37.42,0,17.36,47
1575133175796,40,37.41,0,17.31,47
1575133176643,40,37.42,0,17.53,47
1575133177571,40,37.43,0,17.98,47
1575133178242,40,37.45,0,17.98,46
1575133179042,40,37.43,0,18.25,47
1575133179961,40,37.44,0,17.92,47
1575133180789,40,37.45,0,17.7,47
1575133181633,40,37.45,0,18.03,46
1575133182491,40,37.47,0,18.59,47
1575133183351,39.5,37.47,0,18.48,46
1575133183983,39.5,37.48,0,18.92,47
1575133184801,39.5,37.47,0,18.36,47
1575133185584,39.5,37.48,0,19.14,47
1575133186388,39.5,37.5,0,18.64,47
1575133187201,39.5,37.49,0,18.98,47
1575133187985,39.5,37.5,0,18.64,47
1575133188845,39.5,37.51,0,18.92,46
1575133189632,39.5,37.51,0,19.31,47
1575133190628,39.5,37.5,0,19.42,54
1575133191450,39.5,37.52,0,19.37,47
1575133192234,39,37.52,0,19.42,47
1575133193094,39,37.52,0,19.7,48
1575133193878,39,37.54,0,19.42,46
1575133194644,39,37.54,0,19.87,47
1575133195437,39,37.53,0,19.59,47
1575133196239,39,37.55,0,19.81,47
1575133197034,39,37.55,0,20.09,47
1575133197845,39,37.59,0,20.2,47
1575133198679,39,37.57,0,19.92,47
1575133199448,39,37.59,0,20.2,47
1575133200243,39,37.59,0,20.25,47
1575133201238,39,37.59,0,20.64,46
1575133202039,39,37.61,0,20.64,47
1575133202839,39,37.61,0,20.76,47
1575133203650,38.5,37.59,0,20.76,48
1575133204448,38.5,37.61,0,20.59,47
1575133205241,38.5,37.62,0,20.98,47
1575133206039,38.5,37.63,0,21.03,46
1575133206834,38.5,37.65,0,21.26,47
1575133207640,38.5,37.64,0,20.98,47
1575133208458,38.5,37.67,0,20.87,48
1575133209260,38.5,37.66,0,21.48,46
1575133210047,38.5,37.67,0,21.59,47
1575133211141,38.5,37.68,0,21.53,47
1575133211951,38.5,37.67,0,21.42,46
1575133212758,38.5,37.69,0,21.64,46
1575133213536,38.5,37.7,0,21.59,46
1575133214334,38.5,37.72,0,21.87,46
1575133215144,38.5,37.72,0,21.7,47
1575133215941,38.5,37.72,0,21.87,47
1575133216737,38.5,37.73,0,21.87,46
1575133218404,38.5,37.76,0,22.03,45
1575133219183,38.5,37.74,0,22.59,46
1575133219923,38,37.76,0,22.09,47
1575133220723,38,37.78,0,21.87,48
1575133221528,38,37.78,0,21.81,49
1575133222326,38,37.78,0,22.09,50
1575133223132,38,37.79,0,21.7,50
1575133223919,38,37.79,0,21.81,49
1575133224891,38,37.78,0,22.2,50
1575133225542,38,37.82,0,22.09,50
1575133226442,38,37.82,0,22.37,50
1575133227243,38,37.81,0,22.42,50
1575133228068,38,37.82,0,22.53,50
1575133228834,38,37.85,0,22.59,50
1575133229633,38,37.83,0,22.81,49
1575133230502,38,37.85,0,22.48,49
1575133231256,38,37.86,0,23.04,50
1575133232241,38,37.86,0,23.09,50
1575133233036,37.5,37.86,0,23.09,49
1575133233831,37.5,37.89,0,23.09,49
1575133234633,37.5,37.91,0,23.09,49
1575133235431,37.5,37.88,0,22.92,50
1575133236298,37.5,37.91,0,23.76,50
1575133237054,37.5,37.91,0,23.7,50
1575133237836,37.5,37.93,0,23.98,50
1575133238635,37.5,37.94,0,23.54,50
1575133239437,37.5,37.96,0,23.59,49
1575133240236,37.5,37.94,0,23.54,50
1575133241238,37.5,37.95,0,23.59,49
1575133241878,37.5,37.96,0,23.7,50
1575133242848,37.5,37.96,0,23.92,49
1575133243636,37.5,37.97,0,23.98,49
1575133244444,37.5,38,0,24.09,49
1575133245241,37.5,37.99,0,24.04,49
1575133246038,37,38,0,24.15,49
1575133246831,37,38,0,24.31,50
1575133247668,37,38.02,0,24.31,50
1575133248449,37,38.02,0,24.43,50
1575133249243,37,38.02,0,24.37,49
1575133250040,37,38.03,0,24.37,50
1575133250851,37,38.06,0,24.48,50
1575133251885,37,38.06,0,24.65,49
1575133252705,37,38.06,0,24.43,50
1575133253471,37,38.07,0,24.43,50
1575133254281,37,38.08,0,24.48,49
1575133255074,37,38.08,0,24.87,49
1575133255868,37,38.09,0,24.98,50
1575133256655,37,38.1,0,24.65,49
1575133257490,37,38.1,0,25.09,50
1575133258272,37,38.1,0,25.15,49
1575133259039,37,38.11,0,25.2,49
1575133259855,37,38.14,0,25.37,50
1575133261640,37,38.14,0,25.15,49
1575133262436,37,38.15,0,25.15,51
1575133263241,36.5,38.15,0,25.15,49
1575133264068,36.5,38.16,0,25.15,50
1575133264834,36.5,38.17,0,25.31,49
1575133265638,36.5,38.18,0,25.31,49
1575133266436,36.5,38.18,0,25.76,49
1575133267236,36.5,38.22,0,25.26,50
1575133268039,36.5,38.2,0,25.7,49
1575133268838,36.5,38.22,0,25.09,50
1575133269647,36.5,38.23,0,25.87,50
1575133270477,36.5,38.23,0,25.82,49
1575133271248,36.5,38.23,0,25.76,49
1575133272236,36.5,38.25,0,25.93,50
1575133273036,36.5,38.24,0,25.59,50
1575133273843,36.5,38.27,0,25.65,50
1575133274655,36.5,38.24,0,25.93,50
1575133275477,36.5,38.28,0,25.76,49
1575133276248,36.5,38.28,0,26.04,49
1575133277038,36.5,38.3,0,26.15,49
1575133277845,36.5,38.29,0,25.82,50
1575133278642,36.5,38.3,0,26.26,50
1575133279455,36.5,38.3,0,26.37,50
1575133280287,36.5,38.32,0,26.2,49
1575133281046,36.5,38.33,0,26.09,49
1575133282036,36.5,38.33,0,26.54,49
1575133282844,36.5,38.33,0,26.48,50
1575133283638,36.5,38.35,0,26.26,50
1575133284526,36.5,38.38,0,26.37,50
1575133285234,36,38.37,0,26.87,49
1575133286084,36,38.37,0,26.54,49
1575133286851,36,38.38,0,26.54,49
1575133287711,36,38.4,0,26.59,49
1575133288437,36,38.38,0,26.7,49
1575133289241,36,38.41,0,26.76,49
1575133290037,36,38.4,0,26.43,49
1575133290911,36,38.43,0,26.59,48
1575133291666,36,38.44,0,27.09,51
1575133292687,36,38.44,0,27.04,50
1575133293435,36,38.44,0,26.98,49
1575133294113,36,38.44,0,26.98,50
1575133295031,36,38.45,0,27.04,49
1575133295840,36,38.45,0,27.09,50
1575133296636,36,38.47,0,27.26,49
1575133297478,36,38.47,0,26.7,50
1575133298326,36,38.5,0,27.09,49
1575133299037,36,38.47,0,26.98,49
1575133299837,36,38.48,0,27.09,49
1575133300636,36,38.5,0,27.09,50
1575133301636,36,38.51,0,27.76,49
1575133302439,36,38.51,0,27.04,49
1575133303299,36,38.53,0,27.21,49
1575133304039,36,38.52,0,27.21,49
1575133304915,36,38.53,0,27.26,50
1575133305640,36,38.55,0,27.59,50
1575133306439,36,38.54,0,27.48,50
1575133307238,36,38.56,0,27.48,49
1575133308037,36,38.56,0,27.37,49
1575133308841,35.5,38.56,0,27.54,49
1575133309684,35.5,38.58,0,27.76,50
1575133310443,35.5,38.61,0,27.43,50
1575133311256,35.5,38.6,0,27.26,49
1575133312242,35.5,38.61,0,27.59,49
1575133313034,35.5,38.61,0,27.87,50
1575133313839,35.5,38.61,0,27.93,50
1575133314634,35.5,38.63,0,27.98,50
1575133315492,35.5,38.63,0,27.98,50
1575133316277,35.5,38.65,0,27.93,50
1575133317041,35.5,38.63,0,27.93,49
1575133317835,35.5,38.67,0,28.15,50
1575133318637,35.5,38.67,0,27.76,49
1575133319436,35.5,38.67,0,28.21,50
1575133320235,35.5,38.68,0,27.87,50
1575133321106,35.5,38.68,0,28.15,50
1575133322035,35.5,38.7,0,28.15,49
1575133323813,35.5,38.7,0,28.09,49
1575133324431,35.5,38.72,0,28.21,49
1575133325252,35.5,38.73,0,28.71,50
1575133326099,35.5,38.73,0,28.15,50
1575133326880,35.5,38.72,0,28.43,50
1575133327641,35.5,38.75,0,28.65,50
1575133328444,35.5,38.75,0,28.37,50
1575133329313,35.5,38.75,0,28.37,49
1575133330036,35.5,38.75,0,28.43,49
1575133330834,35.5,38.77,0,28.32,50
1575133331684,35.5,38.76,0,28.43,49
1575133332532,35,38.8,0,28.54,49
1575133333445,35,38.8,0,28.6,49
1575133334242,35,38.8,0,28.54,50
1575133335050,35,38.78,0,28.87,51
1575133335831,35,38.8,0,28.54,49
1575133336635,35,38.81,0,28.48,50
1575133337450,35,38.83,0,28.65,49
1575133338246,35,38.83,0,28.76,51
1575133339044,35,38.85,0,28.71,49
1575133339833,35,38.84,0,28.65,50
1575133340635,35,38.86,0,28.54,50
1575133341632,35,38.87,0,28.65,50
1575133342435,35,38.88,0,28.87,50
1575133343259,35,38.88,0,28.6,50
1575133344065,35,38.87,0,28.32,49
1575133344851,35,38.89,0,28.76,50
1575133345634,35,38.9,0,28.65,49
1575133346448,35,38.89,0,28.65,49
1575133347240,35,38.91,0,29.04,49
1575133348039,35,38.9,0,28.93,49
1575133348882,35,38.9,0,29.1,49
1575133349651,35,38.94,0,29.26,50
1575133350439,35,38.92,0,28.87,49
1575133351240,35,38.92,0,29.15,49
1575133352238,35,38.95,0,29.43,50
1575133353033,35,38.95,0,29.1,50
1575133353836,35,38.96,0,28.93,50
1575133354644,35,38.97,0,29.1,50
1575133355479,35,38.97,0,28.98,49
1575133356245,35,38.97,0,29.21,50
1575133357038,34.5,38.98,0,29.32,49
1575133357836,34.5,38.99,0,28.87,50
1575133358635,34.5,38.98,0,28.87,50
1575133359435,34.5,39,0,29.43,49
1575133360236,34.5,39.01,0,29.37,50
1575133361060,34.5,39,0,29.43,50
1575133362038,34.5,39.01,0,29.48,50
1575133362835,34.5,39.02,0,29.32,50
1575133363631,34.5,39.03,0,29.43,50
1575133364479,34.5,39.03,0,29.37,49
1575133365235,34.5,39.05,0,29.32,49
1575133366033,34.5,39.05,0,29.87,49
1575133366875,34.5,39.06,0,29.43,49
1575133367695,34.5,39.09,0,29.76,49
1575133368444,34.5,39.07,0,29.54,50
1575133369235,34.5,39.09,0,29.32,50
1575133370035,34.5,39.1,0,29.32,53
1575133370890,34.5,39.1,0,29.54,49
1575133371659,34.5,39.12,0,29.65,50
1575133372467,34.5,39.11,0,29.82,50
1575133373437,34.5,39.12,0,29.32,50
1575133374252,34.5,39.13,0,29.54,49
1575133375036,34.5,39.13,0,29.71,49
1575133375834,34.5,39.15,0,29.93,50
1575133376641,34.5,39.13,0,29.48,49
1575133377455,34.5,39.15,0,29.54,50
1575133378259,34.5,39.14,0,29.87,49
1575133379039,34.5,39.16,0,29.65,49
1575133379846,34.5,39.16,0,29.76,50
1575133380637,34.5,39.16,0,29.37,49
1575133381440,34.5,39.16,0,29.65,49
1575133382280,34.5,39.17,0,29.93,50
1575133383273,34,39.19,0,40.1,50
1575133384054,34,39.2,0,29.76,50
1575133384841,34,39.21,0,29.87,50
1575133385643,34,39.2,0,29.99,49
1575133386458,34,39.22,0,29.99,49
1575133387240,34,39.22,0,29.82,49
1575133388069,34,39.22,0,29.99,50
1575133388853,34,39.24,0,29.82,49
1575133389645,34,39.24,0,29.71,50
1575133390438,34,39.22,0,29.65,50
1575133391239,34,39.26,0,40.18,50
1575133392073,34,39.27,0,39.96,50
1575133393038,34,39.26,0,40.03,50
1575133393700,34,39.28,0,39.96,49
1575133394659,34,39.28,0,40.47,49
1575133395473,34,39.29,0,29.99,50
1575133396236,34,39.31,0,40.33,49
1575133397035,34,39.28,0,40.1,50
1575133397839,34,39.32,0,29.99,49
1575133398634,34,39.3,0,29.87,49
1575133399450,34,39.31,0,40.1,50
1575133400246,34,39.33,0,40.1,50
1575133401043,34,39.32,0,40.18,50
1575133401862,34,39.33,0,40.62,49
1575133402878,34,39.33,0,29.76,49
1575133403642,34,39.35,0,40.1,50
1575133404438,34,39.35,0,40.33,49
1575133405343,34,39.37,0,40.55,49
1575133406076,34,39.37,0,40.33,50
1575133406860,34,39.35,0,39.96,50
1575133407635,34,39.37,0,40.47,50
1575133408438,34,39.37,0,40.25,49
1575133409276,34,39.4,0,40.47,50
1575133410040,34,39.4,0,40.62,50
1575133410916,34,39.41,0,40.77,49
1575133411652,33.5,39.41,0,41.07,50
1575133412467,33.5,39.41,0,40.7,50
1575133413444,33.5,39.42,0,40.7,50
1575133414237,33.5,39.43,0,40.62,50
1575133415037,33.5,39.43,0,40.7,50
1575133415839,33.5,39.44,0,41.07,50
1575133416681,33.5,39.45,0,40.99,50
1575133417444,33.5,39.45,0,40.62,49
1575133418235,33.5,39.45,0,40.7,49
1575133419039,33.5,39.45,0,40.77,49
1575133419845,33.5,39.47,0,40.99,49
1575133420638,33.5,39.48,0,41.07,50
1575133421437,33.5,39.49,0,40.84,50
1575133422301,33.5,39.5,0,41.29,50
1575133423251,33.5,39.48,0,40.77,50
1575133424037,33.5,39.49,0,40.92,50
1575133424863,33.5,39.49,0,40.92,50
1575133425638,33.5,39.5,0,40.25,50
1575133426505,33.5,39.51,0,40.7,50
1575133427267,33.5,39.52,0,40.77,49
1575133428050,33.5,39.52,0,40.92,50
1575133428846,33.5,39.52,0,40.99,50
1575133429647,33.5,39.55,0,40.77,50
1575133430438,33.5,39.55,0,41.14,49
1575133431256,33.5,39.55,0,40.77,49
1575133432239,33.5,39.57,0,40.99,50
1575133432862,33.5,39.57,0,41.29,50
1575133433840,33.5,39.57,0,40.62,49
1575133434654,33.5,39.56,0,40.62,50
1575133435436,33.5,39.56,0,40.77,50
1575133436239,33.5,39.57,0,41.07,50
1575133437036,33.5,39.59,0,41.14,50
1575133438672,33.5,39.62,0,41.58,49
1575133439436,33.5,39.61,0,41.21,50
1575133440242,33.5,39.61,0,41.44,50
1575133441043,33,39.62,0,41.58,50
1575133441838,33,39.63,0,41.14,50
1575133442839,33,39.65,0,41.44,49
1575133443642,33,39.62,0,41.21,49
