"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575133131869,41,39.07,0,16.2,55
1575133132069,41,39.06,0,16.14,46
1575133132873,41,39.07,0,16.08,46
1575133133677,41,39.07,0,16.03,57
1575133135327,41,39.06,0,16.59,44
1575133136079,41,39.1,0,16.08,45
1575133136896,41,39.1,0,16.31,44
1575133138658,41,39.1,0,16.59,45
1575133139457,41,39.1,0,16.7,44
1575133140257,41,39.11,0,16.25,43
1575133141068,41,39.11,0,16.59,44
1575133141863,41,39.13,0,16.36,45
1575133142717,41,39.14,0,16.36,44
1575133143461,41,39.13,0,16.36,44
1575133144245,41,39.12,0,16.7,45
1575133145061,41,39.15,0,16.64,44
1575133145963,41,39.13,0,16.75,45
1575133146865,41,39.15,0,16.53,45
1575133147539,41,39.15,0,16.7,44
1575133148488,41,39.15,0,17.09,43
1575133149285,41,39.18,0,16.92,45
1575133150057,41,39.17,0,17.14,44
1575133150863,41,39.16,0,16.81,44
1575133151684,41,39.2,0,16.81,43
1575133152465,41,39.16,0,16.92,45
1575133153260,41,39.18,0,17.25,45
1575133154105,41,39.17,0,17.7,44
1575133154908,41,39.19,0,17.36,43
1575133155667,41,39.18,0,17.25,44
1575133157383,41,39.2,0,17.42,43
1575133158258,41,39.19,0,16.97,45
1575133159055,41,39.21,0,17.47,48
1575133160660,41,39.22,0,17.31,44
1575133161484,41,39.22,0,17.14,44
1575133162270,41,39.22,0,17.31,44
1575133163869,41,39.25,0,17.47,46
1575133164661,41,39.26,0,18.03,44
1575133165452,41,39.26,0,17.98,44
1575133167264,41,39.26,0,17.47,44
1575133168067,41,39.28,0,17.86,45
1575133170477,41,39.29,0,17.92,44
1575133171273,41,39.29,0,18.2,45
1575133172087,41,39.29,0,18.75,44
1575133173657,41,39.3,0,18.14,44
1575133174464,41,39.3,0,18.42,44
1575133175281,41,39.32,0,17.86,44
1575133176926,41,39.34,0,18.48,44
1575133178853,41,39.33,0,18.86,45
1575133180219,41,39.35,0,18.75,44
1575133181940,41,39.35,0,19.2,45
1575133182763,41,39.37,0,18.64,45
1575133185875,41,39.39,0,19.09,45
1575133188465,41,39.4,0,19.03,45
1575133189253,41,39.42,0,19.25,43
1575133190054,41,39.43,0,19.42,46
1575133190844,41,39.43,0,19.2,47
1575133191652,41,39.42,0,19.75,45
1575133192461,41,39.43,0,19.7,44
1575133193255,41,39.44,0,19.59,45
1575133194074,41,39.46,0,19.37,44
1575133194911,41,39.46,0,19.87,45
1575133195672,41,39.47,0,19.81,44
1575133196467,41,39.47,0,20.14,43
1575133197460,41,39.47,0,19.98,46
1575133198261,41,39.47,0,20.03,44
1575133199061,41,39.49,0,20.03,44
1575133199864,41,39.5,0,20.14,45
1575133200660,41,39.51,0,19.98,44
1575133201485,41,39.5,0,20.42,43
1575133202263,41,39.51,0,20.2,45
1575133203052,41,39.51,0,20.87,44
1575133203894,41,39.51,0,20.53,45
1575133204657,41,39.52,0,20.64,44
1575133205477,41,39.52,0,20.59,43
1575133206265,41,39.52,0,20.2,44
1575133207411,41,39.55,0,20.87,43
1575133212229,41,39.57,0,20.7,44
1575133215380,41.5,39.61,0,21.14,44
1575133216208,41.5,39.62,0,21.2,45
1575133216989,41.5,39.62,0,21.37,45
1575133218590,41.5,39.65,0,21.37,43
1575133219401,41.5,39.65,0,21.48,45
1575133220177,41.5,39.65,0,21.64,44
1575133221039,41.5,39.65,0,21.14,44
1575133221775,41.5,39.65,0,21.59,44
1575133223400,41.5,39.66,0,21.59,45
1575133226853,41.5,39.71,0,21.81,43
1575133227653,41.5,39.71,0,21.98,44
1575133228454,41.5,39.72,0,22.03,44
1575133229286,41.5,39.71,0,22.26,44
1575133230078,41.5,39.71,0,21.92,43
1575133230877,41.5,39.74,0,21.92,45
1575133231674,41.5,39.76,0,21.98,45
1575133232465,41.5,39.75,0,22.09,45
1575133233265,41.5,39.75,0,22.26,45
1575133234058,41.5,39.77,0,22.31,45
1575133234873,41.5,39.76,0,22.65,44
1575133235658,41.5,39.78,0,22.42,45
1575133236658,41.5,39.77,0,22.65,45
1575133237459,41.5,39.79,0,22.92,45
1575133238260,41.5,39.78,0,23.15,43
1575133239058,41.5,39.81,0,22.37,44
1575133239739,41.5,39.81,0,22.65,45
1575133240730,41.5,39.81,0,22.53,45
