"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575042658960,51.5,33.54,16,19.53,66
1575042659561,51.5,33.54,16,19.37,45
1575042660358,51.5,33.52,16,19.64,47
1575042661157,51.5,33.52,11,17.31,45
1575042661956,51.5,33.53,25,16.81,46
1575042663761,51.5,33.52,34,16.81,51
1575042664557,51.5,33.5,35,16.7,48
1575042665357,51.5,33.51,35,16.97,64
1575042666157,51.5,33.52,35,16.75,63
1575042666959,51.5,33.5,35,17.09,63
1575042667758,51.5,33.52,32,16.92,53
1575042668560,51.5,33.51,32,16.7,47
1575042669356,51.5,33.52,33,16.97,49
1575042670156,51.5,33.53,34,16.92,60
1575042670957,51.5,33.51,33,16.97,48
1575042671773,51.5,33.51,33,17.09,55
1575042672560,51.5,33.49,33,17.2,54
1575042673561,51.5,33.51,33,16.86,58
1575042674357,51.5,33.51,33,17.03,60
1575042675163,51.5,33.5,33,17.09,47
1575042675960,51.5,33.5,33,17.03,47
1575042676757,51.5,33.5,33,17.03,47
1575042677559,51.5,33.51,33,17.03,47
1575042678356,51.5,33.47,33,17.2,54
1575042679158,51.5,33.51,33,16.7,70
1575042679957,51.5,33.5,33,17.2,55
1575042680759,51.5,33.5,33,16.7,52
1575042681562,51.5,33.48,32,17.36,57
1575042682359,51.5,33.48,32,17.03,47
1575042683159,51.5,33.47,32,17.59,48
1575042684958,51.5,33.47,5,20.81,66
1575042685758,51.5,33.48,0,21.14,65
1575042686556,51.5,33.48,0,21.14,55
1575042688160,51.5,33.48,0,18.31,53
1575042688963,51.5,33.47,22,17.75,49
1575042689758,51.5,33.47,35,17.98,54
1575042691361,51.5,33.48,35,17.53,46
1575042692155,51.5,33.47,35,18.03,47
1575042692961,51.5,33.45,35,18.09,48
1575042693928,51.5,33.45,35,18.09,46
1575042694758,51.5,33.45,35,17.81,60
1575042695553,51.5,33.48,35,17.98,65
1575042696361,51.5,33.45,36,18.2,48
1575042697957,51.5,33.48,35,17.98,47
1575042698757,51.5,33.47,35,17.86,46
1575042699558,51.5,33.48,35,18.2,62
1575042700519,51.5,33.44,35,17.92,64
1575042701164,51.5,33.45,35,17.98,57
1575042701957,51.5,33.45,35,17.92,59
1575042702762,51.5,33.45,35,17.59,62
1575042703556,51.5,33.44,35,17.98,65
1575042704359,51.5,33.47,35,17.92,48
1575042705358,51.5,33.45,35,17.98,64
1575042706158,51.5,33.45,35,18.2,60
1575042707758,51.5,33.47,35,17.86,59
1575042708557,51.5,33.45,35,18.36,58
1575042709371,51.5,33.48,35,18.2,68
1575042710160,51.5,33.43,35,17.81,59
1575042710958,51.5,33.48,35,18.09,59
1575042711759,51.5,33.45,35,17.86,53
1575042712556,51.5,33.45,35,18.25,45
1575042713350,51.5,33.44,35,17.81,46
1575042714160,51.5,33.44,35,17.7,47
1575042714958,51.5,33.48,35,18.03,58
1575042715955,51.5,33.43,35,17.7,52
1575042716766,51.5,33.45,35,17.7,45
1575042717553,51.5,33.47,35,17.86,45
1575042718355,51.5,33.48,35,18.09,59
1575042719154,51.5,33.47,35,17.59,48
1575042719959,51.5,33.44,35,17.7,66
1575042720755,51.5,33.45,35,18.03,60
1575042721553,51.5,33.47,35,17.86,55
1575042722361,51.5,33.45,35,17.86,64
1575042723155,51.5,33.47,35,17.59,68
1575042723957,51.5,33.44,35,17.53,46
1575042724754,51.5,33.45,35,17.98,47
1575042725553,51.5,33.44,35,17.7,53
1575042726555,51.5,33.45,35,17.81,68
1575042727353,51.5,33.45,35,17.92,46
1575042728158,51.5,33.45,35,17.92,52
1575042728958,51.5,33.44,35,17.92,47
1575042729758,51.5,33.44,35,17.98,56
1575042730562,51.5,33.43,35,17.86,46
1575042731356,51.5,33.44,35,18.03,53
1575042732166,51.5,33.43,35,17.64,58
1575042732961,51.5,33.43,35,18.25,63
1575042733758,51.5,33.43,35,18.31,51
1575042734557,51.5,33.45,35,17.92,47
1575042735362,51.5,33.43,35,17.81,55
1575042736160,51.5,33.45,35,17.98,45
1575042737156,51.5,33.42,35,17.75,59
1575042737956,51.5,33.43,35,17.81,45
1575042738911,51.5,33.43,35,17.81,62
1575042739559,51.5,33.41,35,17.92,63
