"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575042659137,38,40.66,72,16.81,53
1575042659538,38,40.67,72,16.53,47
1575042660346,38,40.68,72,16.36,51
1575042661154,38,40.68,68,16.47,47
1575042662034,38,40.68,70,16.81,46
1575042662839,38,40.68,70,16.81,58
1575042662862,38,40.68,70,16.81,58
1575042663568,38,40.68,68,16.42,61
1575042664380,38,40.66,69,16.59,48
1575042665168,38,40.68,69,16.64,67
1575042665976,38,40.68,69,16.42,66
1575042666777,38,40.67,68,16.64,67
1575042667580,38,40.68,68,16.92,47
1575042668383,38,40.68,69,16.47,48
1575042669185,38,40.69,69,16.08,47
1575042669988,38,40.7,69,16.47,61
1575042670998,38,40.69,69,16.59,48
1575042671791,38,40.67,69,16.42,65
1575042672614,38,40.68,69,16.42,54
1575042673405,38,40.68,69,16.03,66
1575042674206,38,40.68,69,16.47,55
1575042675036,38,40.69,65,16.31,51
1575042675816,38,40.69,64,16.25,48
1575042676619,38,40.69,67,16.42,47
1575042677432,38,40.69,67,16.47,56
1575042678223,38,40.69,67,16.59,59
1575042679027,38,40.7,67,16.53,64
1575042679843,38,40.68,67,16.86,48
1575042680635,38,40.69,67,16.75,66
1575042681457,38,40.68,67,16.31,50
1575042682252,38,40.69,67,16.64,49
1575042683053,38,40.69,67,16.31,50
1575042684105,38,40.69,66,18.7,63
1575042684868,38,40.68,67,20.31,66
1575042685672,38,40.68,0,20.59,65
1575042686476,38,40.69,0,20.92,47
1575042687342,38,40.68,0,20.64,61
1575042688085,38,40.69,0,20.81,51
1575042688883,38,40.72,0,20.37,57
1575042689691,38.5,40.69,0,20.64,49
1575042690510,38.5,40.68,0,20.81,47
1575042691301,38.5,40.7,0,20.81,68
1575042692109,38.5,40.72,0,18.75,47
1575042692909,39,40.73,12,17.2,45
1575042693719,39,40.72,71,17.09,52
1575042694527,39,40.72,72,17.14,59
1575042695320,39.5,40.73,69,17.03,60
1575042696126,39.5,40.72,70,16.53,50
1575042696949,39.5,40.74,71,16.64,49
1575042697736,39.5,40.72,70,16.81,46
1575042698738,39.5,40.7,70,20.92,46
1575042699551,39.5,40.72,4,21.14,64
1575042700275,39.5,40.7,0,21.14,59
1575042701155,39.5,40.72,0,16.53,63
1575042701964,39.5,40.73,67,16.92,62
1575042702766,39.5,40.73,66,17.09,64
1575042703502,39.5,40.72,66,16.75,70
1575042704381,39.5,40.72,66,16.86,55
1575042705169,39.5,40.73,66,17.14,66
1575042705974,39.5,40.7,66,17.09,55
1575042706784,39.5,40.74,66,16.59,55
1575042707584,39.5,40.7,66,16.53,63
1575042708386,39.5,40.73,66,16.64,65
1575042709210,39.5,40.72,66,16.86,68
1575042709993,39.5,40.73,66,16.7,58
1575042710799,39.5,40.75,66,16.42,64
1575042711609,39,40.75,66,16.86,57
1575042712614,39,40.72,66,16.59,47
1575042713421,39,40.72,66,16.7,47
1575042714223,39,40.73,67,16.53,57
1575042715024,39,40.73,67,16.42,54
1575042715833,39,40.73,67,16.42,48
1575042716630,39,40.7,67,16.36,46
1575042717434,39,40.72,67,16.59,47
1575042718236,39,40.75,68,16.2,53
1575042719048,39,40.73,68,16.7,47
1575042719844,38.5,40.73,67,20.31,69
1575042720652,38.5,40.73,11,20.59,68
1575042721451,38.5,40.74,22,20.2,48
1575042722259,38.5,40.73,48,20.42,66
1575042723059,38.5,40.74,51,20.59,62
1575042723869,38.5,40.73,30,20.53,61
1575042724670,38.5,40.73,16,21.14,47
1575042725808,38.5,40.73,12,21.31,61
1575042726478,38.5,40.73,17,21.2,57
1575042727282,38.5,40.73,11,21.2,47
1575042728101,38.5,40.73,21,20.81,60
1575042729007,38.5,40.75,20,21.14,55
1575042729691,38.5,40.73,18,21.09,48
1575042730507,38.5,40.73,22,20.59,46
