"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575042659884,50,35.01,36,14.92,71
1575042660093,50,35.01,36,14.81,47
1575042660884,50,35.01,36,14.69,47
1575042661603,50,35.03,36,14.97,46
1575042662366,50,35.01,36,14.64,51
1575042663287,50,35.03,36,14.75,62
1575042664087,50,35.02,36,14.75,69
1575042664892,50,35.01,36,14.64,65
1575042665692,50,35.02,36,14.75,58
1575042666494,49.5,35.01,36,14.81,62
1575042667287,49.5,35.01,36,15.2,60
1575042668094,49.5,35.03,36,14.58,59
1575042668897,49.5,35.02,36,14.69,53
1575042669888,49.5,35.03,36,14.69,50
1575042670688,49.5,35.04,36,14.75,62
1575042671507,49.5,35.03,36,14.64,49
1575042672284,49.5,35.02,36,15.08,61
1575042673085,49.5,35.04,36,14.69,52
1575042673894,49.5,35.04,36,14.25,51
1575042674734,49.5,35.03,36,14.53,47
1575042675493,49.5,35.06,35,14.97,48
1575042676291,49.5,35.03,35,15.08,52
1575042677089,49.5,35.04,35,14.97,47
1575042677910,49.5,35.03,36,15.2,66
1575042678690,49.5,35.05,36,14.86,69
1575042679509,49.5,35.05,30,14.69,71
1575042680486,49.5,35.04,35,14.81,47
1575042681155,49.5,35.02,35,14.86,47
1575042682088,49.5,35.04,35,14.92,57
1575042682892,49.5,35.06,35,14.53,51
1575042683693,49.5,35.06,35,14.81,47
1575042684491,49.5,35.05,35,14.86,68
1575042685302,49.5,35.03,35,14.92,59
1575042686095,49.5,35.05,31,14.64,64
1575042686888,49.5,35.05,32,14.86,48
1575042687694,49.5,35.02,28,14.75,48
1575042688486,49.5,35.06,30,15.03,48
1575042689488,49.5,35.07,40,14.92,63
1575042690286,49.5,35.05,32,15.14,53
1575042691091,49.5,35.04,32,15.03,46
1575042691899,49.5,35.06,32,15.03,66
1575042692693,49.5,35.04,36,14.75,47
1575042693490,49.5,35.06,36,14.75,47
1575042694306,49.5,35.04,36,15.31,55
1575042695091,49.5,35.04,36,15.14,62
1575042695889,49.5,35.04,36,15.08,56
1575042696707,49.5,35.06,36,15.08,49
1575042697490,49.5,35.06,36,15.14,48
1575042698289,49.5,35.06,36,14.86,45
1575042699286,49.5,35.06,36,15.36,47
1575042700094,49.5,35.07,36,15.14,61
1575042700903,49.5,35.06,36,15.03,62
1575042701695,49.5,35.06,36,15.08,50
1575042702492,49.5,35.05,36,14.92,56
1575042703294,49.5,35.04,36,15.14,72
1575042704095,49.5,35.05,36,15.03,54
1575042704889,49.5,35.05,36,19.59,55
1575042705687,49.5,35.06,25,20.14,64
1575042706488,49.5,35.05,0,20.48,51
1575042707287,49.5,35.06,0,20.37,62
1575042708087,49.5,35.06,0,19.64,67
1575042708893,49.5,35.07,2,15.58,71
1575042709927,49.5,35.06,35,15.53,69
1575042710684,49.5,35.08,35,15.64,58
1575042711487,49.5,35.05,35,15.47,60
1575042712292,49.5,35.05,35,15.2,49
1575042713138,49.5,35.06,35,20.53,46
1575042713892,49.5,35.07,0,20.7,49
1575042714688,49.5,35.07,0,21.03,56
1575042715489,49.5,35.06,0,20.87,60
1575042716374,49.5,35.06,0,20.87,49
1575042717091,50,35.06,1,16.25,46
1575042717889,50,35.06,35,16.03,60
1575042718690,50,35.06,35,16.03,54
1575042719570,50,35.07,35,16.14,55
1575042720499,50,35.06,35,15.81,55
