"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575131854369,44.5,33.3,224,8.02,43
1575131855102,44.5,33.29,224,8.75,42
1575131855900,44.5,33.3,224,8.19,43
1575131856900,44.5,33.34,224,8.52,42
1575131857569,44.5,33.29,224,8.52,43
1575131858500,44.5,33.32,224,8.19,42
1575131859302,44.5,33.32,224,8.41,41
1575131860106,44.5,33.32,224,8.8,43
1575131860897,44.5,33.34,224,8.02,42
1575131861701,44,33.33,224,8.41,43
1575131862499,44,33.34,224,8.24,44
1575131863305,44,33.35,224,8.63,42
1575131864123,44,33.35,224,8.52,41
1575131864896,44,33.37,224,8.47,43
1575131865702,44,33.37,224,8.24,42
1575131866697,44,33.35,224,8.13,43
1575131867498,44,33.36,224,8.41,43
1575131868299,44,33.36,224,8.69,43
1575131869097,44,33.37,224,8.52,42
1575131869898,44,33.4,224,8.58,42
1575131870696,44,33.39,224,8.47,43
1575131871501,44,33.4,224,8.24,41
1575131872302,44,33.42,224,8.24,42
1575131873098,44,33.4,224,7.97,41
1575131873895,44,33.4,224,8.3,43
1575131874698,44,33.43,224,8.41,42
1575131875498,44,33.4,224,8.41,42
1575131876301,44,33.42,224,8.52,41
1575131877100,44,33.43,224,8.24,41
1575131878100,44,33.43,224,8.69,41
1575131878911,44,33.44,224,8.47,41
1575131879702,44,33.43,224,8.91,42
1575131880499,44,33.47,223,8.91,43
1575131881302,44,33.45,224,8.63,42
1575131882102,44,33.45,223,8.58,43
1575131882901,44,33.47,224,8.24,41
1575131883700,44,33.45,224,8.52,42
1575131885301,44,33.49,224,8.47,42
1575131886098,44,33.48,224,8.24,43
1575131886905,44,33.47,224,8.02,42
1575131887896,44,33.47,224,8.41,43
1575131888704,44,33.49,224,8.63,43
1575131889554,44,33.49,224,8.41,42
1575131890303,44,33.51,224,8.63,44
1575131891101,44,33.51,224,8.52,43
1575131891902,44,33.51,224,8.36,43
1575131892765,44,33.53,224,8.47,41
1575131893519,44,33.52,224,8.08,41
1575131894300,44,33.51,224,8.63,43
1575131895094,44,33.54,224,8.24,38
1575131895955,44,33.53,231,8.69,35
1575131896697,44,33.53,230,8.86,34
1575131897503,44,33.53,230,8.36,37
1575131898300,44,33.55,230,8.69,35
1575131899160,44,33.54,231,8.24,39
1575131900099,44,33.54,231,8.58,36
1575131900899,44,33.54,231,7.91,42
1575131901701,44,33.56,231,8.47,36
1575131902499,44,33.55,231,8.08,37
1575131903299,44,33.59,231,8.41,35
1575131904101,44,33.56,231,8.69,36
1575131904898,44,33.57,231,8.08,37
1575131905701,44,33.57,231,8.63,34
1575131906577,44,33.57,231,8.41,35
1575131907301,44,33.59,231,8.41,36
1575131908100,44,33.57,231,8.69,35
1575131908898,44,33.6,231,8.47,37
1575131909896,44,33.59,231,8.41,37
1575131910706,44,33.62,231,8.52,38
1575131911501,44,33.59,231,8.47,38
1575131912299,43.5,33.63,231,8.36,43
1575131913099,44,33.63,231,8.63,40
1575131913901,43.5,33.63,232,8.63,41
1575131915501,44,33.64,232,8.58,44
1575131916298,43.5,33.63,232,8.41,43
1575131917098,43.5,33.63,232,8.36,44
1575131917897,43.5,33.64,232,8.58,45
1575131918700,43.5,33.64,232,8.47,44
1575131919503,43.5,33.65,232,8.13,44
1575131920297,43.5,33.65,232,8.52,47
1575131921302,43.5,33.65,232,8.58,47
1575131922102,43.5,33.66,232,8.8,54
1575131922916,43.5,33.69,232,8.47,48
1575131923707,43.5,33.68,232,8.69,46
1575131924500,43.5,33.68,232,9.08,50
1575131925299,43.5,33.66,232,8.97,47
1575131926098,43.5,33.69,232,8.91,46
1575131926901,43.5,33.67,232,8.52,50
1575131927701,43.5,33.69,232,8.86,49
1575131928498,43.5,33.69,232,8.86,49
