"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575131854359,36.5,33.8,167,3.69,43
1575131854577,36.5,33.8,167,3.74,42
1575131855439,36.5,33.79,167,3.46,44
1575131856299,36.5,33.79,167,3.41,43
1575131857227,36.5,33.81,167,3.3,43
1575131857838,36.5,33.8,167,3.8,44
1575131858743,36.5,33.82,167,3.96,44
1575131859520,36.5,33.82,167,3.57,47
1575131860412,36.5,33.83,167,3.91,43
1575131861213,36.5,33.83,167,3.96,44
1575131862051,36.5,33.8,167,3.96,44
1575131862908,36.5,33.83,167,3.74,44
1575131863602,36.5,33.83,167,3.91,44
1575131864407,36.5,33.83,167,3.52,44
1575131865258,36.5,33.83,168,3.57,43
1575131866091,36.5,33.84,168,3.52,45
1575131866804,36.5,33.84,168,3.69,44
1575131867758,36.5,33.83,168,3.46,43
1575131868583,36.5,33.85,168,3.57,44
1575131869426,36.5,33.85,168,3.74,42
1575131870079,36.5,33.85,168,3.91,44
1575131870960,36.5,33.86,168,4.07,43
1575131871806,36.5,33.84,168,3.35,44
1575131872626,36.5,33.85,168,3.85,43
1575131873473,36.5,33.84,168,3.46,42
1575131874311,36.5,33.84,168,3.69,43
1575131874953,36.5,33.87,168,4.07,43
1575131875805,36.5,33.87,168,3.69,43
1575131876657,36.5,33.86,168,3.91,45
1575131877484,36.5,33.85,168,5.85,43
1575131878316,36.5,33.86,135,3.69,44
1575131879138,36.5,33.86,167,3.52,43
1575131879985,36.5,33.87,167,3.74,43
1575131880672,36.5,33.86,167,3.57,43
1575131881509,36.5,33.86,167,4.07,44
1575131882368,36.5,33.88,168,3.74,43
1575131883223,36.5,33.88,167,3.85,43
1575131884087,36.5,33.85,167,3.57,44
1575131884922,36.5,33.85,167,3.91,44
1575131885560,36.5,33.85,168,3.69,42
1575131886390,36,33.85,168,3.91,43
1575131887209,36,33.84,167,4.07,44
1575131888067,36,33.85,167,3.57,44
1575131888912,36,33.89,167,3.46,45
1575131889777,36,33.87,167,3.46,44
1575131890618,36,33.89,167,4.13,42
1575131891456,36,33.88,167,4.13,44
1575131892094,36,33.87,166,3.46,43
1575131892932,36,33.88,167,3.8,42
1575131893763,36,33.89,167,4.24,46
1575131894617,36,33.87,167,3.74,41
1575131895606,36,33.88,181,3.85,38
1575131896278,36,33.87,180,4.13,36
1575131897118,36,33.88,180,4.24,35
1575131897949,36,33.88,179,3.85,35
1575131898806,36,33.89,181,4.07,36
1575131899613,36,33.89,180,3.52,35
1575131900238,36,33.89,180,3.74,36
1575131901085,36,33.9,180,3.46,35
1575131902000,36,33.92,180,4.3,35
1575131902755,36,33.92,180,3.8,35
1575131903588,36,33.93,180,3.35,35
1575131904418,36.5,33.94,180,4.07,37
1575131906101,36.5,33.95,180,4.19,35
1575131906932,36.5,33.96,181,4.3,36
1575131907588,36.5,33.95,181,4.07,36
1575131908415,36.5,33.95,181,4.13,35
1575131909233,36.5,33.97,181,3.96,37
1575131910060,36.5,33.98,181,4.19,37
1575131910881,36.5,33.96,181,4.24,37
1575131911730,36.5,33.97,181,4.24,40
1575131912585,36.5,33.97,181,3.8,42
1575131913418,36.5,33.98,181,4.63,40
1575131914251,37,33.96,181,4.46,39
1575131914901,37,33.95,182,4.35,47
1575131915720,37,33.97,182,3.74,42
1575131916546,37,33.98,182,4.35,45
1575131917380,37,33.98,182,3.96,62
1575131918216,37,33.99,182,3.96,50
1575131919056,37,33.99,182,4.35,44
1575131919883,37,34,182,4.74,47
1575131920722,37,34,182,4.52,50
1575131921552,37,33.99,182,4.24,49
1575131922370,37,34.02,183,4.13,49
1575131923208,37,34.03,183,4.07,49
1575131924040,37,34.03,183,4.69,46
1575131924881,37,34,183,4.52,48
1575131925694,37,33.98,183,4.63,45
1575131926328,37,33.98,183,4.35,63
1575131927159,37,34,183,4.74,47
1575131927997,37,33.99,183,4.58,48
1575131928843,37,33.98,183,4.24,47
1575131929662,37,33.98,183,4.3,48
1575131930500,37,33.99,183,3.85,45
1575131931320,37,34.02,184,4.19,45
1575131932151,36.5,33.99,184,4.19,44
1575131932990,36.5,34,184,4.19,48
1575131934644,36.5,33.98,184,4.19,49
1575131935478,36.5,34,184,3.52,44
1575131936121,36.5,34,185,4.24,44
1575131936923,36.5,34.02,185,4.24,43
1575131937741,36.5,34,185,3.91,43
1575131938558,36.5,34.02,185,4.24,44
1575131939403,36.5,34.02,185,4.8,46
1575131940379,36.5,34.02,185,3.96,44
1575131941077,36.5,34.01,186,3.8,44
1575131941898,36.5,34.03,186,4.52,45
1575131942725,36.5,34.03,186,4.19,44
1575131943594,36.5,34.03,186,4.35,44
1575131944381,36.5,34.01,186,4.3,44
1575131945196,36.5,34.04,186,3.91,45
1575131946019,36.5,34.06,186,4.58,43
1575131946785,36.5,34.04,187,4.19,45
1575131947683,36.5,34.04,187,4.52,44
1575131948346,36.5,34.04,187,4.63,43
1575131949396,36.5,34.03,186,4.24,44
1575131950003,36.5,34.06,186,4.96,44
1575131950835,36.5,34.06,187,4.85,44
1575131951677,36.5,34.04,187,4.35,43
1575131952532,36.5,34.03,187,4.3,43
1575131953365,36.5,34.06,187,4.07,43
1575131954203,36.5,34.04,187,4.46,42
1575131955031,36.5,34.04,187,4.58,42
1575131955863,36.5,34.09,188,3.85,43
1575131956697,36.5,34.07,188,4.46,43
1575131957322,36.5,34.07,188,4.52,43
1575131958155,36.5,34.08,188,4.35,43
1575131958989,36.5,34.07,188,4.19,44
1575131959826,36.5,34.07,187,4.46,43
1575131960669,36.5,34.09,188,4.46,43
1575131961526,36.5,34.08,188,4.58,44
1575131962354,36.5,34.09,188,4.91,43
1575131963193,36.5,34.08,188,4.63,45
1575131964023,36.5,34.06,188,4.69,43
1575131964861,36.5,34.06,188,4.19,43
1575131965480,36.5,34.09,188,4.63,45
1575131966327,36.5,34.08,188,4.46,44
1575131967160,36.5,34.08,188,4.91,43
1575131967983,36.5,34.08,189,4.96,43
1575131968829,36.5,34.08,188,4.46,44
1575131969663,36.5,34.09,189,5.3,44
1575131970487,36.5,34.09,189,4.63,42
1575131971330,36.5,34.1,189,4.3,44
1575131972179,36.5,34.08,189,4.58,43
1575131972818,36.5,34.09,189,4.69,44
1575131973689,36.5,34.09,189,4.85,42
1575131974499,36.5,34.09,189,4.35,43
1575131975333,36.5,34.09,189,4.13,43
1575131976169,36.5,34.09,189,4.13,45
1575131977000,36.5,34.12,190,4.19,43
1575131977844,37,34.11,190,4.74,43
1575131978791,37,34.12,190,4.58,43
1575131979496,37,34.11,190,4.74,43
1575131980339,37,34.09,191,4.52,42
1575131980977,37,34.12,191,5.35,42
1575131982644,37,34.09,191,4.69,42
1575131983477,37,34.11,192,4.74,44
1575131984324,37,34.12,192,4.91,43
1575131985201,37,34.13,193,4.41,43
1575131986008,37,34.12,193,4.63,44
1575131986849,37,34.13,193,5.13,44
1575131987696,37,34.14,193,4.85,42
1575131988392,37,34.13,192,4.96,42
1575131989183,37,34.12,193,4.74,43
1575131990019,37,34.13,193,4.63,44
1575131990862,37,34.14,193,4.3,43
1575131991603,37,34.14,193,4.74,43
1575131992545,37,34.15,193,7.63,44
1575131993384,37,34.13,139,9.8,42
1575131994216,37,34.15,12,10.25,43
