"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575131854406,40,33.23,256,8.58,71
1575131854996,40,33.23,256,8.63,43
1575131855795,40,33.23,256,8.97,45
1575131856602,39.5,33.24,256,8.8,43
1575131857399,39.5,33.24,256,8.75,44
1575131858199,39.5,33.23,256,8.58,43
1575131858997,39.5,33.23,256,8.75,44
1575131859811,39,33.23,256,8.63,48
1575131860609,39,33.22,256,8.8,42
1575131861412,39,33.23,256,9.19,45
1575131862211,38.5,33.22,256,8.8,45
1575131863010,38.5,33.22,257,8.91,44
1575131863811,38.5,33.23,256,8.8,43
1575131864608,38.5,33.25,256,9.08,43
1575131865610,38.5,33.22,256,8.58,43
1575131866410,38.5,33.24,256,9.3,43
1575131867208,38,33.23,256,9.08,48
1575131868010,38,33.21,256,8.58,44
1575131868808,38,33.23,256,8.97,45
1575131869608,38,33.24,256,8.69,43
1575131870405,38,33.22,257,8.69,44
1575131871211,38,33.21,257,9.02,42
1575131872007,38,33.21,257,8.75,44
1575131872803,37.5,33.22,256,9.08,43
1575131873608,37.5,33.23,256,8.63,44
1575131874404,37.5,33.21,257,8.63,45
1575131875209,37.5,33.21,257,8.75,43
1575131876206,37.5,33.2,257,9.08,54
1575131877048,37.5,33.19,257,8.97,42
1575131877808,37.5,33.19,257,8.41,43
1575131878609,37.5,33.2,257,9.02,43
1575131879408,37.5,33.21,256,8.97,42
1575131880260,37,33.21,256,8.91,43
1575131881005,37,33.24,257,8.91,43
1575131881803,37,33.2,257,9.25,44
1575131882612,37,33.16,257,8.75,43
1575131883439,37,33.2,257,8.8,45
1575131884208,37,33.21,257,8.97,44
1575131885002,37,33.21,257,9.3,43
1575131886009,37,33.2,257,9.25,46
1575131887611,37,33.2,257,9.25,44
1575131888402,37,33.19,257,9.25,42
1575131889200,37,33.19,256,8.75,43
1575131890002,37,33.18,256,8.75,43
1575131890806,37,33.16,256,9.25,43
1575131891602,37,33.19,256,9.3,42
1575131892408,37,33.19,252,9.02,43
1575131893206,37,33.15,257,9.02,43
1575131894002,37,33.18,257,8.97,44
1575131894799,37,33.18,257,9.3,45
1575131895806,37,33.19,267,9.41,34
1575131896602,37,33.14,266,8.91,35
1575131897398,37,33.16,266,8.97,35
1575131898211,37,33.16,266,9.02,35
1575131899005,37,33.16,267,8.69,34
1575131899800,37,33.18,267,9.08,37
1575131900611,37,33.18,267,8.97,36
1575131901396,36.5,33.21,266,9.02,35
1575131902206,37,33.19,267,9.41,44
1575131903004,37,33.2,266,9.19,37
1575131903800,37,33.21,267,9.52,35
1575131904602,37,33.19,266,9.19,36
1575131905409,37,33.21,266,9.3,36
1575131906204,37,33.21,266,9.19,37
1575131907213,37,33.21,266,9.13,38
1575131908010,37,33.19,266,9.13,36
1575131908796,37,33.21,266,9.3,36
1575131909618,37,33.21,266,9.25,37
1575131910411,37,33.21,267,9.47,38
1575131911212,37,33.21,267,9.52,39
1575131912008,37,33.22,267,9.52,39
1575131912813,37,33.22,267,9.91,38
1575131913607,37.5,33.21,267,9.69,39
1575131914427,37.5,33.21,267,9.41,42
1575131915210,37.5,33.21,267,9.41,40
1575131916001,37.5,33.23,267,9.47,46
1575131916807,37.5,33.21,267,9.69,43
1575131917808,37.5,33.22,267,9.3,48
1575131918615,37.5,33.22,267,9.52,43
1575131919396,37.5,33.22,267,9.25,44
1575131920212,38,33.22,267,9.8,47
1575131921013,38,33.22,267,9.58,50
1575131921824,38,33.23,268,9.3,48
1575131922613,38,33.22,267,9.69,51
1575131923407,38,33.22,268,10.08,47
1575131924207,38,33.21,268,9.75,49
1575131925020,38,33.23,268,9.47,47
1575131925808,38,33.23,268,9.8,48
1575131926625,38,33.21,268,9.91,47
1575131927611,38,33.23,268,9.97,48
1575131928408,38,33.21,267,9.63,46
1575131929205,38,33.21,267,10.02,48
1575131930003,38,33.19,267,9.91,47
1575131930808,38,33.19,267,10.19,46
1575131931601,38,33.21,267,10.3,45
1575131932399,38,33.21,268,9.8,44
1575131933215,38,33.19,268,10.02,44
1575131933996,38,33.19,266,10.02,44
1575131934800,37.5,33.18,268,9.69,44
1575131935599,37.5,33.2,268,9.97,45
1575131936398,37.5,33.18,268,9.3,45
1575131937399,37.5,33.16,270,10.25,43
1575131938201,37.5,33.2,269,9.3,45
1575131938996,37.5,33.2,269,9.8,44
1575131939813,37.5,33.19,270,9.91,44
1575131940598,37.5,33.18,270,10.08,44
1575131941396,37,33.19,269,9.69,44
1575131942210,37,33.2,270,9.75,44
1575131943010,37,33.21,270,9.58,44
1575131943799,37,33.21,269,10.02,44
1575131944598,37,33.22,270,9.69,45
1575131945401,37,33.21,271,10.02,44
1575131946201,37,33.22,270,10.14,44
1575131947006,37,33.22,271,9.97,44
1575131947996,37,33.22,271,9.63,42
1575131948810,37,33.21,271,9.69,44
1575131949607,37,33.23,271,9.75,43
1575131950410,37,33.23,271,9.75,44
1575131951207,37,33.21,271,9.97,42
1575131951999,37,33.23,271,10.02,43
1575131952810,37,33.21,272,9.91,44
1575131953608,37,33.21,271,9.63,43
1575131954406,37,33.21,271,9.52,44
1575131955216,37,33.21,272,9.8,43
1575131956010,37,33.24,272,9.63,43
1575131956805,37,33.22,272,10.02,43
1575131957796,37,33.21,272,10.02,42
1575131958607,37,33.22,272,10.02,43
1575131959405,37,33.21,272,10.14,43
1575131960247,37,33.21,272,9.58,43
1575131961010,37,33.21,272,9.58,44
1575131961812,37,33.21,272,9.69,45
1575131962607,37,33.22,272,9.58,42
1575131963415,37,33.2,272,9.69,44
1575131964207,37,33.21,272,10.25,43
1575131965002,37,33.19,272,9.75,42
1575131965807,37,33.19,273,9.41,43
1575131966650,37,33.2,272,9.58,43
1575131967406,37,33.21,273,9.97,45
1575131968409,37,33.21,272,9.69,44
1575131969208,37,33.21,272,9.8,43
1575131970007,37,33.2,273,9.91,43
1575131970806,37,33.21,273,9.63,44
1575131971612,37,33.22,273,10.19,44
1575131972406,37,33.21,273,9.75,45
1575131973204,37,33.22,273,9.97,41
1575131974000,37.5,33.19,273,9.91,43
1575131974802,37.5,33.22,273,9.69,42
1575131975606,37.5,33.21,273,10.14,44
1575131976398,37.5,33.21,274,9.75,44
1575131977207,37.5,33.21,274,9.69,43
1575131978206,37.5,33.22,274,10.3,44
1575131979007,37.5,33.2,274,9.86,42
1575131979812,37.5,33.18,274,9.52,43
1575131980606,37.5,33.21,274,10.14,43
1575131981401,37.5,33.2,274,9.52,44
1575131982197,37.5,33.21,274,10.08,43
1575131983002,37.5,33.21,274,9.97,43
1575131983803,37.5,33.23,275,10.08,42
1575131984606,37.5,33.22,275,9.97,42
1575131985398,37.5,33.23,275,9.91,42
1575131986196,37.5,33.21,275,10.25,43
1575131987002,37.5,33.23,275,10.3,44
1575131988004,37.5,33.19,275,9.97,43
1575131988805,37.5,33.2,275,10.19,43
1575131989600,37.5,33.21,275,10.02,44
1575131990398,37.5,33.21,275,10.47,44
1575131991214,37.5,33.21,274,9.52,44
1575131992000,37.5,33.2,275,10.41,43
1575131992802,37.5,33.21,275,9.91,45
1575131993599,37.5,33.23,276,10.02,44
1575131994401,37.5,33.21,276,10.64,45
1575131995197,37.5,33.21,275,9.69,44
1575131996033,37.5,33.21,276,9.91,43
1575131996799,37.5,33.23,276,10.19,44
1575131997612,37.5,33.22,275,9.69,43
1575131998646,37.5,33.2,276,9.63,44
1575131999396,37.5,33.2,275,9.91,44
1575132000208,37.5,33.2,276,10.02,42
1575132000998,37.5,33.21,276,9.91,44
1575132001819,37.5,33.21,276,9.75,44
1575132002599,38,33.2,276,9.97,43
1575132003460,38,33.2,276,10.14,43
1575132004203,38,33.2,276,10.41,43
1575132005029,38,33.21,276,9.86,42
1575132005815,38,33.24,276,10.14,43
1575132006609,38,33.19,277,10.19,44
1575132007408,38,33.21,277,10.14,43
1575132008215,38,33.2,277,10.08,43
1575132009217,38,33.21,277,10.25,43
1575132009999,38,33.19,276,10.08,43
1575132010821,38,33.21,276,9.97,42
1575132011605,38,33.21,277,10.3,42
1575132012414,38,33.21,277,10.52,42
1575132013204,38,33.22,276,10.14,43
1575132014007,38,33.2,277,10.02,43
1575132014810,38,33.23,277,10.08,44
1575132015612,38,33.21,276,10.19,42
1575132016407,38,33.23,277,10.02,44
1575132017203,38,33.24,277,10.3,42
1575132018208,38,33.22,276,10.19,42
1575132019012,38,33.24,277,10.19,44
1575132019807,38,33.23,276,10.14,44
1575132020605,38,33.22,276,9.91,43
1575132021413,38,33.22,276,10.19,44
1575132022216,38,33.22,277,10.14,42
1575132023003,38,33.22,276,10.19,43
1575132023805,38,33.23,277,10.08,43
1575132024602,38.5,33.23,277,10.25,42
1575132025400,38.5,33.24,276,10.19,43
1575132026199,38.5,33.24,277,10.3,45
1575132027004,38.5,33.25,277,10.58,44
1575132027804,38.5,33.24,277,10.52,43
1575132028808,38.5,33.23,277,10.47,43
1575132029609,38.5,33.23,277,10.3,43
1575132030403,38.5,33.24,277,10.08,44
1575132031200,38.5,33.23,278,10.3,43
1575132032002,38.5,33.23,277,10.25,43
1575132032801,38.5,33.22,277,10.41,47
1575132033603,38.5,33.22,277,9.97,43
1575132034400,38.5,33.23,278,10.14,45
1575132035198,38.5,33.23,278,10.25,43
1575132035998,38.5,33.23,277,10.14,44
1575132036796,38.5,33.25,278,9.86,43
1575132037599,38.5,33.27,278,10.19,43
1575132038610,38.5,33.25,277,10.41,43
1575132039401,38.5,33.26,278,9.91,43
1575132040999,38.5,33.24,277,10.25,48
1575132041794,38.5,33.25,277,10.47,43
1575132042599,38.5,33.25,278,10.41,51
1575132044218,38.5,33.24,277,10.08,42
1575132044997,38.5,33.26,278,10.3,44
1575132045808,38.5,33.26,278,10.14,43
1575132047410,38.5,33.24,278,10.3,42
1575132048209,39,33.22,277,10.3,43
1575132049201,39,33.25,277,10.19,43
1575132050010,39,33.25,278,9.91,43
1575132050808,39,33.26,278,9.91,43
1575132051616,39,33.26,277,10.64,43
1575132052408,39,33.25,277,10.41,44
1575132053210,39,33.24,278,10.19,44
1575132054013,39,33.26,277,9.97,43
1575132054823,39,33.25,277,10.19,42
1575132055615,39,33.28,278,10.41,43
1575132056410,39,33.27,277,10.19,40
1575132057212,39,33.29,278,10.52,44
1575132058010,39,33.27,277,10.25,44
1575132059008,39,33.27,277,10.14,43
1575132059809,39,33.26,278,10.58,44
1575132060644,39,33.28,277,10.41,43
1575132061408,39,33.27,277,10.3,44
1575132062222,39,33.25,278,10.3,44
1575132063008,39,33.26,278,10.47,42
1575132063804,39,33.25,277,10.47,44
1575132064608,39,33.25,278,10.47,41
1575132065404,39,33.25,277,10.52,44
1575132066204,39,33.26,277,10.41,43
1575132067004,39,33.29,278,10.3,43
1575132067801,39,33.29,278,10.36,43
1575132068607,39,33.27,278,10.36,50
1575132069611,39,33.29,278,10.02,43
1575132070404,39,33.29,278,10.69,44
1575132071206,39,33.29,278,10.58,44
1575132072169,39,32.77,279,10.47,43
1575132072800,39,33.29,278,10.25,43
1575132073605,39,33.28,278,10.25,45
1575132074401,39,33.3,278,10.19,42
1575132076011,39.5,33.28,279,10.25,45
1575132076804,39.5,33.29,278,10.25,42
1575132077602,39.5,33.29,278,10.69,43
1575132079405,39.5,33.3,279,10.75,44
1575132080200,39.5,33.3,278,10.69,42
1575132081022,39.5,33.29,278,10.64,44
1575132082603,39.5,33.3,278,10.91,43
1575132083398,39.5,33.29,277,10.52,42
1575132084225,39.5,33.3,278,10.97,44
1575132084962,39.5,33.29,277,10.41,43
1575132085809,39.5,33.28,277,10.41,43
1575132086601,39.5,33.29,279,10.19,43
1575132087397,39.5,33.3,279,10.08,43
1575132088202,39.5,33.33,277,10.58,44
1575132089207,39.5,33.3,278,10.69,44
1575132089998,39.5,33.32,278,10.8,42
1575132090801,39.5,33.29,277,10.75,43
1575132091593,39.5,33.32,277,10.47,43
1575132092405,39.5,33.33,278,10.8,44
1575132093196,39.5,33.33,278,10.47,43
1575132093994,39.5,33.33,277,10.25,42
1575132094799,39.5,33.34,278,10.64,42
1575132095608,39.5,33.34,277,10.75,60
1575132096394,39.5,33.35,277,10.58,44
1575132097194,39.5,33.34,278,10.75,44
1575132098006,39.5,33.32,278,10.8,43
1575132099000,39.5,33.34,278,10.75,43
1575132099795,39.5,33.32,278,10.47,43
1575132100590,39.5,33.32,277,10.69,44
1575132101401,39.5,33.33,277,10.75,42
1575132102206,39.5,33.33,277,10.64,43
1575132103005,39.5,33.33,278,10.25,44
1575132103801,39.5,33.35,277,10.58,43
1575132104610,39.5,33.32,278,10.25,43
1575132105405,39.5,33.36,278,10.47,43
1575132106208,39.5,33.35,278,10.47,44
1575132107003,39.5,33.36,277,10.47,44
1575132107808,39.5,33.32,278,10.25,43
1575132108604,39.5,33.36,278,10.52,43
1575132109604,39.5,33.34,278,10.58,43
1575132111195,40,33.35,278,10.91,42
1575132112042,40,33.35,277,10.52,43
1575132112805,40,33.35,277,10.69,50
1575132114402,40,33.34,278,10.8,44
1575132115202,40,33.37,278,10.52,42
1575132116006,40,33.39,279,11.14,43
1575132116953,40,33.35,279,10.75,43
1575132117600,40,33.35,278,10.41,43
