"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575142088462,37,35.75,1,44.47,44
1575142089066,37,35.75,1,44.61,39
1575142089863,37,35.74,1,44.61,40
1575142090760,37,35.74,1,44.47,42
1575142091473,37,35.74,1,44.61,40
1575142092479,37,35.74,1,44.47,40
1575142093277,37,35.74,1,44.76,41
1575142093963,37,35.74,1,44.32,41
1575142095613,37,35.75,1,44.39,41
1575142097161,37,35.75,0,43.88,41
1575142097735,37,35.74,0,44.25,57
1575142099712,36.5,35.73,0,44.69,41
1575142109934,36.5,35.73,0,44.54,40
1575142114557,36.5,35.76,0,44.39,42
1575142124625,36.5,35.72,0,44.61,41
1575142148916,36.5,35.75,0,44.76,41
1575142165069,36.5,35.74,0,44.54,43
1575142185931,36.5,35.77,0,44.76,43
1575142195981,36.5,35.75,0,45.13,41
1575142216143,36.5,35.79,0,44.76,41
1575142235918,36.5,35.78,0,44.98,41
1575142256085,36.5,35.79,0,44.61,42
1575142283249,36.5,35.79,0,44.69,41
1575142303349,36.5,35.79,0,44.25,41
1575142325913,36.5,35.81,0,44.32,41
1575142335971,36.5,35.84,0,44.54,41
1575142365910,36.5,35.81,0,44.47,42
1575142375962,36.5,35.82,0,44.25,41
1575142395915,36.5,35.84,0,45.06,43
1575142415960,36.5,35.84,0,44.84,43
1575142436014,36.5,35.84,0,44.69,41
1575142456067,36.5,35.85,0,44.47,41
1575142476138,36.5,35.86,0,44.76,41
1575142496221,36.5,35.82,0,44.98,42
1575142516273,36.5,35.82,0,44.54,42
1575142536343,36.5,35.85,0,44.02,41
1575142556398,36.5,35.85,0,44.69,42
1575142576445,36.5,35.86,0,44.25,42
1575142596501,36.5,35.86,0,44.32,41
1575142616643,36.5,35.86,0,44.25,41
1575142636693,36.5,35.84,0,44.32,42
1575142656744,36.5,35.85,0,44.54,41
1575142676802,36,35.85,0,44.69,41
1575142696852,36,35.8,0,44.69,42
1575142735901,36.5,35.79,0,44.32,42
1575142755950,36.5,35.78,0,44.32,41
1575142776015,36.5,35.82,0,44.47,42
1575142796063,36.5,35.81,0,44.32,43
1575142816116,36.5,35.81,0,44.25,41
1575142836392,36.5,35.84,0,44.32,42
1575142856453,36.5,35.84,0,44.47,45
1575142876511,36.5,35.84,0,44.98,41
1575142896573,36.5,35.84,0,44.76,42
1575142916622,36.5,35.86,0,44.61,41
1575142936671,36.5,35.86,0,44.84,41
1575142954677,37,35.86,0,44.17,42
1575142955076,37,35.87,0,44.17,42
1575142955880,36.5,35.88,0,44.47,42
1575142956683,37,35.88,0,44.98,42
1575142957485,37,35.87,0,44.69,42
1575142958572,37,35.87,1,45.06,42
1575142959569,37,35.86,1,44.84,40
1575142960087,37,35.88,0,44.98,41
1575142961841,37,35.89,0,44.91,40
1575142973142,37,35.89,0,44.76,40
1575142978085,37,35.89,0,44.98,41
1575142988159,37,35.89,0,44.39,41
1575142990437,37,35.89,0,44.47,41
1575142991037,37,35.89,0,45.21,41
1575142991841,37,35.87,0,44.98,41
1575142992642,37,35.89,1,44.91,41
1575142993447,37,35.87,1,44.84,41
