"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575142089065,39.5,36.6,0,46.61,42
1575142089901,39.5,36.61,0,45.95,39
1575142090690,39.5,36.62,0,46.76,43
1575142091619,39.5,36.59,0,46.02,41
1575142092314,39.5,36.62,0,46.02,42
1575142093166,39.5,36.62,0,46.54,42
1575142094821,39.5,36.62,0,46.54,40
1575142095674,39.5,36.62,0,46.54,41
1575142096498,39.5,36.62,0,46.54,41
1575142097187,39.5,36.62,0,46.76,41
1575142098063,39.5,36.62,0,46.46,40
1575142098917,39.5,36.61,0,46.61,41
1575142099768,39.5,36.61,0,46.69,41
1575142100610,39.5,36.63,0,46.24,41
1575142101262,39.5,36.62,0,46.69,41
1575142102123,39.5,36.63,0,46.24,42
1575142103010,39.5,36.6,0,46.91,42
1575142103808,39.5,36.63,0,46.39,42
1575142104573,39.5,36.63,0,46.39,40
1575142105448,39.5,36.62,0,46.24,41
1575142106294,39.5,36.62,0,47.06,42
1575142107016,39.5,36.64,0,46.54,42
1575142107823,39.5,36.63,0,46.09,42
1575142108713,39.5,36.61,0,46.91,40
1575142109546,39.5,36.63,0,46.76,42
1575142110401,39.5,36.63,0,46.91,41
1575142111032,39.5,36.62,0,46.46,41
1575142111907,39.5,36.63,0,46.54,42
1575142112766,39.5,36.63,0,46.39,41
1575142113657,39.5,36.65,0,46.91,42
1575142114322,39.5,36.62,0,46.17,42
1575142115316,39.5,36.63,0,46.76,42
1575142116099,39.5,36.63,0,46.76,41
1575142116904,39.5,36.65,0,46.54,41
1575142117703,39.5,36.63,0,46.83,40
1575142118516,39.5,36.63,0,46.91,40
1575142119308,39.5,36.63,0,47.13,41
1575142120159,39.5,36.62,0,47.13,41
1575142120834,39.5,36.65,0,46.76,41
1575142121669,39.5,36.64,0,46.83,42
1575142122538,39.5,36.64,0,46.39,41
1575142123603,39.5,36.66,0,46.69,40
1575142124201,39.5,36.63,0,46.46,43
1575142127615,39.5,36.65,0,47.35,44
1575142129241,39.5,36.65,0,46.98,41
1575142130807,39.5,36.65,0,46.02,41
1575142131597,39.5,36.66,0,46.69,42
1575142134819,39.5,36.65,0,47.13,42
1575142135598,39.5,36.65,0,47.06,42
1575142136387,39.5,36.64,0,46.91,42
1575142137174,39.5,36.65,0,46.98,41
1575142137973,39.5,36.67,0,47.06,42
1575142138774,39.5,36.65,0,47.2,41
1575142139583,39.5,36.65,0,47.13,41
1575142140382,39.5,36.66,0,46.69,41
1575142141303,39.5,36.67,0,47.06,40
1575142142187,39.5,36.66,0,47.28,40
1575142142874,39.5,36.66,0,47.43,41
1575142143736,39.5,36.66,0,46.98,43
1575142144654,39.5,36.65,0,48.02,42
1575142145409,39.5,36.67,0,47.94,40
1575142146114,39.5,36.65,0,47.28,40
1575142147049,39.5,36.65,0,47.06,41
1575142147773,39.5,36.68,0,47.43,42
1575142148675,39.5,36.65,0,46.61,43
1575142149384,39.5,36.66,0,46.17,42
1575142150314,39.5,36.66,0,46.83,43
1575142151052,39.5,36.66,0,46.39,43
1575142151978,39.5,36.66,0,46.46,43
1575142152715,39,36.66,0,46.91,42
1575142153637,39,36.66,0,46.46,42
1575142155225,39,36.65,0,46.61,43
1575142155972,39,36.65,0,46.24,42
1575142156755,39,36.65,0,46.54,43
1575142157697,39,36.64,0,46.39,44
1575142158466,39,36.65,0,46.83,42
1575142159248,38.5,36.65,0,46.69,43
1575142160023,38.5,36.67,0,46.83,43
1575142160853,38.5,36.66,0,46.39,43
1575142161659,38.5,36.65,0,46.39,44
1575142162466,38.5,36.68,0,46.32,46
1575142163303,38.5,36.66,0,46.98,45
1575142164175,38.5,36.65,0,46.54,43
1575142165018,38.5,36.64,0,46.54,43
1575142165696,38.5,36.65,0,46.83,43
1575142166537,38.5,36.65,0,46.24,42
1575142167363,38.5,36.65,0,46.83,43
1575142168214,38,36.63,0,46.61,42
1575142169069,38,36.64,0,46.76,43
1575142169903,38,36.65,0,46.39,43
1575142170753,38,36.65,0,46.69,43
1575142171386,38,36.65,0,47.28,43
1575142172225,38,36.65,0,46.69,42
1575142173048,38,36.65,0,46.83,44
1575142173902,38,36.64,0,46.39,43
1575142174747,38,36.65,0,46.39,42
1575142175592,38,36.63,0,46.46,44
1575142176422,38,36.65,0,46.17,43
1575142177344,38,36.65,0,46.61,43
1575142178109,38,36.65,0,46.91,42
1575142178736,38,36.64,0,46.83,42
1575142179585,38,36.64,0,46.76,42
1575142180557,38,36.63,0,46.39,44
1575142181309,38,36.65,0,46.32,44
1575142182147,38,36.64,0,46.54,43
1575142182997,38,36.62,0,46.69,43
1575142183752,38,36.63,0,46.39,43
1575142184494,38,36.64,0,46.91,43
1575142185338,38,36.64,0,46.76,42
1575142186181,38,36.64,0,46.76,43
1575142186958,37.5,36.62,0,46.24,43
1575142187902,37.5,36.62,0,46.39,43
1575142188547,37.5,36.63,0,45.95,43
1575142189385,37.5,36.62,0,46.76,43
1575142190150,37.5,36.64,0,46.61,44
1575142191091,37.5,36.63,0,46.46,44
1575142191919,37.5,36.63,0,46.54,43
1575142192785,37.5,36.65,0,46.46,43
1575142193404,37.5,36.64,0,46.83,43
1575142194273,37.5,36.63,0,46.17,44
1575142195124,37.5,36.64,0,46.17,42
1575142195954,37.5,36.63,0,46.46,43
1575142196833,37.5,36.62,0,46.17,43
1575142197655,37.5,36.62,0,46.98,43
1575142198299,37.5,36.63,0,46.76,43
1575142199124,37.5,36.6,0,46.91,43
1575142199978,37.5,36.62,0,46.83,43
1575142200836,37.5,36.62,0,46.54,43
1575142201643,37.5,36.62,0,46.02,45
1575142202506,37.5,36.62,0,45.35,45
1575142203328,37.5,36.61,0,45.35,47
1575142204164,37.5,36.6,0,45.13,45
1575142204995,37.5,36.62,0,45.43,45
1575142205646,37.5,36.6,0,45.35,46
1575142206479,37.5,36.63,0,45.87,45
1575142207333,37.5,36.62,0,45.8,46
1575142208192,37.5,36.61,0,45.43,46
1575142209033,37.5,36.61,0,45.72,46
1575142209886,37.5,36.6,0,45.5,46
1575142210548,37.5,36.59,0,45.13,46
1575142211386,37.5,36.59,0,45.65,45
1575142212237,37.5,36.59,0,45.5,47
1575142213068,37.5,36.59,0,45.72,46
1575142213908,37.5,36.59,0,45.28,46
1575142214739,37.5,36.58,0,45.35,45
1575142216373,37.5,36.6,0,45.43,45
1575142217214,37.5,36.58,0,45.8,45
1575142218059,37.5,36.6,0,45.5,45
1575142218691,37.5,36.59,0,45.35,46
1575142219529,37.5,36.59,0,45.65,46
1575142220436,37.5,36.58,0,45.43,46
1575142221257,37.5,36.58,0,45.8,45
1575142222136,37.5,36.56,0,45.35,46
1575142222988,37.5,36.58,0,45.5,46
1575142223591,37.5,36.58,0,46.02,45
1575142224417,37.5,36.59,0,45.58,46
1575142225344,37.5,36.56,0,45.8,46
1575142226130,37,36.58,0,45.95,46
