"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575142088621,35.5,37.17,0,46.91,44
1575142089194,35.5,37.2,0,46.32,43
1575142089997,35.5,37.18,0,46.76,44
1575142090869,35.5,37.17,0,46.76,44
1575142091800,35.5,37.19,0,46.61,43
1575142092600,35.5,37.19,0,47.06,42
1575142093400,35.5,37.21,0,46.39,44
1575142094071,35.5,37.19,0,46.83,45
1575142095021,35.5,37.19,0,46.39,43
1575142095811,35.5,37.19,0,46.69,43
1575142096619,35.5,37.19,0,46.61,43
1575142097413,35.5,37.19,0,46.91,54
1575142098207,35.5,37.17,0,46.54,44
1575142099009,35.5,37.18,0,46.91,43
1575142099795,35.5,37.18,0,46.98,43
1575142100592,35.5,37.18,0,46.54,44
1575142101444,35.5,37.18,0,46.46,43
1575142102409,35.5,37.17,0,46.54,42
1575142103208,35.5,37.18,0,46.76,43
1575142104015,35.5,37.17,0,46.61,44
1575142104810,35.5,37.17,0,46.32,42
1575142105608,35.5,37.18,0,46.98,44
1575142106409,35.5,37.18,0,46.83,43
1575142107219,35.5,37.17,0,46.83,44
1575142107994,35.5,37.18,0,46.61,43
1575142108807,35.5,37.17,0,47.13,43
1575142109621,35.5,37.18,0,47.2,44
1575142110400,35.5,37.15,0,46.76,44
1575142111397,35.5,37.18,0,46.91,42
1575142112209,35.5,37.19,0,46.76,44
1575142113007,35.5,37.14,0,47.06,43
1575142113795,35.5,37.17,0,46.76,44
1575142114604,35.5,37.18,0,46.91,43
1575142115395,35.5,37.17,0,47.13,44
1575142116195,35.5,37.15,0,46.91,44
1575142117005,35.5,37.15,0,46.83,43
1575142117794,35.5,37.15,0,46.98,43
1575142118594,35.5,37.15,0,46.83,43
1575142119403,35.5,37.14,0,47.35,44
1575142120195,35.5,37.14,0,46.98,43
1575142121221,35.5,37.15,0,46.83,44
1575142121913,35.5,37.13,0,47.35,43
1575142122678,35.5,37.14,0,47.65,44
1575142123487,35.5,37.13,0,47.06,43
1575142124285,35.5,37.13,0,47.13,43
1575142125085,35.5,37.15,0,46.91,44
1575142125996,35.5,37.14,0,47.57,44
1575142126796,35.5,37.12,0,47.35,42
1575142127594,35.5,37.13,0,47.65,44
1575142128414,35.5,37.15,0,47.13,42
1575142129215,35.5,37.12,0,47.35,44
1575142129994,35.5,37.13,0,47.28,43
1575142130851,35.5,37.13,0,47.72,43
1575142131623,35.5,37.15,0,47.35,43
1575142132455,35.5,37.12,0,47.28,44
1575142133403,35.5,37.13,0,47.28,43
1575142134203,35.5,37.11,0,47.57,45
1575142135040,35.5,37.14,0,47.06,43
1575142135793,35.5,37.13,0,47.79,42
1575142136603,35.5,37.13,0,47.57,43
1575142137405,35.5,37.12,0,47.72,43
1575142138194,35.5,37.12,0,47.57,44
1575142138996,35.5,37.13,0,47.57,44
1575142139802,35.5,37.13,0,47.57,43
1575142140615,35.5,37.12,0,47.65,43
1575142141405,35.5,37.12,0,47.65,44
1575142142403,35.5,37.1,0,47.5,43
1575142143202,35.5,37.12,0,47.72,43
1575142143992,35.5,37.13,0,48.09,42
1575142144804,35.5,37.11,0,47.35,43
1575142145603,35.5,37.11,0,48.16,44
1575142146409,35.5,37.12,0,47.57,43
1575142147994,35.5,37.11,0,47.5,43
1575142148815,35.5,37.12,0,47.87,43
1575142149611,35.5,37.12,0,47.79,44
1575142150407,35.5,37.1,0,47.72,43
1575142151200,35.5,37.11,0,47.87,44
1575142152219,35.5,37.1,0,47.94,44
1575142153016,35.5,37.11,0,48.02,43
1575142153839,35.5,37.1,0,48.02,44
1575142154614,35.5,37.1,0,48.16,44
1575142155404,35.5,37.11,0,48.24,43
1575142156202,35.5,37.11,0,47.72,44
1575142157000,35.5,37.11,0,48.09,43
1575142157801,35.5,37.13,0,47.87,44
1575142158602,35.5,37.1,0,47.72,43
1575142159414,35.5,37.08,0,48.31,43
1575142160216,35.5,37.11,0,47.72,43
1575142161003,35.5,37.1,0,47.87,44
1575142161809,35.5,37.1,0,48.02,43
1575142162811,35.5,37.1,0,48.16,43
1575142163613,35.5,37.1,0,47.87,44
1575142164439,35.5,37.1,0,48.24,44
1575142165201,35.5,37.1,0,48.02,44
1575142166011,35.5,37.11,0,48.16,43
1575142166817,35.5,37.09,0,48.24,43
1575142167634,35.5,37.09,0,48.31,44
1575142168402,35.5,37.09,0,47.79,43
1575142169209,35.5,37.1,0,48.31,44
1575142170020,35.5,37.1,0,48.39,43
1575142170844,35.5,37.09,0,48.61,42
1575142171606,35.5,37.09,0,48.53,43
1575142172616,35.5,37.09,0,48.31,43
1575142173402,35.5,37.08,0,48.83,43
1575142174200,35.5,37.1,0,48.46,44
1575142175012,35.5,37.09,0,48.09,44
1575142175818,35.5,37.09,0,48.09,44
1575142176602,35.5,37.09,0,48.68,44
1575142177412,35.5,37.09,0,48.39,44
1575142178202,35.5,37.08,0,48.53,43
1575142179011,35.5,37.07,0,48.09,44
1575142179809,35.5,37.08,0,48.39,43
1575142180604,35.5,37.08,0,48.46,47
1575142181400,35.5,37.1,0,48.61,44
1575142182412,35.5,37.1,0,48.68,44
1575142183200,35.5,37.07,0,48.68,43
1575142184012,35.5,37.08,0,48.46,43
1575142184802,35.5,37.09,0,48.39,43
1575142185613,35.5,37.08,0,48.39,44
1575142186405,35.5,37.08,0,48.31,44
1575142187203,35.5,37.07,0,48.61,43
1575142188002,35.5,37.08,0,48.46,44
1575142188803,35.5,37.08,0,48.61,44
1575142189601,35.5,37.07,0,48.46,44
1575142190405,35.5,37.07,0,48.31,44
1575142191213,35.5,37.08,0,48.76,43
1575142192201,35.5,37.08,0,48.53,44
1575142193002,35.5,37.08,0,48.61,44
1575142193800,35.5,37.07,0,48.61,43
1575142194602,35.5,37.08,0,48.9,44
1575142195399,35.5,37.06,0,48.68,43
1575142196203,35.5,37.07,0,48.9,43
1575142197002,35.5,37.07,0,48.76,44
1575142197800,35.5,37.05,0,48.31,44
1575142198601,35.5,37.07,0,48.9,43
1575142199407,35.5,37.08,0,48.76,44
1575142200241,35.5,37.06,0,48.83,43
1575142201051,35.5,37.06,0,48.39,44
1575142201815,35.5,37.06,0,48.61,45
1575142202817,35.5,37.05,0,49.05,44
1575142203458,35.5,37.06,0,48.83,44
1575142204404,35.5,37.06,0,48.61,43
1575142205211,35.5,37.05,0,48.83,43
1575142206020,35.5,37.06,0,49.2,43
1575142206813,35.5,37.06,0,48.68,43
1575142207620,35.5,37.06,0,48.61,45
1575142208416,35.5,37.06,0,48.61,44
1575142209223,35.5,37.05,0,49.05,44
1575142210030,35.5,37.04,0,48.61,44
1575142210817,35.5,37.06,0,49.13,43
1575142211619,35.5,37.06,0,48.9,44
1575142212414,35.5,37.05,0,48.68,43
1575142213410,35.5,37.05,0,48.98,43
1575142214214,35.5,37.06,0,49.05,42
1575142215019,35.5,37.05,0,49.35,44
1575142215815,35.5,37.04,0,49.05,43
1575142216604,35.5,37.05,0,48.76,43
1575142217425,35.5,37.03,0,49.35,43
1575142218223,35.5,37.04,0,49.05,43
1575142219003,35.5,37.04,0,48.9,44
1575142219816,35.5,37.03,0,49.05,42
1575142220615,35.5,37.03,0,49.5,44
1575142221404,35.5,37.06,0,49.05,43
1575142222215,35.5,37.04,0,48.46,43
1575142223212,35.5,37.03,0,49.42,44
1575142224006,35.5,37.04,0,48.9,44
1575142224815,35.5,37.04,0,49.05,43
1575142225603,35.5,37.03,0,48.76,60
1575142226416,35.5,37.04,0,48.9,46
1575142227207,35.5,37.03,0,49.35,44
1575142228018,35.5,37.02,0,48.98,44
1575142228815,35.5,37.06,0,48.98,44
1575142229602,35.5,37.03,0,49.35,42
1575142230411,35.5,37.04,0,49.35,43
1575142231206,35.5,37.03,0,49.13,44
1575142232008,35.5,37.04,0,49.2,44
1575142233004,35.5,37.02,0,49.2,43
1575142233811,35.5,37,0,48.9,44
1575142234604,35.5,37.04,0,48.31,44
1575142235407,35.5,37.04,0,46.46,43
1575142236205,35.5,37.04,0,44.25,44
1575142237005,35.5,37.1,0,43.28,43
1575142237805,35.5,37.12,0,42.54,44
1575142238605,35.5,37.19,0,42.25,44
1575142239441,35.5,37.25,0,41.66,43
1575142240216,35.5,37.3,0,41.44,42
1575142241014,35.5,37.38,0,41.73,44
1575142241814,35.5,37.42,0,42.17,44
1575142242806,35.5,37.48,0,41.73,43
1575142243609,35.5,37.54,0,42.4,43
1575142244418,35.5,37.59,0,41.8,44
1575142245215,35.5,37.65,0,42.25,42
1575142246019,35.5,37.68,0,42.17,44
1575142246848,35.5,37.72,0,42.62,43
1575142247616,35.5,37.77,0,42.84,43
1575142248436,35.5,37.81,0,42.99,44
1575142249206,35.5,37.86,0,42.84,43
1575142250018,35.5,37.88,0,43.21,43
1575142250818,35,37.91,0,42.84,43
1575142251615,35,37.95,0,42.91,44
1575142252607,35,37.97,0,43.21,43
1575142253419,35,38,0,43.28,43
1575142254216,35,38.02,0,43.21,44
1575142255017,35,38.07,0,43.21,43
1575142255816,35,38.1,0,43.51,43
1575142256619,35,38.1,0,43.43,43
1575142257416,35,38.14,0,43.43,43
1575142258206,35,38.15,0,43.51,43
1575142259016,34.5,38.18,0,43.43,42
1575142259816,34.5,38.17,0,43.36,44
1575142260613,34.5,38.21,0,43.43,43
1575142261415,34.5,38.25,0,43.88,43
1575142262214,34.5,38.24,0,44.1,43
1575142263217,34.5,38.26,0,43.14,43
1575142264014,34.5,38.27,0,43.43,43
1575142264808,34.5,38.29,0,44.02,44
1575142265620,34.5,38.3,0,43.28,44
1575142266405,34.5,38.31,0,43.8,43
1575142267225,34.5,38.31,0,43.51,44
1575142268006,34.5,38.33,0,44.32,44
1575142268830,34.5,38.35,0,43.88,44
1575142269616,34.5,38.35,0,43.51,42
1575142270405,34.5,38.37,0,44.02,44
1575142271245,34,38.4,0,44.17,43
1575142272007,34,38.41,0,44.17,44
1575142272815,34,38.38,0,44.25,43
1575142273807,34,38.41,0,43.95,45
1575142274603,34,38.41,0,43.8,44
1575142275404,34,38.43,0,44.32,44
1575142277018,34,38.46,0,44.54,44
1575142277825,34,38.46,0,44.25,44
1575142278608,34,38.46,0,44.17,42
1575142279581,34,38.48,0,43.95,43
1575142280205,34,38.45,0,44.47,44
1575142281009,34,38.48,0,44.32,43
1575142281808,34,38.46,0,43.58,43
1575142283609,34,38.52,0,44.17,43
1575142284404,34,38.51,0,44.02,43
1575142285207,34,38.52,0,43.88,43
1575142286009,34,38.51,0,43.88,44
1575142286807,34,38.51,0,44.61,44
1575142287605,34,38.55,0,44.02,43
1575142288405,34,38.54,0,44.32,43
1575142289207,34,38.55,0,44.1,44
1575142290005,34,38.55,0,44.39,44
1575142290811,34,38.54,0,44.1,43
1575142291605,33.5,38.57,0,44.69,44
1575142292404,33.5,38.57,0,44.61,44
1575142293405,33.5,38.56,0,44.47,43
1575142294206,33.5,38.58,0,44.32,44
1575142295017,33.5,38.58,0,43.95,44
1575142295817,33.5,38.58,0,44.47,43
1575142296607,33.5,38.59,0,44.32,43
1575142297421,33.5,38.59,0,44.61,43
1575142298237,33.5,38.6,0,44.02,43
1575142299016,33.5,38.61,0,44.69,43
1575142299815,33.5,38.61,0,44.76,44
1575142300616,33.5,38.61,0,44.25,43
1575142301416,33.5,38.61,0,44.32,44
1575142302215,33.5,38.61,0,44.84,45
1575142303014,33.5,38.63,0,44.54,44
1575142304027,33.5,38.62,0,44.47,43
1575142304816,33.5,38.63,0,44.39,44
