"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575142089285,34,39.26,0,26.76,58
1575142089920,34,39.25,0,26.48,45
1575142090693,34,39.27,0,26.43,49
1575142091479,34,39.26,0,26.54,44
1575142092282,34,39.28,0,26.43,45
1575142093094,34,39.25,0,26.82,45
1575142093887,34,39.28,0,26.65,44
1575142094700,34,39.28,0,26.65,45
1575142095691,34,39.27,0,26.59,44
1575142096486,34,39.27,0,26.37,45
1575142097283,34,39.28,0,26.59,45
1575142098883,34,39.29,0,26.2,45
1575142099689,34,39.28,0,26.48,45
1575142100501,34,39.27,0,26.48,44
1575142102082,34,39.29,0,26.87,44
1575142102894,34,39.28,0,26.7,44
1575142103681,34,39.29,0,26.65,51
1575142104632,34,39.3,0,26.76,46
1575142105480,34,39.3,0,26.7,44
1575142106288,34,39.28,0,26.7,46
1575142107093,34,39.3,0,26.54,45
1575142108682,34,39.29,0,26.54,44
1575142109481,34,39.31,0,27.04,43
1575142110281,34,39.3,0,26.87,44
1575142111016,34,39.31,0,26.7,44
1575142111876,34,39.32,0,26.65,44
1575142112792,34,39.32,0,26.76,46
1575142113600,34,39.3,0,26.87,44
1575142115096,34,39.31,0,26.98,45
1575142115901,34,39.32,0,26.98,47
1575142116953,34,39.31,0,27.21,44
1575142117725,34,39.33,0,26.87,45
1575142118499,34,39.32,0,26.59,45
1575142120093,34,39.32,0,26.65,44
1575142121681,34,39.31,0,26.93,44
1575142122488,34,39.34,0,26.82,44
1575142123278,34,39.33,0,26.82,44
1575142124101,34,39.33,0,27.09,45
1575142124875,34,39.33,0,26.7,44
1575142126831,34,39.33,0,26.93,46
1575142128157,34,39.33,0,26.87,43
1575142130823,34,39.33,0,26.93,44
1575142131620,34,39.34,0,26.98,44
1575142132422,34,39.33,0,27.15,44
1575142133246,34,39.33,0,26.98,44
1575142134031,34,39.34,0,26.59,45
1575142136411,34,39.33,0,26.93,44
1575142137204,34,39.35,0,26.82,44
1575142138050,34,39.34,0,26.59,43
1575142138792,34,39.34,0,26.82,44
1575142139607,34,39.35,0,27.04,44
1575142140406,34,39.36,0,26.76,46
1575142141219,34,39.35,0,27.04,44
1575142142073,34,39.35,0,26.65,45
1575142143687,34,39.35,0,27.04,45
1575142144474,34,39.37,0,26.93,46
1575142145281,34,39.37,0,26.65,43
1575142146284,34,39.35,0,26.82,44
1575142147093,34,39.37,0,27.15,45
1575142147891,34,39.39,0,27.37,45
1575142148692,34,39.37,0,27.21,44
1575142149477,34,39.36,0,27.93,45
1575142150282,34,39.37,0,28.76,46
1575142151090,34,39.35,0,29.48,44
1575142152724,34,39.31,0,39.96,47
1575142153490,34,39.3,0,40.25,44
1575142154283,34,39.27,0,40.03,44
1575142156880,34,39.17,0,39.96,44
1575142157685,34,39.13,0,29.87,45
1575142158486,34,39.12,0,40.1,45
1575142160087,34,39.07,0,40.33,44
1575142160884,34,39.04,0,29.87,46
1575142161681,34,39.03,0,29.6,45
1575142162487,34,39.02,0,29.82,45
1575142163367,34,39.01,0,29.93,49
1575142164190,34,38.98,0,29.76,47
1575142164879,34,38.96,0,29.87,44
1575142165686,34.5,38.97,0,29.82,44
1575142166694,34.5,38.92,0,29.76,44
1575142167330,34.5,38.92,0,29.32,45
1575142168292,34.5,38.92,0,29.71,44
1575142169094,34.5,38.89,0,29.6,44
1575142169877,34.5,38.9,0,29.48,43
1575142170687,34.5,38.89,0,29.82,45
1575142171479,34.5,38.87,0,29.6,44
1575142172288,34.5,38.85,0,29.48,44
1575142173091,34.5,38.84,0,29.54,45
1575142173925,34.5,38.85,0,29.87,44
1575142174708,34.5,38.83,0,29.54,45
1575142175477,34.5,38.81,0,29.6,44
1575142176291,34.5,38.82,0,29.37,44
1575142177301,34.5,38.8,0,29.6,44
1575142178205,34.5,38.81,0,29.65,45
1575142178879,34.5,38.78,0,29.37,45
1575142179692,34.5,38.78,0,29.65,44
1575142180477,34.5,38.78,0,29.82,44
1575142181375,34.5,38.77,0,29.26,45
1575142182095,34.5,38.76,0,29.26,44
1575142182887,34.5,38.76,0,29.6,44
1575142183689,34.5,38.76,0,29.37,44
1575142184572,34.5,38.73,0,29.48,45
1575142185293,35,38.75,0,29.76,44
1575142186087,35,38.72,0,29.6,45
1575142187094,35,38.73,0,29.37,44
1575142187770,35,38.72,0,29.6,46
1575142188552,35,38.72,0,29.48,44
1575142189479,35,38.72,0,29.43,43
1575142190202,35,38.72,0,29.21,43
1575142191077,35,38.72,0,29.48,46
1575142191876,35,38.69,0,29.6,45
1575142192686,35,38.71,0,29.71,44
1575142193489,35,38.7,0,29.26,45
1575142194281,35,38.7,0,29.99,45
1575142195072,35,38.7,0,29.82,43
1575142195875,35,38.68,0,29.82,44
1575142196876,35,38.7,0,29.43,44
1575142197691,35,38.69,0,29.48,45
1575142198482,35,38.68,0,29.71,45
1575142199300,35,38.67,0,29.48,45
1575142200079,35,38.66,0,29.6,46
1575142200918,35,38.67,0,29.93,44
1575142201681,35,38.68,0,29.54,44
1575142202489,35,38.66,0,29.82,45
1575142203282,35,38.63,0,29.65,44
1575142204090,35,38.66,0,29.37,46
1575142204886,35,38.66,0,29.6,43
1575142205678,35,38.66,0,29.65,44
1575142206686,35,38.63,0,29.43,45
1575142207484,35,38.65,0,29.65,44
1575142208284,35,38.66,0,29.71,43
1575142209092,35,38.66,0,29.76,43
1575142209877,35,38.63,0,29.43,45
1575142210693,35,38.63,0,29.99,45
1575142211479,35,38.61,0,29.6,47
1575142212335,35,38.63,0,29.87,45
1575142213096,35,38.62,0,29.99,46
1575142213880,35,38.61,0,29.65,43
1575142214698,35,38.62,0,29.65,45
1575142215478,35,38.61,0,29.76,44
1575142216287,35,38.63,0,29.93,44
1575142217093,35,38.63,0,29.48,45
1575142218086,35,38.62,0,29.76,46
1575142218877,35,38.62,0,39.96,45
1575142219747,35,38.6,0,40.03,44
1575142220480,35,38.63,0,29.76,44
1575142221290,35,38.6,0,29.6,45
1575142222093,35,38.61,0,29.71,44
1575142223702,35,38.61,0,29.6,44
1575142224509,35,38.58,0,29.76,44
1575142225283,35,38.6,0,29.87,45
1575142226162,35,38.61,0,29.71,46
1575142226887,35,38.59,0,29.76,44
1575142227878,35,38.59,0,29.87,44
1575142228686,35,38.59,0,29.82,45
1575142229365,35,38.6,0,40.1,44
1575142230286,35,38.6,0,29.82,45
1575142231093,35,38.58,0,29.71,45
1575142231877,35,38.6,0,29.76,45
1575142232720,35,38.58,0,39.96,45
1575142233480,35,38.58,0,29.87,43
1575142234282,35,38.61,0,29.87,44
1575142235890,35,38.6,0,29.82,43
1575142236691,35,38.59,0,29.76,45
1575142237512,35,38.59,0,39.96,44
1575142239283,35,38.58,0,29.93,46
1575142240090,35,38.59,0,39.96,45
1575142240880,35,38.58,0,29.54,44
1575142241691,35,38.57,0,29.93,45
1575142242477,35,38.58,0,29.76,43
1575142243283,35,38.57,0,29.87,45
1575142244080,35,38.56,0,29.87,45
1575142244890,35,38.57,0,29.71,43
1575142245694,35,38.57,0,29.65,46
1575142246491,35,38.57,0,29.87,45
1575142247284,35,38.58,0,29.93,46
1575142248284,35,38.57,0,29.93,44
1575142248979,35,38.58,0,29.82,45
1575142249887,35,38.56,0,29.82,44
1575142250692,35,38.56,0,29.82,45
1575142251491,35,38.57,0,39.96,45
1575142252283,35,38.58,0,40.4,45
1575142253093,35,38.56,0,29.65,44
1575142253882,35.5,38.57,0,39.96,43
1575142254682,35.5,38.55,0,29.93,45
1575142255495,35.5,38.56,0,29.93,44
1575142256286,35.5,38.56,0,29.93,44
1575142257097,35.5,38.55,0,29.82,44
1575142257897,35.5,38.55,0,29.82,47
1575142258886,35.5,38.57,0,40.03,45
1575142259683,35.5,38.54,0,29.99,45
1575142260483,35.5,38.54,0,40.47,45
1575142261368,35.5,38.55,0,29.82,45
1575142262115,35.5,38.54,0,39.96,45
1575142262885,35.5,38.54,0,40.03,45
1575142263691,35.5,38.56,0,29.71,45
1575142264537,35.5,38.55,0,29.71,45
1575142265280,35.5,38.54,0,29.82,45
1575142266094,35.5,38.54,0,29.93,44
1575142266882,35.5,38.54,0,40.03,44
1575142267750,35.5,38.52,0,39.96,44
1575142268509,35.5,38.54,0,29.99,44
1575142269478,35.5,38.54,0,29.87,45
1575142270282,35.5,38.52,0,40.03,44
1575142270949,35.5,38.53,0,40.03,45
1575142271879,35.5,38.53,0,29.82,44
1575142272742,35.5,38.53,0,40.1,43
1575142273485,35.5,38.53,0,29.93,45
1575142274288,35.5,38.55,0,29.93,45
1575142275095,35.5,38.54,0,40.1,45
1575142275895,35.5,38.55,0,40.18,44
1575142277478,35.5,38.52,0,29.48,45
1575142278289,35.5,38.53,0,29.87,44
1575142279284,35.5,38.52,0,29.6,46
1575142280095,35.5,38.54,0,29.93,45
1575142281684,35.5,38.52,0,40.4,45
1575142282478,35.5,38.52,0,29.93,44
1575142283387,35.5,38.52,0,29.93,44
1575142284080,35.5,38.53,0,40.25,43
1575142284911,35.5,38.54,0,29.93,44
1575142285685,35.5,38.52,0,29.71,44
1575142286486,35.5,38.52,0,40.18,45
1575142287302,35.5,38.54,0,29.82,44
1575142288084,35.5,38.53,0,29.93,45
1575142289092,35.5,38.52,0,29.65,45
1575142289886,35.5,38.51,0,29.93,45
1575142290689,35.5,38.52,0,29.65,45
1575142291512,35.5,38.52,0,40.55,45
1575142292281,35.5,38.51,0,40.03,45
1575142293094,35.5,38.52,0,29.99,45
1575142293891,35.5,38.53,0,40.1,44
1575142294690,35.5,38.52,0,29.76,44
1575142295549,35.5,38.52,0,29.99,44
1575142296346,35.5,38.53,0,29.99,45
1575142297172,35.5,38.48,0,29.76,44
1575142297989,35.5,38.51,0,29.82,45
1575142298804,35.5,38.51,0,29.99,43
1575142299825,35.5,38.52,0,40.55,46
1575142300480,35.5,38.5,0,40.03,45
1575142301281,35.5,38.51,0,29.99,44
1575142302079,35.5,38.51,0,29.82,42
1575142302947,35.5,38.48,0,40.03,44
1575142303682,35.5,38.51,0,29.99,45
1575142304483,35.5,38.5,0,29.87,44
1575142305283,35.5,38.51,0,40.03,44
1575142306134,35.5,38.5,0,40.1,45
1575142306883,35.5,38.5,0,29.82,44
