"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575139965711,38,37.13,0,41.73,48
1575139966132,38.5,37.14,0,42.32,42
1575139966913,38.5,37.11,0,42.47,41
1575139967715,38.5,37.13,0,41.51,41
1575139968510,38.5,37.12,0,41.66,40
1575139969504,38.5,37.12,0,42.1,42
1575139970371,38.5,37.11,0,41.8,41
1575139971111,38.5,37.13,0,42.25,42
1575139971906,38.5,37.12,0,42.1,41
1575139972703,38.5,37.12,0,42.25,42
1575139973561,38.5,37.13,0,42.17,40
1575139974304,38.5,37.13,0,41.95,41
1575139975108,38.5,37.12,0,42.1,42
1575139975909,38.5,37.12,0,42.62,41
1575139976758,38.5,37.12,0,42.1,41
1575139977509,38.5,37.13,0,42.17,45
1575139978308,38.5,37.11,0,42.32,41
1575139979106,38.5,37.13,0,41.66,41
1575139979950,38.5,37.12,0,41.73,41
1575139980909,38.5,37.12,0,41.58,41
1575139981710,38.5,37.13,0,41.73,42
1575139982507,38.5,37.12,0,42.25,42
1575139983178,38.5,37.12,0,41.95,41
1575139984108,38.5,37.1,0,42.1,42
1575139984908,38.5,37.13,0,42.17,42
1575139985711,38.5,37.13,0,41.36,42
1575139986510,38.5,37.12,0,42.03,42
1575139987314,38.5,37.11,0,41.95,42
1575139988107,38.5,37.12,0,41.95,41
1575139988906,38.5,37.11,0,41.8,42
1575139990510,38.5,37.12,0,42.03,41
1575139991519,38.5,37.12,0,41.88,42
1575139992311,38.5,37.12,0,41.88,41
1575139993108,38.5,37.12,0,41.73,41
1575139993911,38.5,37.12,0,42.17,42
1575139994708,38.5,37.13,0,42.03,43
1575139995522,38.5,37.1,0,42.4,42
1575139996308,38.5,37.11,0,42.32,42
1575139997109,38.5,37.12,0,42.03,42
1575139997920,38.5,37.11,0,41.88,56
1575139998710,38.5,37.1,0,42.25,43
1575139999509,38.5,37.14,0,42.17,42
1575140000311,38.5,37.1,0,42.03,41
1575140001314,38.5,37.12,0,42.1,42
1575140002911,38.5,37.11,0,42.03,42
1575140003711,38.5,37.12,0,42.32,42
1575140004516,38.5,37.14,0,41.88,43
1575140005308,38.5,37.11,0,42.1,42
1575140006076,38.5,37.12,0,42.4,41
1575140006912,38.5,37.11,0,42.69,42
1575140007710,38.5,37.12,0,41.95,43
1575140008514,38.5,37.12,0,41.88,40
1575140009313,38.5,37.11,0,42.1,42
1575140010110,38.5,37.12,0,42.25,42
1575140010908,38.5,37.13,0,42.32,41
1575140011711,38.5,37.12,0,41.95,42
1575140012709,38.5,37.11,0,42.84,42
1575140013507,38.5,37.12,0,42.54,42
1575140014326,38.5,37.12,0,42.4,42
1575140015145,38.5,37.11,0,42.25,42
1575140015909,38.5,37.13,0,42.17,41
1575140016708,38.5,37.13,0,42.77,42
1575140017513,38.5,37.11,0,42.03,41
1575140018347,38.5,37.13,0,42.32,41
1575140019108,38.5,37.1,0,42.4,41
1575140019909,38.5,37.12,0,42.25,42
1575140020710,38.5,37.1,0,42.17,42
1575140021576,38.5,37.12,0,42.62,42
1575140022510,38.5,37.12,0,42.32,42
1575140023310,38.5,37.12,0,42.47,42
1575140024108,38.5,37.11,0,42.47,41
1575140024779,38.5,37.12,0,42.17,42
1575140025711,38.5,37.13,0,42.32,42
1575140026512,38.5,37.13,0,42.77,42
1575140027307,38.5,37.12,0,43.06,42
1575140028109,38.5,37.12,0,42.54,41
1575140028909,38.5,37.13,0,42.4,42
1575140029714,38.5,37.12,0,42.4,41
1575140030510,38.5,37.13,0,42.91,41
1575140031323,38.5,37.11,0,42.77,42
1575140032109,38.5,37.11,0,42.62,42
1575140032910,38,37.12,0,42.03,42
