"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575139965350,36,37.68,0,66.06,43
1575139966153,36,37.69,0,66.06,42
1575139967668,36,37.69,0,65.99,41
1575139968671,36,37.71,0,65.76,43
1575139969840,36,37.71,0,65.47,42
1575139970268,36,37.71,0,66.36,54
1575139981923,36.5,37.72,13,59.4,42
1575139986750,36.5,37.74,5,59.4,44
1575140006957,37,37.78,12,57.26,42
1575140014758,36.5,37.79,15,55.86,41
1575140016611,36.5,37.8,15,56.45,42
1575140035986,35.5,37.82,13,54.52,42
1575140059060,35,37.82,13,52.6,41
1575140075983,34.5,37.77,13,51.71,42
1575140105987,34,37.7,13,49.94,42
1575140117272,34,37.68,13,50.16,43
1575140145983,34,37.62,13,49.05,42
1575140156056,34,37.58,13,48.98,41
1575140176004,34,37.55,0,48.39,41
1575140205975,34,37.5,11,48.02,42
1575140216168,34,37.45,10,47.65,42
1575140239059,34,37.43,10,47.43,41
1575140265977,34,37.39,11,46.76,42
1575140277264,34,37.37,10,47.43,42
1575140299059,34,37.33,10,46.17,42
1575140325974,34,37.3,10,46.32,43
1575140336052,34,37.27,10,46.46,42
1575140359051,34,37.25,10,46.17,42
1575140385981,34,37.2,10,46.24,41
1575140396071,34,37.18,10,45.87,41
1575140419045,34,37.14,10,46.17,42
1575140439216,34,37.11,10,46.32,42
1575140465967,34,37.07,10,45.95,42
1575140476025,34,37.08,11,46.17,42
1575140507615,34,37.05,10,45.87,41
1575140527698,34,37.03,10,45.95,42
1575140547761,34,36.97,10,45.58,42
1575140567817,34,36.94,11,45.87,42
1575140586763,34,36.9,10,45.35,41
1575140606813,34,36.9,10,46.09,42
1575140626865,34,36.85,11,45.65,43
1575140646961,34,36.83,10,45.95,42
1575140667207,34,36.79,10,45.43,41
1575140687295,34,36.8,10,45.87,42
1575140707361,34,36.79,10,45.87,42
1575140727445,34,36.75,11,45.58,45
1575140747522,34,36.74,10,45.65,44
1575140767708,34,36.74,10,45.72,42
1575140787956,34,36.69,10,45.8,43
1575140808037,34,36.67,10,45.28,42
1575140828138,34,36.66,10,45.8,42
1575140848207,34,36.66,10,45.8,42
1575140868288,34,36.66,10,45.5,46
1575140871714,34,36.63,10,45.35,41
1575140872322,34,36.64,10,45.5,42
