"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575139965420,39.5,37.2,0,26.7,41
1575139966258,39.5,37.22,0,27.37,42
1575139967113,39.5,37.23,0,27.32,42
1575139967930,39.5,37.22,0,26.59,42
1575139968756,39.5,37.25,0,27.09,42
1575139969592,39.5,37.24,0,26.7,42
1575139970237,39.5,37.23,0,26.65,43
1575139971047,39.5,37.26,0,26.7,41
1575139971917,39.5,37.26,0,27.09,41
1575139972731,39.5,37.26,0,27.32,41
1575139973551,39.5,37.27,0,27.26,42
1575139974394,39.5,37.27,0,27.15,41
1575139975213,39.5,37.28,0,26.87,40
1575139976067,39.5,37.29,0,26.87,41
1575139976878,39.5,37.29,0,26.93,41
1575139977690,39.5,37.3,0,26.98,42
1575139978390,39.5,37.32,0,27.26,42
1575139979390,39.5,37.29,0,27.59,42
1575139980022,39.5,37.33,0,27.43,41
1575139980872,39.5,37.33,0,27.37,41
1575139981703,39.5,37.32,0,27.54,41
1575139982552,39.5,37.35,0,27.32,42
1575139983389,39.5,37.34,0,27.43,40
1575139984202,39.5,37.36,0,27.26,41
1575139985026,39,37.35,0,27.48,42
1575139985834,39.5,37.36,0,27.43,40
1575139986690,39.5,37.36,0,27.48,41
1575139987555,39.5,37.37,0,27.37,41
1575139988345,39.5,37.39,0,27.37,42
1575139988979,39.5,37.37,0,27.76,41
1575139989822,39,37.37,0,28.04,41
1575139990707,39,37.4,0,28.04,41
1575139991541,39,37.41,0,27.71,42
1575139992450,39,37.4,0,27.76,41
1575139993248,39,37.4,0,27.93,42
1575139993945,39,37.42,0,27.98,41
1575139994755,39,37.42,0,27.59,40
1575139995664,39,37.4,0,27.71,42
1575139996497,39,37.43,0,28.04,42
1575139997298,39,37.47,0,27.87,45
1575139998123,39,37.44,0,28.04,44
1575139998903,39,37.43,0,27.98,41
1575139999661,39,37.44,0,28.32,41
1575140001373,39,37.48,0,28.21,42
1575140002217,39,37.47,0,28.37,42
1575140002938,39,37.48,0,28.37,41
