"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575139965364,53.5,28.69,0,25.2,43
1575139965960,53.5,28.68,0,25.09,45
1575139966960,53.5,28.7,0,25.76,44
1575139967766,53.5,28.71,0,25.43,44
1575139968573,53.5,28.71,0,25.48,45
1575139969362,53.5,28.72,0,25.7,44
1575139970179,53.5,28.74,0,25.87,43
1575139970993,53.5,28.74,0,25.48,43
1575139971764,53.5,28.77,0,26.2,44
1575139972562,53.5,28.78,0,26.26,43
1575139973387,53.5,28.79,0,26.32,44
1575139974159,53.5,28.8,0,26.04,45
1575139974961,53.5,28.81,0,26.43,43
1575139975761,53.5,28.81,0,26.65,44
1575139976759,53.5,28.81,0,26.37,44
1575139977560,53.5,28.83,0,26.43,44
1575139978360,53.5,28.82,0,26.48,43
1575139979161,53.5,28.85,0,26.43,44
1575139979957,53.5,28.85,0,26.98,44
1575139980762,53.5,28.87,0,27.04,43
1575139981559,53.5,28.87,0,26.82,43
1575139982361,53.5,28.89,0,26.82,44
1575139983162,53.5,28.92,0,26.82,43
1575139983957,53.5,28.91,0,27.26,43
1575139984763,53.5,28.94,0,27.48,43
1575139985562,53.5,28.93,0,27.26,44
1575139986360,53.5,28.95,0,27.37,44
1575139987361,53.5,28.96,0,27.21,43
1575139988162,53.5,28.97,0,27.93,43
1575139989759,53.5,28.99,0,27.98,44
1575139990561,53.5,28.99,0,28.15,44
1575139991360,53.5,29,0,28.32,44
1575139992306,53.5,29.03,0,28.21,43
1575139992956,53.5,29.01,0,29.1,44
1575139993762,53.5,29.06,0,28.6,45
1575139994559,53.5,29.03,0,28.09,44
1575139996158,53.5,29.08,0,28.6,43
1575139997159,53.5,29.08,0,28.71,51
1575139997966,53.5,29.09,0,29.21,50
1575139999575,53.5,29.11,0,28.71,43
1575140000388,53.5,29.13,0,28.93,44
1575140001096,53.5,29.15,0,29.1,42
1575140001882,53.5,29.15,0,29.32,44
1575140002791,53.5,29.14,0,29.71,44
1575140003563,53.5,29.18,0,29.48,43
1575140004364,53.5,29.19,0,29.37,44
1575140005174,53.5,29.2,0,28.87,43
1575140006111,53.5,29.23,0,29.93,44
1575140006767,53.5,29.23,0,29.82,44
1575140007596,53.5,29.24,0,39.96,44
1575140008564,53.5,29.25,0,29.99,45
1575140009360,53.5,29.24,0,40.25,42
1575140010164,53.5,29.26,0,39.96,44
1575140010958,53.5,29.29,0,40.4,43
1575140011759,53.5,29.29,0,40.1,43
1575140012561,53.5,29.29,0,40.84,44
1575140013361,53.5,29.3,0,40.47,44
1575140014158,53,29.34,0,41.21,43
1575140014961,53,29.34,0,40.47,44
1575140015759,53,29.36,0,40.84,44
1575140016564,53,29.36,0,41.21,43
1575140017561,53,29.36,0,41.36,43
1575140018360,53,29.37,0,41.51,44
1575140019158,53,29.41,0,41.14,44
1575140019958,53,29.4,0,41.51,43
1575140020762,53,29.4,0,41.58,43
1575140021562,53,29.43,0,41.88,44
1575140022360,53,29.43,0,41.44,43
1575140023158,53,29.45,0,41.8,47
1575140023957,53,29.46,0,42.1,44
1575140024763,53,29.46,0,42.62,45
1575140025562,53,29.49,0,42.25,44
1575140026358,53,29.51,0,42.4,43
1575140028159,53,29.53,0,42.69,44
1575140028957,53,29.53,0,42.17,45
1575140029760,53,29.53,0,43.06,46
1575140030736,53,29.57,0,43.14,47
1575140031355,53,29.56,0,42.84,47
1575140032191,53,29.58,0,42.84,47
1575140032959,53,29.59,0,42.69,47
1575140033934,52.5,29.6,0,43.21,47
1575140034559,52.5,29.6,0,42.54,46
1575140035360,52.5,29.63,0,42.99,46
1575140036165,52.5,29.64,0,43.06,46
1575140037960,52.5,29.66,0,43.65,47
1575140038602,52.5,29.68,0,43.65,46
1575140039560,52.5,29.69,0,43.58,47
1575140041161,52.5,29.71,0,44.1,47
1575140041958,52.5,29.73,0,43.8,45
1575140042763,52.5,29.73,0,44.1,45
1575140043541,52.5,29.75,0,44.61,46
1575140044361,52.5,29.75,0,44.17,52
1575140045162,52,29.79,0,44.61,47
1575140045961,52,29.8,0,44.76,46
1575140046761,52,29.82,0,44.61,46
1575140047761,52,29.82,0,44.98,47
1575140048561,52,29.81,0,44.61,47
1575140049360,52,29.84,0,44.76,46
1575140050171,52,29.85,0,44.91,47
1575140050959,52,29.85,0,45.28,47
1575140051762,52,29.87,0,45.65,46
1575140052560,52,29.89,0,45.5,46
1575140053362,52,29.89,0,45.28,47
1575140054157,52,29.9,0,45.5,46
1575140054962,52,29.93,0,45.8,46
1575140055766,52,29.94,0,45.95,44
1575140056559,51.5,29.94,0,46.09,45
1575140057565,51.5,29.97,0,45.5,46
1575140058358,51.5,29.98,0,45.58,46
1575140059170,51.5,30,0,45.8,47
1575140059960,51.5,29.99,0,45.95,47
1575140060758,51.5,30,0,46.32,46
1575140061584,51.5,30.03,0,46.39,46
1575140062358,51.5,30.02,0,46.24,47
1575140063160,51.5,30.07,0,47.06,47
1575140063959,51.5,30.05,0,46.54,46
1575140064766,51.5,30.07,0,46.54,47
1575140065565,51.5,30.1,0,47.28,46
1575140066367,51.5,30.11,0,46.54,47
1575140067164,51.5,30.11,0,47.06,47
1575140067986,51.5,30.12,0,46.91,47
1575140069122,51.5,30.13,0,46.98,46
1575140069757,51.5,30.15,0,47.13,46
1575140070565,51.5,30.15,0,47.28,46
1575140071359,51.5,30.16,0,47.43,47
1575140072319,51,30.17,0,46.98,47
1575140072960,51,30.19,0,47.5,46
1575140073759,51,30.19,0,47.28,45
1575140074566,51,30.23,0,47.57,47
1575140075533,51,30.23,0,47.72,47
1575140076159,51,30.26,0,47.57,46
1575140076969,51,30.28,0,47.5,47
1575140077959,51,30.26,0,47.35,45
1575140078725,51,30.29,0,47.5,47
1575140079562,51,30.28,0,48.09,46
1575140080357,51,30.3,0,47.5,46
1575140081163,51,30.31,0,47.57,47
1575140082770,51,30.34,0,47.79,47
1575140083580,51,30.33,0,48.16,45
1575140084357,51,30.37,0,47.72,47
1575140085137,51,30.37,0,48.09,46
1575140086036,51,30.39,0,48.24,48
1575140086761,51,30.39,0,48.24,46
1575140087562,51,30.4,0,48.39,47
1575140088560,50.5,30.42,0,48.24,45
1575140089359,50.5,30.44,0,48.53,47
1575140090162,50.5,30.45,0,48.24,45
1575140090981,50.5,30.45,0,48.31,46
1575140091760,50.5,30.45,0,48.76,46
1575140092559,50.5,30.47,0,48.61,47
1575140093362,50.5,30.48,0,48.46,46
1575140094157,50.5,30.48,0,48.16,47
1575140094955,50.5,30.49,0,48.9,45
1575140095760,50.5,30.51,0,49.2,46
1575140096564,50.5,30.54,0,49.13,46
1575140097370,50.5,30.55,0,49.2,46
1575140098360,50.5,30.58,0,48.39,46
1575140099160,50.5,30.54,0,49.13,46
1575140099959,50.5,30.57,0,48.76,47
1575140100759,50.5,30.58,0,48.98,46
1575140101563,50,30.6,0,49.13,47
1575140102359,50,30.61,0,49.2,46
1575140103160,50,30.61,0,48.68,47
1575140103959,50,30.62,0,48.83,47
1575140104759,50,30.64,0,48.76,46
1575140105558,50,30.66,0,49.35,46
1575140106365,50,30.68,0,49.05,46
1575140107161,50,30.67,0,49.13,46
1575140107971,50,30.68,0,49.5,46
1575140108800,50,30.7,0,49.35,46
1575140109767,50,30.72,0,49.27,46
1575140110711,50,30.72,0,49.57,48
1575140111359,50,30.73,0,49.57,47
1575140112158,50,30.75,0,49.79,47
1575140112963,50,30.74,0,49.79,46
