"Time(s)","Humidity","Temperature","Light","IR Temperature","Noise"
1575139966726,38.5,37.32,0,22.03,45
1575139966940,38.5,37.34,0,22.03,45
1575139967744,38.5,37.34,0,22.37,45
1575139968718,38.5,37.34,0,22.15,46
1575139969525,38.5,37.37,0,22.31,46
1575139970326,38.5,37.37,0,22.03,45
1575139971124,38.5,37.38,0,22.31,45
1575139971923,38.5,37.36,0,21.64,46
1575139972726,38.5,37.38,0,22.42,44
1575139973527,38.5,37.38,0,21.98,46
1575139974355,38.5,37.41,0,22.53,47
1575139975112,38.5,37.41,0,21.87,46
1575139975914,38.5,37.41,0,22.26,45
1575139976827,38.5,37.43,0,22.2,46
1575139977761,38.5,37.42,0,22.31,45
1575139978513,38.5,37.44,0,22.26,46
1575139979314,38.5,37.43,0,22.15,47
1575139980127,38.5,37.43,0,22.2,46
1575139983318,38.5,37.49,0,22.15,47
1575139984115,38.5,37.5,0,22.2,47
1575139984924,38.5,37.5,0,22.37,48
1575139985721,38.5,37.49,0,22.26,47
1575139986530,38.5,37.5,0,22.09,47
1575139987522,38.5,37.52,0,22.09,48
1575139988345,38.5,37.53,0,21.87,47
1575139989170,38.5,37.53,0,22.15,47
1575139992314,38,37.55,0,22.37,47
1575139993282,38,37.57,0,22.48,45
1575139993918,38,37.58,0,22.48,46
1575139994720,38,37.57,0,22.31,46
1575139995525,38,37.58,0,22.42,46
1575139997336,38,37.59,0,22.48,47
1575139998108,38,37.59,0,22.65,52
1575139998933,38,37.62,0,22.48,50
1575140000530,38,37.64,0,22.59,47
1575140001316,38,37.63,0,22.03,46
1575140002058,38,37.65,0,22.31,46
1575140002827,38,37.66,0,22.53,46
1575140003733,38,37.66,0,22.2,47
1575140004523,38,37.66,0,22.2,48
1575140005310,38,37.68,0,22.48,47
1575140006109,38,37.67,0,22.59,46
1575140007049,38,37.68,0,22.26,46
1575140007915,38,37.69,0,22.53,46
1575140008706,38,37.71,0,22.37,47
1575140009516,38,37.71,0,22.42,53
1575140010334,38,37.7,0,22.2,46
1575140011115,38,37.71,0,22.15,46
1575140011944,38,37.72,0,22.37,47
1575140012765,38,37.72,0,22.65,47
1575140013588,38,37.76,0,22.37,45
1575140014404,38,37.72,0,22.31,46
1575140015125,38,37.77,0,22.7,47
1575140015929,38,37.76,0,22.03,47
1575140016716,38,37.78,0,22.15,46
1575140017719,38,37.81,0,22.2,46
1575140018508,38,37.81,0,22.2,46
1575140019320,38,37.79,0,22.53,46
1575140020114,38,37.8,0,22.31,46
1575140020912,38,37.81,0,22.31,46
1575140021714,38,37.81,0,22.42,46
1575140022525,38,37.82,0,22.53,46
1575140023318,38,37.84,0,22.42,46
1575140024118,38,37.83,0,22.26,46
1575140024917,38,37.85,0,22.7,46
1575140025738,38,37.86,0,22.31,46
1575140026585,38,37.85,0,22.09,46
1575140027513,38,37.85,0,22.31,46
1575140029119,37.5,37.87,0,22.31,47
1575140029917,37.5,37.87,0,22.53,46
1575140030716,37.5,37.88,0,22.37,46
1575140032312,37.5,37.88,0,22.59,47
1575140033140,37.5,37.92,0,22.76,46
1575140033912,37.5,37.92,0,22.59,46
1575140035522,37.5,37.93,0,22.76,47
1575140036319,37.5,37.94,0,22.53,46
1575140037136,37.5,37.94,0,22.87,47
1575140038919,37.5,37.95,0,22.2,46
1575140039715,37.5,37.96,0,22.37,46
1575140040516,37.5,37.97,0,22.2,46
1575140041273,37.5,37.97,0,22.42,46
1575140042110,37.5,37.98,0,22.59,47
1575140042912,37.5,37.99,0,22.81,48
1575140043720,37.5,38.01,0,22.65,47
1575140045319,37.5,38.01,0,22.65,46
1575140046113,37.5,38.02,0,22.42,46
1575140047922,37.5,38.02,0,22.65,48
1575140049436,37.5,38.06,0,22.59,47
1575140050316,37.5,38.06,0,22.31,46
1575140051114,37.5,38.08,0,22.65,46
1575140051913,37.5,38.08,0,22.81,46
1575140052717,37.5,38.08,0,22.92,47
1575140053516,37.5,38.09,0,22.81,46
1575140054317,37.5,38.1,0,22.76,45
1575140055115,37.5,38.1,0,22.87,47
1575140055915,37.5,38.1,0,22.87,47
1575140056720,37.5,38.12,0,22.37,47
1575140057514,37.5,38.12,0,22.65,47
1575140058520,37.5,38.14,0,22.81,46
1575140064118,37.5,38.08,0,24.93,46
1575140064925,37.5,38.06,0,25.65,46
1575140065726,37.5,38.03,0,25.54,46
1575140066520,37.5,38.03,0,25.43,46
1575140067327,37.5,38,0,25.37,45
1575140068119,37.5,37.98,0,25.37,45
1575140069118,37.5,37.98,0,25.26,47
1575140070084,37.5,37.95,0,25.09,47
1575140070720,37.5,37.93,0,25.43,46
1575140071614,37.5,37.94,0,25.2,46
1575140074033,37.5,37.91,0,25.04,46
1575140075514,37.5,37.87,0,25.04,47
1575140076465,37.5,37.86,0,25.2,47
1575140077115,37.5,37.87,0,25.04,46
1575140077930,37.5,37.85,0,25.26,46
1575140078920,37.5,37.85,0,25.04,46
1575140079671,37.5,37.85,0,25.04,46
